RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,35506,Mackenzie Hughes,2.274,9.097,4
2,0,30163,Henrik Norlander,2.107,8.428,4
3,0,40098,Matt Fitzpatrick,2.030,8.119,4
4,0,28089,Jason Day,1.632,6.527,4
5,0,29725,Tony Finau,1.586,6.344,4
6,0,32139,Danny Willett,1.512,6.048,4
7,0,49960,Sepp Straka,1.479,5.916,4
8,0,48887,Matt Wallace,1.440,5.760,4
9,0,45522,Christiaan Bezuidenhout,1.311,5.244,4
10,0,25396,Kevin Na,1.294,5.176,4
11,0,45526,Abraham Ancer,1.289,5.156,4
12,0,34360,Patrick Reed,1.286,5.143,4
13,0,23108,Matt Kuchar,1.262,5.048,4
14,0,36699,Patrick Rodgers,1.255,5.022,4
15,0,32254,Xinjun Zhang,1.220,4.882,4
16,0,26851,Marc Leishman,1.197,4.789,4
17,0,39546,Keith Mitchell,1.035,4.139,4
18,0,28237,Rory McIlroy,.971,3.883,4
19,0,06527,Steve Stricker,.955,3.822,4
20,0,29420,Billy Horschel,.891,3.563,4
21,0,37455,Si Woo Kim,.767,3.069,4
22,0,29518,Brendan Steele,.721,2.883,4
23,0,36689,Brooks Koepka,.685,2.739,4
24,0,33448,Justin Thomas,.655,2.619,4
25,0,21961,Charles Howell III,.653,2.613,4
26,0,56278,Matthew Wolff,.626,2.505,4
27,0,35310,Lanto Griffin,.569,2.277,4
28,0,46970,Jon Rahm,.566,2.264,4
29,0,26476,Chez Reavie,.548,2.193,4
30,0,35450,Patrick Cantlay,.517,2.068,4
31,0,27554,Scott Harrington,.499,1.997,4
32,0,46717,Viktor Hovland,.468,1.874,4
33,0,27129,Luke List,.429,1.715,4
34,0,34099,Harris English,.422,1.689,4
35,0,10809,Jim Furyk,.403,1.611,4
36,0,23320,Ryan Palmer,.395,1.581,4
37,0,34021,Bud Cauley,.391,1.563,4
38,0,33667,Carlos Ortiz,.311,1.245,4
39,0,31323,Gary Woodland,.305,1.222,4
40,0,30927,Brendon Todd,.260,1.041,4
41,0,36801,Mark Hubbard,.239,.955,4
42,0,39997,Corey Conners,.228,.911,4
43,0,29970,Dylan Frittelli,.210,.842,4
44,0,34076,Joel Dahmen,.209,.837,4
45,0,26596,Ryan Moore,.150,.601,4
46,0,47993,Denny McCarthy,.136,.544,4
47,0,25900,Lucas Glover,.110,.440,4
48,0,34046,Jordan Spieth,.019,.078,4
49,0,46046,Scottie Scheffler,-.054,-.216,4
50,0,35891,Cameron Smith,-.085,-.341,4
51,0,20229,Stewart Cink,-.159,-.636,4
52,0,33399,Adam Hadwin,-.211,-.844,4
53,0,26329,Louis Oosthuizen,-.269,-1.077,4
54,0,33490,Bo Hoag,-.312,-1.246,4
55,0,25632,Jimmy Walker,-.318,-1.271,4
56,0,08793,Tiger Woods,-.358,-1.433,4
57,0,27974,Sung Kang,-.423,-1.693,4
58,0,24024,Zach Johnson,-.445,-1.781,4
59,0,25345,Carl Pettersson,-.451,-1.803,4
60,0,27214,Kevin Streelman,-.460,-1.840,4
61,0,29908,C.T. Pan,-.503,-2.011,4
62,0,25818,Scott Piercy,-.512,-2.046,4
63,0,31202,William McGirt,-.686,-2.743,4
64,0,21209,Sergio Garcia,-.732,-2.927,4
65,0,40006,Erik van Rooyen,-.761,-3.043,4
66,0,45609,Tyler Duncan,-.857,-3.426,4
67,0,06567,Vijay Singh,-.858,-3.432,4
68,0,25804,Bubba Watson,-.913,-3.651,4
69,0,01810,Phil Mickelson,-.924,-3.694,4
70,0,48822,Sebastián Muñoz,-.935,-3.740,4
71,0,25686,Jason Dufner,-1.235,-4.939,4
72,0,48081,Xander Schauffele,-1.238,-4.953,4
73,0,33141,Keegan Bradley,-1.246,-4.983,4
74,0,50525,Collin Morikawa,-2.073,-8.290,4
