RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,46970,Jon Rahm,3.866,1.045,1.577,1.243,4
2,0,23320,Ryan Palmer,3.286,-.049,2.554,.781,4
3,0,48081,Xander Schauffele,3.170,1.734,1.143,.293,4
4,0,50525,Collin Morikawa,2.254,.395,1.276,.583,4
5,0,40006,Erik van Rooyen,2.192,.134,2.082,-.024,4
6,0,25804,Bubba Watson,2.094,.724,1.960,-.590,4
7,0,21209,Sergio Garcia,1.913,.224,.785,.904,4
8,0,34046,Jordan Spieth,1.912,-.480,1.185,1.208,4
9,0,27129,Luke List,1.753,1.210,.380,.163,4
10,0,48887,Matt Wallace,1.742,.611,-.183,1.314,4
11,0,25686,Jason Dufner,1.666,-.131,1.017,.780,4
12,0,28089,Jason Day,1.550,-.019,.625,.944,4
13,0,34099,Harris English,1.509,.318,.917,.274,4
14,0,46046,Scottie Scheffler,1.486,.732,.811,-.057,4
15,0,40098,Matt Fitzpatrick,1.402,.785,.727,-.111,4
16,0,25345,Carl Pettersson,1.382,-.435,.889,.928,4
17,0,29970,Dylan Frittelli,1.221,.156,-.105,1.170,4
18,0,29518,Brendan Steele,1.211,.736,.468,.007,4
19,0,39997,Corey Conners,1.204,.474,.669,.061,4
20,0,30927,Brendon Todd,1.171,-.416,.277,1.310,4
21,0,25396,Kevin Na,1.138,-.638,1.240,.535,4
22,0,31323,Gary Woodland,1.126,-.952,1.561,.516,4
23,0,48822,Sebastián Muñoz,1.117,.509,1.024,-.416,4
24,0,29725,Tony Finau,1.096,.829,.812,-.546,4
25,0,29420,Billy Horschel,1.041,.607,.098,.336,4
26,0,08793,Tiger Woods,1.040,-.043,1.375,-.292,4
27,0,33448,Justin Thomas,1.027,.029,.437,.561,4
28,0,32254,Xinjun Zhang,.961,.392,.544,.025,4
29,0,29908,C.T. Pan,.934,-.168,.818,.284,4
30,0,37455,Si Woo Kim,.914,-.319,1.298,-.064,4
31,0,34360,Patrick Reed,.896,.935,-.180,.140,4
32,0,26476,Chez Reavie,.883,.047,.316,.520,4
33,0,01810,Phil Mickelson,.855,.555,-.567,.866,4
34,0,30163,Henrik Norlander,.825,-.557,1.018,.363,4
35,0,25900,Lucas Glover,.822,.009,.557,.256,4
36,0,56278,Matthew Wolff,.805,1.142,.444,-.782,4
37,0,06527,Steve Stricker,.726,-.167,.152,.740,4
38,0,35450,Patrick Cantlay,.665,.662,.277,-.275,4
39,0,35506,Mackenzie Hughes,.657,.382,-.268,.543,4
40,0,26596,Ryan Moore,.531,.211,.599,-.279,4
41,0,36699,Patrick Rodgers,.426,.640,-.201,-.013,4
42,0,39546,Keith Mitchell,.397,-.365,.635,.127,4
43,0,27214,Kevin Streelman,.392,.416,-.735,.711,4
44,0,28237,Rory McIlroy,.211,.954,.660,-1.404,4
45,0,26329,Louis Oosthuizen,.201,-.152,.656,-.303,4
46,0,27554,Scott Harrington,.182,.045,.005,.132,4
47,0,33141,Keegan Bradley,.177,.030,.046,.101,4
48,0,33399,Adam Hadwin,.143,-.255,-.096,.493,4
49,0,24024,Zach Johnson,.127,-.695,1.195,-.374,4
50,0,45522,Christiaan Bezuidenhout,.121,-1.036,.618,.538,4
51,0,34021,Bud Cauley,.041,.273,-.994,.762,4
52,0,06567,Vijay Singh,.040,-.222,.274,-.013,4
53,0,23108,Matt Kuchar,-.081,.322,-.212,-.191,4
54,0,33667,Carlos Ortiz,-.130,-.174,-.272,.316,4
55,0,35310,Lanto Griffin,-.138,-.609,.527,-.056,4
56,0,45609,Tyler Duncan,-.212,-.367,.965,-.810,4
57,0,10809,Jim Furyk,-.221,.158,.110,-.489,4
58,0,46717,Viktor Hovland,-.287,-.060,-.174,-.053,4
59,0,25818,Scott Piercy,-.307,.306,.261,-.874,4
60,0,32139,Danny Willett,-.331,.716,-.127,-.920,4
61,0,31202,William McGirt,-.383,-.627,-.319,.563,4
62,0,47993,Denny McCarthy,-.455,-.526,-.214,.285,4
63,0,21961,Charles Howell III,-.472,-.105,-1.207,.841,4
64,0,25632,Jimmy Walker,-.501,-1.891,1.101,.289,4
65,0,33490,Bo Hoag,-.507,-.292,-.452,.236,4
66,0,26851,Marc Leishman,-.516,-1.263,.236,.512,4
67,0,20229,Stewart Cink,-.660,-.346,-.730,.417,4
68,0,35891,Cameron Smith,-.983,.060,-.004,-1.039,4
69,0,27974,Sung Kang,-1.395,-1.877,.596,-.114,4
70,0,36689,Brooks Koepka,-1.503,-.031,-.205,-1.268,4
71,0,36801,Mark Hubbard,-1.557,-.068,-1.218,-.272,4
72,0,45526,Abraham Ancer,-1.608,.360,-1.881,-.086,4
73,0,49960,Sepp Straka,-2.048,-.192,-1.642,-.213,4
74,0,34076,Joel Dahmen,-2.528,-.141,-2.382,-.005,4
