RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,46046,Scottie Scheffler,2.865,1.092,.264,1.509,4
2,0,34076,Joel Dahmen,2.801,.606,1.796,.398,4
3,0,50525,Collin Morikawa,2.756,.999,2.639,-.883,4
4,-3,39971,Sungjae Im,2.631,.913,.403,1.315,4
5,0,34363,Tyrrell Hatton,2.563,.376,1.817,.370,4
6,0,28237,Rory McIlroy,2.533,.615,1.566,.352,4
7,0,47959,Bryson DeChambeau,2.368,1.800,.873,-.305,4
8,0,12716,Charley Hoffman,2.076,.195,1.017,.864,4
9,-5,33948,Byeong Hun An,1.945,.288,1.559,.098,4
10,0,40098,Matt Fitzpatrick,1.745,.883,.376,.485,4
11,9,25632,Jimmy Walker,1.716,-.134,1.687,.162,4
12,0,26851,Marc Leishman,1.632,-.021,1.154,.498,4
13,0,35532,Tom Hoge,1.467,.810,1.515,-.857,4
14,0,27974,Sung Kang,1.348,.709,.689,-.050,4
15,0,33141,Keegan Bradley,1.332,.347,.646,.339,4
16,20,34099,Harris English,1.162,-.272,.349,1.085,4
17,8,29926,Danny Lee,1.157,.619,.813,-.275,4
18,0,32839,Hideki Matsuyama,1.154,.738,.249,.167,4
19,42,29970,Dylan Frittelli,1.153,-.268,.824,.597,4
20,0,32102,Rickie Fowler,1.152,.447,.285,.420,4
21,0,40058,Zac Blair,1.093,-.464,-.620,2.177,4
22,0,26596,Ryan Moore,1.024,.631,-.520,.913,4
22,0,34360,Patrick Reed,1.024,.468,.313,.243,4
24,0,48887,Matt Wallace,1.005,-.507,.098,1.414,4
25,0,32139,Danny Willett,.919,.036,1.561,-.678,4
26,2,34021,Bud Cauley,.872,-.379,.976,.275,4
27,7,23621,Rory Sabbatini,.852,.456,.148,.249,4
28,16,29420,Billy Horschel,.849,.132,.316,.401,4
29,0,30944,Jason Kokrak,.847,1.067,.230,-.450,4
30,0,06527,Steve Stricker,.825,-.365,.652,.539,4
31,0,39546,Keith Mitchell,.823,1.101,.302,-.580,4
32,-19,35449,Adam Long,.790,.013,-.144,.922,4
33,-17,37189,Harold Varner III,.788,-.192,.660,.319,4
34,0,46717,Viktor Hovland,.780,1.029,.717,-.967,4
35,0,32254,Xinjun Zhang,.692,-.626,.159,1.159,4
36,7,32791,K.H. Lee,.625,.145,-.262,.743,4
37,0,25572,Graeme McDowell,.615,-.635,1.408,-.157,4
38,0,39977,Max Homa,.613,.112,1.569,-1.068,4
39,0,30927,Brendon Todd,.600,.354,-.364,.610,4
40,8,26300,Matt Jones,.590,.276,-.603,.917,4
41,0,32640,Troy Merritt,.555,.996,-.946,.504,4
42,3,46402,Talor Gooch,.500,.067,.079,.355,4
43,0,35310,Lanto Griffin,.479,.623,-.299,.154,4
44,0,25396,Kevin Na,.457,-.222,.419,.260,4
45,0,45522,Christiaan Bezuidenhout,.417,-.460,.693,.183,4
46,-13,36699,Patrick Rodgers,.410,.002,.295,.113,4
47,-9,24138,Ian Poulter,.403,-.540,.538,.405,4
48,0,45526,Abraham Ancer,.363,.351,-.620,.631,4
49,0,36689,Brooks Koepka,.173,-.287,.052,.408,4
50,0,32366,Kevin Chappell,.102,-.128,.505,-.275,4
51,4,20229,Stewart Cink,.032,.151,.813,-.932,4
52,0,01706,Davis Love III,-.047,-1.284,.645,.592,4
53,0,25493,Nick Taylor,-.103,.612,-.321,-.394,4
54,12,24024,Zach Johnson,-.133,.344,-.492,.016,4
55,0,48081,Xander Schauffele,-.267,.236,.068,-.570,4
56,2,56278,Matthew Wolff,-.275,.012,.138,-.425,4
57,0,29479,Scott Brown,-.346,.515,-1.823,.963,4
58,-31,33597,Harry Higgs,-.445,.394,-1.295,.457,4
59,9,47504,Sam Burns,-.503,.336,.062,-.900,4
60,0,25863,Rod Perry,-.609,.014,-.777,.154,4
61,0,29223,Sam Saunders,-.878,-.351,-.030,-.497,4
62,-8,35461,Beau Hossler,-.920,-.122,-.377,-.420,4
63,-1,23325,Vaughn Taylor,-1.110,-.682,.312,-.740,4
64,0,19846,Brian Gay,-1.351,-.555,-.377,-.419,4
65,0,53165,Doc Redman,-1.548,-.450,.141,-1.239,4
66,-44,46441,Robby Shelton,-1.607,-2.157,.389,.161,4
67,0,27554,Scott Harrington,-2.125,.364,-2.309,-.180,4
68,-37,51766,Wyndham Clark,-2.270,-1.314,-.030,-.926,4
69,0,27942,Rob Oppenheim,-3.428,-.894,-2.259,-.274,4
