RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,34046,Jordan Spieth,2.151,8.605,4
2,0,47128,Richy Werenski,1.852,7.410,4
3,0,34360,Patrick Reed,1.763,7.054,4
4,0,23621,Rory Sabbatini,1.387,5.547,4
5,0,40098,Matt Fitzpatrick,1.350,5.401,4
6,0,22405,Justin Rose,1.343,5.371,4
7,0,30944,Jason Kokrak,1.295,5.179,4
8,0,40026,Daniel Berger,1.292,5.168,4
9,0,25804,Bubba Watson,1.232,4.929,4
10,0,26499,Rafa Cabrera Bello,1.204,4.816,4
11,0,36689,Brooks Koepka,1.182,4.728,4
12,0,36699,Patrick Rodgers,1.069,4.277,4
13,0,33141,Keegan Bradley,.926,3.704,4
14,0,49771,J.T. Poston,.915,3.662,4
15,0,48081,Xander Schauffele,.907,3.629,4
16,0,31323,Gary Woodland,.889,3.556,4
17,0,29974,Branden Grace,.882,3.528,4
18,0,47993,Denny McCarthy,.837,3.349,4
18,0,50525,Collin Morikawa,.837,3.350,4
20,0,24138,Ian Poulter,.828,3.312,4
21,0,39971,Sungjae Im,.782,3.130,4
22,0,52372,Cameron Champ,.712,2.847,4
23,0,10809,Jim Furyk,.688,2.752,4
24,0,29725,Tony Finau,.595,2.381,4
25,0,45486,Joaquin Niemann,.584,2.335,4
26,0,39997,Corey Conners,.573,2.292,4
27,0,24361,Pat Perez,.561,2.244,4
28,0,29484,Peter Uihlein,.559,2.237,4
29,0,21961,Charles Howell III,.554,2.218,4
30,0,27644,Brian Harman,.548,2.194,4
31,0,34076,Joel Dahmen,.542,2.167,4
32,0,34563,Chesson Hadley,.538,2.152,4
33,0,33597,Harry Higgs,.526,2.103,4
34,0,24024,Zach Johnson,.525,2.099,4
35,0,36801,Mark Hubbard,.522,2.089,4
36,0,36871,Matthew NeSmith,.512,2.050,4
37,0,26300,Matt Jones,.468,1.873,4
38,0,33399,Adam Hadwin,.415,1.662,4
39,0,46442,Maverick McNealy,.410,1.641,4
40,0,33448,Justin Thomas,.323,1.294,4
41,0,47959,Bryson DeChambeau,.288,1.154,4
42,0,45526,Abraham Ancer,.274,1.095,4
43,0,45609,Tyler Duncan,.143,.573,4
44,0,46402,Talor Gooch,.114,.458,4
45,0,47347,Adam Schenk,.059,.236,4
46,0,34021,Bud Cauley,.010,.040,4
47,0,46717,Viktor Hovland,.003,.014,4
48,0,29268,Bronson Burgoon,-.045,-.179,4
49,0,31560,Brian Stuard,-.048,-.191,4
50,0,56278,Matthew Wolff,-.057,-.227,4
51,0,29420,Billy Horschel,-.077,-.306,4
52,0,37189,Harold Varner III,-.092,-.368,4
53,0,25900,Lucas Glover,-.101,-.405,4
54,0,40058,Zac Blair,-.141,-.565,4
55,0,29478,Kevin Kisner,-.159,-.635,4
56,0,33410,Andrew Landry,-.169,-.674,4
57,0,27349,Alex Noren,-.247,-.989,4
58,0,28237,Rory McIlroy,-.317,-1.269,4
59,0,39546,Keith Mitchell,-.403,-1.610,4
60,0,27064,Jhonattan Vegas,-.499,-1.994,4
61,0,26329,Louis Oosthuizen,-.573,-2.291,4
62,0,53165,Doc Redman,-.714,-2.856,4
63,0,46046,Scottie Scheffler,-.785,-3.141,4
64,0,33948,Byeong Hun An,-.835,-3.340,4
65,0,30926,Chris Kirk,-1.014,-4.054,4
66,0,25818,Scott Piercy,-1.054,-4.214,4
67,0,25686,Jason Dufner,-1.156,-4.625,4
