PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
30925,Dustin Johnson,2020 THE NORTHERN TRUST,1.348,0.956,3.028,0.55
46046,Scottie Scheffler,2020 THE NORTHERN TRUST,0.2415,0.721,1.057,0.613
33141,Keegan Bradley,2020 THE NORTHERN TRUST,-1.12725,0.021,1.521,0.467
34099,Harris English,2020 THE NORTHERN TRUST,1.1425,0.008,0.943,1.039
37455,Si Woo Kim,2020 THE NORTHERN TRUST,-1.34525,0.148,0.958,0.872
30944,Jason Kokrak,2020 THE NORTHERN TRUST,-0.32025,0.287,1.13,0.536
35891,Cameron Smith,2020 THE NORTHERN TRUST,-0.457,0.047,1.619,0.173
27644,Brian Harman,2020 THE NORTHERN TRUST,0.2705,0.73,0.72,0.162
22405,Justin Rose,2020 THE NORTHERN TRUST,-0.351,0.448,1.35,-0.315
12716,Charley Hoffman,2020 THE NORTHERN TRUST,0.238,-0.142,1.685,-0.149
40026,Daniel Berger,2020 THE NORTHERN TRUST,1.49775,0.842,0.469,0.073
29221,Webb Simpson,2020 THE NORTHERN TRUST,1.019,0.0,0.555,0.808
46441,Robby Shelton,2020 THE NORTHERN TRUST,0.28175,-0.363,1.168,0.546
25804,Bubba Watson,2020 THE NORTHERN TRUST,0.06125,0.372,0.26,0.689
34098,Russell Henley,2020 THE NORTHERN TRUST,0.852,0.044,1.197,0.039
46970,Jon Rahm,2020 THE NORTHERN TRUST,1.13225,1.243,-0.4,0.407
39997,Corey Conners,2020 THE NORTHERN TRUST,-0.092,0.754,0.252,0.218
29478,Kevin Kisner,2020 THE NORTHERN TRUST,1.43475,0.042,1.016,0.139
48081,Xander Schauffele,2020 THE NORTHERN TRUST,-0.064,0.412,0.143,0.641
33448,Justin Thomas,2020 THE NORTHERN TRUST,-1.00225,0.297,0.471,0.366
34363,Tyrrell Hatton,2020 THE NORTHERN TRUST,0.01325,0.354,0.301,0.464
45609,Tyler Duncan,2020 THE NORTHERN TRUST,-0.17025,-0.268,1.193,0.127
35506,Mackenzie Hughes,2020 THE NORTHERN TRUST,0.61125,-0.069,0.328,0.762
31646,Emiliano Grillo,2020 THE NORTHERN TRUST,-0.588,0.568,0.509,-0.107
23320,Ryan Palmer,2020 THE NORTHERN TRUST,1.21375,-0.152,-0.398,1.469
48822,Sebastián Muñoz,2020 THE NORTHERN TRUST,0.497,0.302,0.491,0.092
33419,Cameron Tringale,2020 THE NORTHERN TRUST,0.05175,-0.79,1.347,0.273
27349,Alex Noren,2020 THE NORTHERN TRUST,1.305,-0.369,0.172,1.024
35449,Adam Long,2020 THE NORTHERN TRUST,-0.694,-0.879,1.091,0.615
23108,Matt Kuchar,2020 THE NORTHERN TRUST,0.5635,0.403,0.359,0.056
25396,Kevin Na,2020 THE NORTHERN TRUST,-0.18,0.089,0.579,0.144
21961,Charles Howell III,2020 THE NORTHERN TRUST,-0.4195,0.139,-0.302,0.964
36801,Mark Hubbard,2020 THE NORTHERN TRUST,0.117,-0.42,1.553,-0.368
26476,Chez Reavie,2020 THE NORTHERN TRUST,-0.53,0.228,0.749,-0.315
47993,Denny McCarthy,2020 THE NORTHERN TRUST,-0.5135,0.344,0.729,-0.427
27214,Kevin Streelman,2020 THE NORTHERN TRUST,-0.9575,-0.038,0.901,-0.274
28237,Rory McIlroy,2020 THE NORTHERN TRUST,-1.622,-0.22,1.283,-0.559
33597,Harry Higgs,2020 THE NORTHERN TRUST,1.44225,0.13,0.094,0.216
34360,Patrick Reed,2020 THE NORTHERN TRUST,-0.2675,0.203,-0.266,0.463
24502,Adam Scott,2020 THE NORTHERN TRUST,-0.46625,0.198,0.535,-0.384
26329,Louis Oosthuizen,2020 THE NORTHERN TRUST,1.29425,0.438,0.011,-0.112
8793,Tiger Woods,2020 THE NORTHERN TRUST,-0.44425,0.486,0.525,-0.685
56278,Matthew Wolff,2020 THE NORTHERN TRUST,0.061,0.659,-0.481,0.143
25818,Scott Piercy,2020 THE NORTHERN TRUST,0.6075,0.46,-0.042,-0.143
