RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,0,40098,Matt Fitzpatrick,87.50,49,56
2,0,21528,Henrik Stenson,85.71,48,56
3,0,30927,Brendon Todd,83.93,47,56
4,4,45526,Abraham Ancer,82.14,46,56
4,70,26331,Charl Schwartzel,82.14,46,56
6,0,50525,Collin Morikawa,80.36,45,56
7,-4,39997,Corey Conners,78.57,44,56
8,0,29420,Billy Horschel,76.79,43,56
8,0,46717,Viktor Hovland,76.79,43,56
8,0,06373,José María Olazábal,76.79,43,56
8,0,32150,Michael Thompson,76.79,43,56
8,0,29454,Bernd Wiesberger,76.79,43,56
13,0,34099,Harris English,75.00,42,56
13,0,25396,Kevin Na,75.00,42,56
13,0,26329,Louis Oosthuizen,75.00,42,56
13,0,24138,Ian Poulter,75.00,42,56
13,0,46970,Jon Rahm,75.00,42,56
13,36,34046,Jordan Spieth,75.00,42,56
19,53,52372,Cameron Champ,71.43,40,56
19,30,37455,Si Woo Kim,71.43,40,56
19,0,48081,Xander Schauffele,71.43,40,56
19,30,48887,Matt Wallace,71.43,40,56
23,0,45522,Christiaan Bezuidenhout,69.64,39,56
23,0,27644,Brian Harman,69.64,39,56
23,0,35506,Mackenzie Hughes,69.64,39,56
23,0,29221,Webb Simpson,69.64,39,56
23,0,25804,Bubba Watson,69.64,39,56
23,0,47483,Will Zalatoris,69.64,39,56
29,0,31557,Jim Herman,67.86,38,56
29,0,52215,Robert MacIntyre,67.86,38,56
29,0,35891,Cameron Smith,67.86,38,56
32,0,34363,Tyrrell Hatton,66.07,37,56
32,0,01810,Phil Mickelson,66.07,37,56
32,29,48822,Sebastián Muñoz,66.07,37,56
32,0,34360,Patrick Reed,66.07,37,56
32,0,22405,Justin Rose,66.07,37,56
37,-23,27936,Martin Laird,64.29,36,56
37,31,32839,Hideki Matsuyama,64.29,36,56
37,0,25198,Francesco Molinari,64.29,36,56
37,-34,46046,Scottie Scheffler,64.29,36,56
37,0,24502,Adam Scott,64.29,36,56
42,0,30911,Tommy Fleetwood,62.50,35,56
42,0,26300,Matt Jones,62.50,35,56
42,0,33204,Shane Lowry,62.50,35,56
42,-21,23320,Ryan Palmer,62.50,35,56
46,0,25364,Paul Casey,58.93,33,56
46,0,20229,Stewart Cink,58.93,33,56
46,0,45486,Joaquin Niemann,58.93,33,56
46,12,31323,Gary Woodland,58.93,33,56
50,0,30944,Jason Kokrak,57.14,32,56
51,0,47959,Bryson DeChambeau,55.36,31,56
51,0,29725,Tony Finau,55.36,31,56
51,0,33448,Justin Thomas,55.36,31,56
54,0,26851,Marc Leishman,51.79,29,56
