RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,56,34046,Jordan Spieth,77.78,56,72,-0.30
2,0,47483,Will Zalatoris,73.61,53,72,-0.30
3,3,39997,Corey Conners,72.22,52,72,-0.33
4,0,50525,Collin Morikawa,70.83,51,72,-0.29
4,0,48081,Xander Schauffele,70.83,51,72,-0.37
4,0,35891,Cameron Smith,70.83,51,72,-0.29
7,0,30911,Tommy Fleetwood,69.44,50,72,-0.22
7,24,32839,Hideki Matsuyama,69.44,50,72,-0.32
7,0,46970,Jon Rahm,69.44,50,72,-0.26
7,0,22405,Justin Rose,69.44,50,72,-0.34
11,0,27644,Brian Harman,68.06,49,72,-0.27
11,0,33204,Shane Lowry,68.06,49,72,-0.24
11,46,46046,Scottie Scheffler,68.06,49,72,-0.24
11,46,26331,Charl Schwartzel,68.06,49,72,-0.20
11,0,25804,Bubba Watson,68.06,49,72,-0.16
16,15,27936,Martin Laird,66.67,48,72,-0.21
16,0,01810,Phil Mickelson,66.67,48,72,-0.23
16,0,45486,Joaquin Niemann,66.67,48,72,-0.21
16,0,26329,Louis Oosthuizen,66.67,48,72,-0.19
16,0,33448,Justin Thomas,66.67,48,72,-0.27
21,0,40098,Matt Fitzpatrick,65.28,47,72,-0.21
21,0,26300,Matt Jones,65.28,47,72,-0.23
21,-1,48822,Sebastián Muñoz,65.28,47,72,-0.23
21,-18,48887,Matt Wallace,65.28,47,72,-0.17
21,0,29454,Bernd Wiesberger,65.28,47,72,-0.23
26,0,25364,Paul Casey,63.89,46,72,-0.26
26,0,20229,Stewart Cink,63.89,46,72,-0.28
26,0,26851,Marc Leishman,63.89,46,72,-0.35
26,-18,23320,Ryan Palmer,63.89,46,72,-0.37
30,-22,45526,Abraham Ancer,62.50,45,72,-0.31
30,-17,52372,Cameron Champ,62.50,45,72,-0.31
30,0,34099,Harris English,62.50,45,72,-0.31
30,0,31557,Jim Herman,62.50,45,72,-0.22
30,1,37455,Si Woo Kim,62.50,45,72,-0.27
30,0,52215,Robert MacIntyre,62.50,45,72,-0.31
30,0,29221,Webb Simpson,62.50,45,72,-0.33
37,0,47959,Bryson DeChambeau,61.11,44,72,-0.27
37,0,24502,Adam Scott,61.11,44,72,-0.18
37,0,32150,Michael Thompson,61.11,44,72,-0.20
37,2,31323,Gary Woodland,61.11,44,72,-0.25
41,0,21528,Henrik Stenson,59.72,43,72,-0.26
42,0,46717,Viktor Hovland,58.33,42,72,-0.38
42,0,35506,Mackenzie Hughes,58.33,42,72,-0.29
42,0,25198,Francesco Molinari,58.33,42,72,-0.29
42,0,30927,Brendon Todd,58.33,42,72,-0.17
46,0,34363,Tyrrell Hatton,56.94,41,72,-0.29
46,0,30944,Jason Kokrak,56.94,41,72,-0.39
46,0,25396,Kevin Na,56.94,41,72,-0.27
49,0,29420,Billy Horschel,52.78,38,72,-0.29
49,0,34360,Patrick Reed,52.78,38,72,-0.47
51,0,29725,Tony Finau,51.39,37,72,-0.32
52,0,45522,Christiaan Bezuidenhout,50.00,36,72,-0.28
53,0,24138,Ian Poulter,48.61,35,72,-0.26
54,0,06373,José María Olazábal,43.06,31,72,-0.29
