RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS
1,0,06373,José María Olazábal,26.25,105,4,22
2,0,29725,Tony Finau,26.75,107,4,24
2,0,24138,Ian Poulter,26.75,107,4,25
2,0,34360,Patrick Reed,26.75,107,4,24
5,0,25396,Kevin Na,27.25,109,4,24
6,0,46717,Viktor Hovland,27.75,111,4,26
7,0,45522,Christiaan Bezuidenhout,28.00,112,4,27
8,37,45526,Abraham Ancer,28.25,113,4,25
8,0,29221,Webb Simpson,28.25,113,4,24
10,0,34363,Tyrrell Hatton,28.50,114,4,26
10,0,29420,Billy Horschel,28.50,114,4,27
10,0,26851,Marc Leishman,28.50,114,4,26
10,23,32839,Hideki Matsuyama,28.50,114,4,25
10,0,21528,Henrik Stenson,28.50,114,4,24
15,24,37455,Si Woo Kim,28.75,115,4,26
16,40,23320,Ryan Palmer,29.00,116,4,26
17,0,20229,Stewart Cink,29.25,117,4,28
17,0,27644,Brian Harman,29.25,117,4,28
17,0,30944,Jason Kokrak,29.25,117,4,28
17,0,52215,Robert MacIntyre,29.25,117,4,28
17,0,48081,Xander Schauffele,29.25,117,4,26
17,0,33448,Justin Thomas,29.25,117,4,26
17,3,31323,Gary Woodland,29.25,117,4,28
24,0,34099,Harris English,29.50,118,4,25
24,0,25198,Francesco Molinari,29.50,118,4,27
24,0,32150,Michael Thompson,29.50,118,4,28
27,0,26300,Matt Jones,29.75,119,4,28
27,0,33204,Shane Lowry,29.75,119,4,27
27,0,22405,Justin Rose,29.75,119,4,25
27,0,30927,Brendon Todd,29.75,119,4,27
27,12,48887,Matt Wallace,29.75,119,4,26
27,0,29454,Bernd Wiesberger,29.75,119,4,25
33,0,46970,Jon Rahm,30.00,120,4,28
33,23,46046,Scottie Scheffler,30.00,120,4,29
33,0,35891,Cameron Smith,30.00,120,4,27
33,0,47483,Will Zalatoris,30.00,120,4,25
37,0,25364,Paul Casey,30.25,121,4,27
37,8,52372,Cameron Champ,30.25,121,4,27
37,0,35506,Mackenzie Hughes,30.25,121,4,29
37,8,27936,Martin Laird,30.25,121,4,28
37,0,50525,Collin Morikawa,30.25,121,4,27
37,-17,26331,Charl Schwartzel,30.25,121,4,28
37,-36,34046,Jordan Spieth,30.25,121,4,28
44,0,47959,Bryson DeChambeau,30.50,122,4,29
44,0,40098,Matt Fitzpatrick,30.50,122,4,28
44,-24,48822,Sebastián Muñoz,30.50,122,4,29
44,0,24502,Adam Scott,30.50,122,4,27
44,0,25804,Bubba Watson,30.50,122,4,29
49,0,01810,Phil Mickelson,30.75,123,4,27
49,0,45486,Joaquin Niemann,30.75,123,4,30
49,0,26329,Louis Oosthuizen,30.75,123,4,30
52,4,39997,Corey Conners,31.00,124,4,29
53,0,30911,Tommy Fleetwood,31.75,127,4,30
53,0,31557,Jim Herman,31.75,127,4,28
