RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,52372,Cameron Champ,324.4,2595,8
2,0,47959,Bryson DeChambeau,323.6,2589,8
3,0,31323,Gary Woodland,316.5,2532,8
4,0,46970,Jon Rahm,315.6,2525,8
5,0,45486,Joaquin Niemann,315.1,2521,8
6,0,33448,Justin Thomas,314.0,2512,8
7,11,23320,Ryan Palmer,312.3,2498,8
8,0,30944,Jason Kokrak,311.6,2493,8
9,0,48081,Xander Schauffele,311.4,2491,8
10,0,24502,Adam Scott,310.5,2484,8
11,0,29725,Tony Finau,308.4,2467,8
12,0,20229,Stewart Cink,305.4,2443,8
13,0,34363,Tyrrell Hatton,304.4,2435,8
14,26,27936,Martin Laird,304.3,2434,8
15,1,46046,Scottie Scheffler,303.9,2431,8
16,0,34099,Harris English,302.9,2423,8
17,0,25364,Paul Casey,301.4,2411,8
17,0,29454,Bernd Wiesberger,301.4,2411,8
19,1,48822,Sebastián Muñoz,300.9,2407,8
20,0,34360,Patrick Reed,300.4,2403,8
21,0,33204,Shane Lowry,300.3,2402,8
22,0,46717,Viktor Hovland,300.1,2401,8
23,0,29420,Billy Horschel,299.6,2397,8
24,0,52215,Robert MacIntyre,299.4,2395,8
25,0,25804,Bubba Watson,298.8,2390,8
25,0,47483,Will Zalatoris,298.8,2390,8
27,0,40098,Matt Fitzpatrick,298.6,2389,8
28,0,35506,Mackenzie Hughes,298.0,2384,8
29,0,26329,Louis Oosthuizen,297.9,2383,8
30,0,25198,Francesco Molinari,297.5,2380,8
31,0,35891,Cameron Smith,296.4,2371,8
32,0,26851,Marc Leishman,296.3,2370,8
33,0,26300,Matt Jones,296.1,2369,8
34,22,39997,Corey Conners,296.0,2368,8
35,0,31557,Jim Herman,295.9,2367,8
35,0,01810,Phil Mickelson,295.9,2367,8
37,8,37455,Si Woo Kim,295.5,2364,8
37,-9,26331,Charl Schwartzel,295.5,2364,8
39,0,21528,Henrik Stenson,294.8,2358,8
40,0,30911,Tommy Fleetwood,294.4,2355,8
41,-18,34046,Jordan Spieth,294.1,2353,8
42,0,25396,Kevin Na,293.8,2350,8
43,0,27644,Brian Harman,293.3,2346,8
44,0,22405,Justin Rose,293.0,2344,8
45,0,32150,Michael Thompson,292.5,2340,8
46,0,50525,Collin Morikawa,291.0,2328,8
47,-8,32839,Hideki Matsuyama,288.8,2310,8
48,0,45522,Christiaan Bezuidenhout,288.4,2307,8
49,26,45526,Abraham Ancer,287.8,2302,8
50,0,29221,Webb Simpson,286.0,2288,8
51,-41,48887,Matt Wallace,285.8,2286,8
52,0,24138,Ian Poulter,281.0,2248,8
53,0,30927,Brendon Todd,277.1,2217,8
54,0,06373,José María Olazábal,266.9,2135,8
