RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,0,19846,Brian Gay,24.00,24,1
1,0,46717,Viktor Hovland,24.00,24,1
1,0,29518,Brendan Steele,24.00,24,1
4,20,40026,Daniel Berger,25.00,25,1
4,32,51766,Wyndham Clark,25.00,25,1
4,61,47959,Bryson DeChambeau,25.00,25,1
4,0,40098,Matt Fitzpatrick,25.00,25,1
4,0,34098,Russell Henley,25.00,25,1
4,0,26300,Matt Jones,25.00,25,1
4,0,33204,Shane Lowry,25.00,25,1
4,0,59872,Brad Marek,25.00,25,1
4,0,34431,Robert Streb,25.00,25,1
13,0,33948,Byeong Hun An,26.00,26,1
13,0,33974,Dean Burmester,26.00,26,1
13,0,34076,Joel Dahmen,26.00,26,1
13,0,39058,Lucas Herbert,26.00,26,1
13,0,47993,Denny McCarthy,26.00,26,1
13,23,46046,Scottie Scheffler,26.00,26,1
13,0,29221,Webb Simpson,26.00,26,1
20,0,45157,Cam Davis,27.00,27,1
20,0,28089,Jason Day,27.00,27,1
20,0,32102,Rickie Fowler,27.00,27,1
20,0,29974,Branden Grace,27.00,27,1
20,0,33597,Harry Higgs,27.00,27,1
20,0,35104,Tom Lewis,27.00,27,1
20,29,32839,Hideki Matsuyama,27.00,27,1
20,0,01810,Phil Mickelson,27.00,27,1
20,0,26329,Louis Oosthuizen,27.00,27,1
20,0,24138,Ian Poulter,27.00,27,1
20,0,35891,Cameron Smith,27.00,27,1
20,0,06527,Steve Stricker,27.00,27,1
20,0,25632,Jimmy Walker,27.00,27,1
33,0,25364,Paul Casey,28.00,28,1
33,0,31646,Emiliano Grillo,28.00,28,1
33,0,34363,Tyrrell Hatton,28.00,28,1
33,-31,27349,Alex Noren,28.00,28,1
33,-9,33667,Carlos Ortiz,28.00,28,1
33,0,34360,Patrick Reed,28.00,28,1
33,0,47128,Richy Werenski,28.00,28,1
33,-15,20396,Lee Westwood,28.00,28,1
33,0,32139,Danny Willett,28.00,28,1
42,0,35450,Patrick Cantlay,29.00,29,1
42,0,20229,Stewart Cink,29.00,29,1
42,0,29725,Tony Finau,29.00,29,1
42,0,33399,Adam Hadwin,29.00,29,1
42,0,35532,Tom Hoge,29.00,29,1
42,0,52686,Rasmus Hojgaard,29.00,29,1
42,0,47989,Sam Horsfield,29.00,29,1
42,0,52215,Robert MacIntyre,29.00,29,1
42,0,22405,Justin Rose,29.00,29,1
42,0,31569,Jason Scrivener,29.00,29,1
42,0,35181,Daniel van Tonder,29.00,29,1
42,0,25804,Bubba Watson,29.00,29,1
54,0,45526,Abraham Ancer,30.00,30,1
54,0,45522,Christiaan Bezuidenhout,30.00,30,1
54,-48,34099,Harris English,30.00,30,1
54,0,12716,Charley Hoffman,30.00,30,1
54,0,39971,Sungjae Im,30.00,30,1
54,0,36689,Brooks Koepka,30.00,30,1
54,0,30944,Jason Kokrak,30.00,30,1
54,0,28237,Rory McIlroy,30.00,30,1
54,-18,46970,Jon Rahm,30.00,30,1
54,0,27214,Kevin Streelman,30.00,30,1
54,0,37189,Harold Varner III,30.00,30,1
54,0,48887,Matt Wallace,30.00,30,1
54,0,31323,Gary Woodland,30.00,30,1
54,7,47483,Will Zalatoris,30.00,30,1
68,0,33141,Keegan Bradley,31.00,31,1
68,0,20766,Padraig Harrington,31.00,31,1
68,0,29420,Billy Horschel,31.00,31,1
68,0,34587,Chan Kim,31.00,31,1
68,0,45486,Joaquin Niemann,31.00,31,1
73,0,54421,Garrick Higgo,32.00,32,1
73,0,50525,Collin Morikawa,32.00,32,1
75,-69,46402,Talor Gooch,33.00,33,1
75,0,21528,Henrik Stenson,33.00,33,1
75,-6,49964,Aaron Wise,33.00,33,1
78,0,39997,Corey Conners,34.00,34,1
78,0,54334,Ben Cook,34.00,34,1
78,-42,34046,Jordan Spieth,34.00,34,1
81,-75,27936,Martin Laird,35.00,35,1
