PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,GIR_PERCENTAGE,TOTAL_DRIVING_DISTANCE,FIR_PERCENTAGE,SCRAMBLING_PERCENTAGE,PUTTS_PER_ROUND,R1_PUTTS,R2_PUTTS
12716,Charley Hoffman,2021 PGA Championship,70.83,310.6,67.86,42.86,31.0,31,30
27936,Martin Laird,2021 PGA Championship,69.44,294.9,71.43,45.45,30.5,25,35
26329,Louis Oosthuizen,2021 PGA Championship,69.44,303.1,51.79,63.64,29.25,28,27
33141,Keegan Bradley,2021 PGA Championship,68.06,306.4,71.43,60.87,30.0,31,31
25364,Paul Casey,2021 PGA Championship,68.06,311.0,58.93,52.17,30.25,29,28
50525,Collin Morikawa,2021 PGA Championship,68.06,302.3,75.0,43.48,29.25,27,32
45486,Joaquin Niemann,2021 PGA Championship,68.06,320.1,60.71,47.83,29.75,28,31
35181,Daniel van Tonder,2021 PGA Championship,68.06,294.5,66.07,47.83,30.75,31,29
39997,Corey Conners,2021 PGA Championship,66.67,295.4,73.21,54.17,30.5,24,34
36689,Brooks Koepka,2021 PGA Championship,66.67,316.8,53.57,45.83,29.0,28,30
32839,Hideki Matsuyama,2021 PGA Championship,65.28,297.9,62.5,68.0,29.0,31,27
35450,Patrick Cantlay,2021 PGA Championship,63.89,306.9,57.14,57.69,29.5,31,29
31646,Emiliano Grillo,2021 PGA Championship,63.89,301.4,41.07,53.85,29.25,30,28
29420,Billy Horschel,2021 PGA Championship,63.89,299.4,67.86,46.15,29.25,29,31
34587,Chan Kim,2021 PGA Championship,63.89,315.1,58.93,57.69,29.75,33,31
33204,Shane Lowry,2021 PGA Championship,63.89,306.0,69.64,65.38,28.25,30,25
1810,Phil Mickelson,2021 PGA Championship,63.89,313.3,55.36,46.15,28.5,27,27
48887,Matt Wallace,2021 PGA Championship,63.89,303.3,67.86,42.31,28.25,26,30
52215,Robert MacIntyre,2021 PGA Championship,62.5,294.6,58.93,44.44,30.25,32,29
45526,Abraham Ancer,2021 PGA Championship,61.11,301.8,82.14,64.29,28.25,30,30
29725,Tony Finau,2021 PGA Championship,61.11,301.8,58.93,60.71,28.5,27,29
22405,Justin Rose,2021 PGA Championship,61.11,299.5,69.64,57.14,27.0,27,29
27214,Kevin Streelman,2021 PGA Championship,61.11,302.8,67.86,53.57,29.0,27,30
47483,Will Zalatoris,2021 PGA Championship,61.11,306.5,67.86,64.29,29.25,28,30
40026,Daniel Berger,2021 PGA Championship,59.72,298.4,64.29,37.93,29.5,30,25
32102,Rickie Fowler,2021 PGA Championship,59.72,289.0,60.71,62.07,27.5,27,27
34098,Russell Henley,2021 PGA Championship,59.72,282.6,60.71,41.38,30.0,29,25
46717,Viktor Hovland,2021 PGA Championship,59.72,303.9,53.57,58.62,27.5,29,24
