RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,24361,Pat Perez,2.182,8.728,4
2,22,32640,Troy Merritt,1.811,7.243,4
3,56,35506,Mackenzie Hughes,1.576,6.305,4
4,2,49766,Hank Lebioda,1.519,6.076,4
5,0,28679,Fabián Gómez,1.439,5.756,4
6,49,28252,Seamus Power,1.420,5.680,4
7,0,33486,Roger Sloan,1.224,4.897,4
8,33,45486,Joaquin Niemann,1.223,4.893,4
9,51,39324,J.J. Spaun,1.204,4.817,4
10,21,32333,Kevin Tway,1.200,4.800,4
11,0,32757,Patton Kizzire,1.187,4.749,4
12,0,22371,Aaron Baddeley,1.150,4.600,4
13,10,28089,Jason Day,1.048,4.194,4
14,0,10381,Curtis Thompson,1.022,4.088,4
15,0,27349,Alex Noren,.941,3.763,4
16,0,33120,Mark Anderson,.924,3.696,4
17,16,35104,Tom Lewis,.878,3.513,4
18,0,34076,Joel Dahmen,.862,3.448,4
19,0,33419,Cameron Tringale,.844,3.375,4
20,0,47128,Richy Werenski,.796,3.186,4
21,0,46550,Brandon Hagy,.792,3.168,4
22,0,45157,Cam Davis,.774,3.097,4
23,3,34431,Robert Streb,.756,3.026,4
24,-21,29478,Kevin Kisner,.715,2.859,4
25,0,27974,Sung Kang,.704,2.815,4
26,36,22056,Cameron Percy,.666,2.665,4
27,0,31420,Anirban Lahiri,.571,2.285,4
28,0,25900,Lucas Glover,.532,2.130,4
29,0,30692,Scott Stallings,.521,2.083,4
30,0,30926,Chris Kirk,.446,1.783,4
31,27,30163,Henrik Norlander,.406,1.625,4
32,-11,46442,Maverick McNealy,.299,1.195,4
33,0,51894,Vince Whaley,.293,1.174,4
34,39,34360,Patrick Reed,.242,.970,4
35,18,52375,Doug Ghim,.217,.870,4
36,0,48045,Michael Gellerman,.193,.772,4
37,0,27649,Brandt Snedeker,.189,.755,4
38,0,29479,Scott Brown,.151,.605,4
39,0,24140,Sean O'Hair,.141,.564,4
40,0,50006,Willie Mack III,.135,.539,4
41,0,54421,Garrick Higgo,.134,.536,4
42,-23,35461,Beau Hossler,.131,.523,4
43,0,32662,Michael Gligic,.123,.494,4
44,0,32102,Rickie Fowler,.107,.428,4
45,0,39971,Sungjae Im,.078,.311,4
46,0,33404,Chris Baker,.060,.241,4
47,0,23623,Bo Van Pelt,.054,.215,4
48,-1,25804,Bubba Watson,.039,.156,4
49,0,47347,Adam Schenk,.022,.088,4
50,-48,49298,Kramer Hickok,-.096,-.385,4
51,0,25632,Jimmy Walker,-.104,-.416,4
52,0,32139,Danny Willett,-.118,-.472,4
53,0,33490,Bo Hoag,-.134,-.534,4
54,0,36871,Matthew NeSmith,-.221,-.882,4
55,0,58168,Davis Thompson,-.237,-.948,4
56,14,45609,Tyler Duncan,-.246,-.982,4
57,12,35310,Lanto Griffin,-.247,-.986,4
58,0,27330,Josh Teater,-.367,-1.466,4
59,0,39977,Max Homa,-.371,-1.483,4
60,-38,26300,Matt Jones,-.408,-1.630,4
61,0,30944,Jason Kokrak,-.447,-1.787,4
62,0,34563,Chesson Hadley,-.451,-1.803,4
63,0,33122,Russell Knox,-.529,-2.116,4
63,16,36699,Patrick Rodgers,-.529,-2.116,4
65,0,35230,Nelson Ledesma,-.546,-2.182,4
66,9,30110,Kyle Stanley,-.564,-2.254,4
67,-27,01810,Phil Mickelson,-.577,-2.306,4
68,-52,27895,Jonas Blixt,-.610,-2.440,4
69,0,25493,Nick Taylor,-.618,-2.473,4
70,0,37455,Si Woo Kim,-.683,-2.733,4
71,0,47483,Will Zalatoris,-.783,-3.132,4
72,0,27770,Camilo Villegas,-.845,-3.378,4
73,0,48822,Sebastián Muñoz,-1.013,-4.050,4
74,0,33141,Keegan Bradley,-1.080,-4.321,4
75,0,56278,Matthew Wolff,-1.087,-4.348,4
76,0,33948,Byeong Hun An,-1.171,-4.684,4
77,0,28420,Ryan Brehm,-1.841,-7.363,4
