RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS
1,0,35891,Cameron Smith,26.75,107,4,25
2,0,45522,Christiaan Bezuidenhout,27.00,108,4,26
2,0,27644,Brian Harman,27.00,108,4,25
4,21,46402,Talor Gooch,27.50,110,4,26
5,32,47959,Bryson DeChambeau,27.75,111,4,23
5,0,33399,Adam Hadwin,27.75,111,4,24
5,44,29518,Brendan Steele,27.75,111,4,25
8,12,25364,Paul Casey,28.00,112,4,26
8,0,26596,Ryan Moore,28.00,112,4,26
8,47,36699,Patrick Rodgers,28.00,112,4,27
8,0,24502,Adam Scott,28.00,112,4,25
8,0,33448,Justin Thomas,28.00,112,4,25
13,24,39997,Corey Conners,28.25,113,4,25
13,0,35532,Tom Hoge,28.25,113,4,26
13,-3,24024,Zach Johnson,28.25,113,4,26
13,0,49771,J.T. Poston,28.25,113,4,26
17,0,40026,Daniel Berger,28.50,114,4,27
17,0,28775,Nate Lashley,28.50,114,4,26
17,0,35449,Adam Long,28.50,114,4,27
17,20,47993,Denny McCarthy,28.50,114,4,26
17,32,30927,Brendon Todd,28.50,114,4,25
17,8,20396,Lee Westwood,28.50,114,4,26
23,0,29479,Scott Brown,28.75,115,4,26
23,0,49298,Kramer Hickok,28.75,115,4,26
23,2,39971,Sungjae Im,28.75,115,4,25
23,0,30925,Dustin Johnson,28.75,115,4,25
23,0,34360,Patrick Reed,28.75,115,4,26
23,0,31560,Brian Stuard,28.75,115,4,27
29,0,19803,Ryan Armour,29.00,116,4,26
29,-14,40098,Matt Fitzpatrick,29.00,116,4,27
29,41,25900,Lucas Glover,29.00,116,4,25
29,0,26300,Matt Jones,29.00,116,4,27
29,0,23320,Ryan Palmer,29.00,116,4,26
34,-19,33141,Keegan Bradley,29.25,117,4,27
34,3,35310,Lanto Griffin,29.25,117,4,28
34,0,27554,Scott Harrington,29.25,117,4,27
34,15,30944,Jason Kokrak,29.25,117,4,27
34,0,33204,Shane Lowry,29.25,117,4,27
34,0,40042,Tyler McCumber,29.25,117,4,25
34,0,01810,Phil Mickelson,29.25,117,4,27
34,0,50525,Collin Morikawa,29.25,117,4,23
42,13,32757,Patton Kizzire,29.50,118,4,27
42,-17,47679,Victor Perez,29.50,118,4,27
44,0,33597,Harry Higgs,29.75,119,4,26
44,0,29420,Billy Horschel,29.75,119,4,28
44,11,33122,Russell Knox,29.75,119,4,28
44,0,25493,Nick Taylor,29.75,119,4,26
44,0,27064,Jhonattan Vegas,29.75,119,4,29
49,0,45526,Abraham Ancer,30.00,120,4,26
49,-12,28089,Jason Day,30.00,120,4,29
49,17,21961,Charles Howell III,30.00,120,4,28
49,0,26329,Louis Oosthuizen,30.00,120,4,29
49,0,25818,Scott Piercy,30.00,120,4,29
54,0,29970,Dylan Frittelli,30.25,121,4,29
54,0,21209,Sergio Garcia,30.25,121,4,29
54,-44,12716,Charley Hoffman,30.25,121,4,26
54,0,37455,Si Woo Kim,30.25,121,4,28
54,-44,30926,Chris Kirk,30.25,121,4,27
54,0,45486,Joaquin Niemann,30.25,121,4,29
54,0,22056,Cameron Percy,30.25,121,4,26
61,0,32791,K.H. Lee,30.50,122,4,29
61,0,46970,Jon Rahm,30.50,122,4,27
61,0,32150,Michael Thompson,30.50,122,4,29
61,5,47483,Will Zalatoris,30.50,122,4,28
65,0,32448,James Hahn,30.75,123,4,27
66,0,23621,Rory Sabbatini,31.00,124,4,28
66,-11,37189,Harold Varner III,31.00,124,4,29
68,-48,34046,Jordan Spieth,31.25,125,4,29
69,-20,52375,Doug Ghim,31.50,126,4,30
69,0,49964,Aaron Wise,31.50,126,4,27
71,-16,27936,Martin Laird,32.00,128,4,28
