RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,24502,Adam Scott,308.4,2467,8
2,19,47483,Will Zalatoris,306.8,2454,8
3,0,27554,Scott Harrington,306.5,2452,8
4,0,29970,Dylan Frittelli,304.4,2435,8
4,13,12716,Charley Hoffman,304.4,2435,8
4,9,36699,Patrick Rodgers,304.4,2435,8
7,7,37189,Harold Varner III,304.0,2432,8
8,0,45486,Joaquin Niemann,303.6,2429,8
9,0,30925,Dustin Johnson,303.3,2426,8
10,-9,47959,Bryson DeChambeau,302.8,2422,8
10,0,40042,Tyler McCumber,302.8,2422,8
12,48,21961,Charles Howell III,300.8,2406,8
13,0,26300,Matt Jones,300.0,2400,8
14,-6,30944,Jason Kokrak,299.6,2397,8
14,36,47679,Victor Perez,299.6,2397,8
16,0,32791,K.H. Lee,298.4,2387,8
17,9,46402,Talor Gooch,295.8,2366,8
18,0,33448,Justin Thomas,295.3,2362,8
19,-3,28089,Jason Day,294.9,2359,8
19,-13,35310,Lanto Griffin,294.9,2359,8
21,0,46970,Jon Rahm,294.8,2358,8
21,19,20396,Lee Westwood,294.8,2358,8
23,0,45526,Abraham Ancer,294.1,2353,8
24,-2,33141,Keegan Bradley,294.0,2352,8
24,0,49964,Aaron Wise,294.0,2352,8
26,0,32448,James Hahn,293.9,2351,8
27,0,21209,Sergio Garcia,293.3,2346,8
28,-5,25364,Paul Casey,292.5,2340,8
28,16,32757,Patton Kizzire,292.5,2340,8
30,0,50525,Collin Morikawa,292.4,2339,8
31,5,25900,Lucas Glover,292.1,2337,8
32,0,33399,Adam Hadwin,291.4,2331,8
33,0,33204,Shane Lowry,291.3,2330,8
34,0,27064,Jhonattan Vegas,291.1,2329,8
35,0,35891,Cameron Smith,291.0,2328,8
36,0,49771,J.T. Poston,290.8,2326,8
37,0,40026,Daniel Berger,290.4,2323,8
37,2,27936,Martin Laird,290.4,2323,8
39,0,26329,Louis Oosthuizen,290.3,2322,8
40,13,39971,Sungjae Im,290.0,2320,8
41,0,25493,Nick Taylor,289.0,2312,8
42,27,39997,Corey Conners,288.8,2310,8
42,0,23320,Ryan Palmer,288.8,2310,8
44,0,29479,Scott Brown,288.4,2307,8
45,-16,34046,Jordan Spieth,288.1,2305,8
46,0,29420,Billy Horschel,286.8,2294,8
46,0,01810,Phil Mickelson,286.8,2294,8
48,-28,47993,Denny McCarthy,286.6,2293,8
48,-20,29518,Brendan Steele,286.6,2293,8
50,0,34360,Patrick Reed,286.1,2289,8
51,-6,40098,Matt Fitzpatrick,285.3,2282,8
52,0,37455,Si Woo Kim,284.9,2279,8
52,0,25818,Scott Piercy,284.9,2279,8
54,0,49298,Kramer Hickok,284.0,2272,8
55,0,23621,Rory Sabbatini,283.3,2266,8
56,0,33597,Harry Higgs,282.0,2256,8
57,0,19803,Ryan Armour,281.6,2253,8
57,0,27644,Brian Harman,281.6,2253,8
59,2,24024,Zach Johnson,281.4,2251,8
60,0,35449,Adam Long,281.1,2249,8
61,-3,52375,Doug Ghim,281.0,2248,8
62,0,35532,Tom Hoge,279.6,2237,8
62,0,28775,Nate Lashley,279.6,2237,8
62,0,22056,Cameron Percy,279.6,2237,8
65,0,26596,Ryan Moore,279.4,2235,8
66,-10,30926,Chris Kirk,279.1,2233,8
67,1,45522,Christiaan Bezuidenhout,278.6,2229,8
68,-19,33122,Russell Knox,278.0,2224,8
69,0,32150,Michael Thompson,277.5,2220,8
70,0,31560,Brian Stuard,274.5,2196,8
71,0,30927,Brendon Todd,272.4,2179,8
