RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,33448,Justin Thomas,3.218,.863,1.621,.735,4
2,43,28089,Jason Day,2.798,1.209,.548,1.041,4
3,9,21961,Charles Howell III,2.771,1.383,.744,.643,4
4,0,40026,Daniel Berger,2.307,.652,.866,.788,4
5,0,21209,Sergio Garcia,2.222,-.333,2.080,.474,4
6,-4,47959,Bryson DeChambeau,2.182,.458,1.285,.439,4
7,0,29970,Dylan Frittelli,2.160,-.479,1.052,1.587,4
8,0,45526,Abraham Ancer,2.140,.851,1.047,.242,4
9,0,37455,Si Woo Kim,2.044,.014,2.035,-.005,4
10,47,46402,Talor Gooch,1.864,-.732,1.699,.897,4
11,0,33204,Shane Lowry,1.863,.175,.747,.942,4
12,22,52375,Doug Ghim,1.852,-.151,1.199,.804,4
13,-12,20396,Lee Westwood,1.827,.094,1.110,.623,4
14,-8,39997,Corey Conners,1.739,.529,1.253,-.043,4
15,-10,47483,Will Zalatoris,1.626,.559,1.154,-.086,4
16,0,46970,Jon Rahm,1.593,.256,1.170,.167,4
17,-9,25364,Paul Casey,1.555,-.142,1.106,.591,4
18,54,47679,Victor Perez,1.513,.587,.411,.515,4
19,-10,30926,Chris Kirk,1.484,.258,.551,.676,4
20,-4,12716,Charley Hoffman,1.437,-.354,1.820,-.029,4
21,-17,30944,Jason Kokrak,1.366,.739,1.157,-.530,4
22,0,27644,Brian Harman,1.306,.852,.124,.330,4
23,25,40098,Matt Fitzpatrick,1.302,1.014,-.248,.536,4
24,0,50525,Collin Morikawa,1.147,.918,.772,-.543,4
25,0,40042,Tyler McCumber,1.134,1.060,.322,-.249,4
26,0,01810,Phil Mickelson,.888,.235,1.123,-.470,4
27,0,23320,Ryan Palmer,.882,.531,.494,-.142,4
28,0,25493,Nick Taylor,.867,-.286,1.204,-.051,4
29,-22,34046,Jordan Spieth,.819,.375,1.549,-1.104,4
30,0,35532,Tom Hoge,.755,-.341,1.040,.057,4
31,0,32791,K.H. Lee,.744,1.139,.538,-.933,4
32,28,39971,Sungjae Im,.728,1.061,.052,-.386,4
33,0,32757,Patton Kizzire,.705,-.173,1.028,-.150,4
34,0,22056,Cameron Percy,.659,.440,.163,.056,4
35,0,35449,Adam Long,.629,.909,-.046,-.233,4
36,-21,33141,Keegan Bradley,.547,-.490,.555,.483,4
37,0,32448,James Hahn,.531,-.329,.987,-.126,4
38,0,33597,Harry Higgs,.517,-.038,.665,-.110,4
39,0,33399,Adam Hadwin,.464,.084,-.809,1.189,4
40,0,34360,Patrick Reed,.452,.227,-.068,.293,4
41,0,35891,Cameron Smith,.423,-.591,.115,.900,4
42,0,45486,Joaquin Niemann,.300,.195,.120,-.015,4
43,0,49771,J.T. Poston,.255,.492,-.407,.170,4
43,-8,37189,Harold Varner III,.255,.744,-.300,-.189,4
45,-1,25900,Lucas Glover,.231,.249,-.410,.391,4
46,0,23621,Rory Sabbatini,.195,-.091,.205,.081,4
47,-15,45522,Christiaan Bezuidenhout,.140,-.038,-.273,.452,4
48,-8,27936,Martin Laird,.122,.411,-.139,-.150,4
49,0,26596,Ryan Moore,.119,.757,-.856,.217,4
50,-29,35310,Lanto Griffin,.063,.194,.708,-.839,4
51,0,25818,Scott Piercy,.056,-.867,.351,.572,4
52,0,26329,Louis Oosthuizen,.035,-.907,.421,.521,4
53,0,27554,Scott Harrington,-.128,-.164,-1.150,1.187,4
54,0,24502,Adam Scott,-.136,-1.291,.405,.750,4
55,0,49964,Aaron Wise,-.153,.242,-.726,.330,4
56,0,31560,Brian Stuard,-.185,.877,-.942,-.120,4
57,5,30927,Brendon Todd,-.218,.392,-.956,.346,4
58,0,32150,Michael Thompson,-.266,.374,-.333,-.307,4
59,0,26300,Matt Jones,-.296,-.624,-.606,.935,4
60,-49,29518,Brendan Steele,-.416,.036,-.985,.533,4
61,0,27064,Jhonattan Vegas,-.428,.362,-.524,-.265,4
62,0,19803,Ryan Armour,-.460,-.184,-.301,.025,4
63,7,33122,Russell Knox,-.502,-.790,.386,-.097,4
64,0,29420,Billy Horschel,-.594,.376,-.998,.028,4
65,0,30925,Dustin Johnson,-.664,.310,-.977,.004,4
66,5,24024,Zach Johnson,-.958,.060,-.994,-.023,4
67,-9,47993,Denny McCarthy,-.960,-.293,.097,-.763,4
68,-7,36699,Patrick Rodgers,-1.291,.511,-1.518,-.284,4
69,0,49298,Kramer Hickok,-1.322,.200,-1.262,-.260,4
70,0,28775,Nate Lashley,-1.353,-1.171,-.727,.546,4
71,0,29479,Scott Brown,-1.458,.335,-.743,-1.049,4
