RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,0,46414,Aaron Rai,76.79,43,56
2,0,45836,Richard Bland,75.00,42,56
3,21,40026,Daniel Berger,73.21,41,56
4,0,33204,Shane Lowry,71.43,40,56
5,0,34076,Joel Dahmen,69.64,39,56
5,0,30812,Benjamin Hebert,69.64,39,56
5,0,46837,Yuxin Lin,69.64,39,56
5,0,26329,Louis Oosthuizen,69.64,39,56
5,0,46970,Jon Rahm,69.64,39,56
5,0,48867,Matti Schmid,69.64,39,56
5,0,23481,Marcel Siem,69.64,39,56
5,0,32139,Danny Willett,69.64,39,56
13,0,34099,Harris English,67.86,38,56
13,-11,26476,Chez Reavie,67.86,38,56
13,0,34541,Poom Saksansin,67.86,38,56
13,0,34708,Jack Senior,67.86,38,56
13,0,27649,Brandt Snedeker,67.86,38,56
18,0,39997,Corey Conners,66.07,37,56
18,0,35310,Lanto Griffin,66.07,37,56
18,0,24138,Ian Poulter,66.07,37,56
18,0,46046,Scottie Scheffler,66.07,37,56
18,0,34046,Jordan Spieth,66.07,37,56
18,0,27214,Kevin Streelman,66.07,37,56
18,0,35314,Andy Sullivan,66.07,37,56
25,0,40098,Matt Fitzpatrick,64.29,36,56
25,0,21209,Sergio Garcia,64.29,36,56
25,0,27644,Brian Harman,64.29,36,56
25,0,34500,Ryosuke Kinoshita,64.29,36,56
25,0,36689,Brooks Koepka,64.29,36,56
25,0,52215,Robert MacIntyre,64.29,36,56
25,0,33448,Justin Thomas,64.29,36,56
25,0,20396,Lee Westwood,64.29,36,56
33,0,45194,Marcus Armitage,62.50,35,56
33,0,25364,Paul Casey,62.50,35,56
33,0,29725,Tony Finau,62.50,35,56
33,0,46402,Talor Gooch,62.50,35,56
33,0,46717,Viktor Hovland,62.50,35,56
33,0,35181,Daniel van Tonder,62.50,35,56
39,0,45526,Abraham Ancer,60.71,34,56
39,0,39977,Max Homa,60.71,34,56
39,0,35506,Mackenzie Hughes,60.71,34,56
39,0,47238,Jazz Janewattananond,60.71,34,56
39,0,30925,Dustin Johnson,60.71,34,56
39,0,29478,Kevin Kisner,60.71,34,56
39,0,28237,Rory McIlroy,60.71,34,56
39,0,50525,Collin Morikawa,60.71,34,56
39,0,45847,JC Ritchie,60.71,34,56
39,0,46646,Antoine Rozner,60.71,34,56
39,0,24502,Adam Scott,60.71,34,56
39,0,33419,Cameron Tringale,60.71,34,56
39,0,29454,Bernd Wiesberger,60.71,34,56
52,0,45522,Christiaan Bezuidenhout,58.93,33,56
52,0,28938,Justin Harding,58.93,33,56
52,0,20766,Padraig Harrington,58.93,33,56
52,0,29420,Billy Horschel,58.93,33,56
52,0,54190,Richard Mansell,58.93,33,56
52,0,22405,Justin Rose,58.93,33,56
52,0,29518,Brendan Steele,58.93,33,56
59,0,33974,Dean Burmester,57.14,32,56
59,0,29970,Dylan Frittelli,57.14,32,56
59,0,31646,Emiliano Grillo,57.14,32,56
59,0,45486,Joaquin Niemann,57.14,32,56
59,0,35891,Cameron Smith,57.14,32,56
59,0,48640,Johannes Veerman,57.14,32,56
65,0,33948,Byeong Hun An,53.57,30,56
65,0,34587,Chan Kim,53.57,30,56
65,0,29221,Webb Simpson,53.57,30,56
65,0,50722,Jon Thomson,53.57,30,56
69,0,47989,Sam Horsfield,51.79,29,56
69,0,48887,Matt Wallace,51.79,29,56
71,0,30911,Tommy Fleetwood,50.00,28,56
71,0,48081,Xander Schauffele,50.00,28,56
73,0,32102,Rickie Fowler,48.21,27,56
74,0,47504,Sam Burns,46.43,26,56
74,0,47959,Bryson DeChambeau,46.43,26,56
74,0,30944,Jason Kokrak,46.43,26,56
77,0,29936,Ryan Fox,35.71,20,56
