RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,0,26476,Chez Reavie,75.00,42,56
2,0,45836,Richard Bland,71.43,40,56
2,0,50525,Collin Morikawa,71.43,40,56
4,0,26341,Wade Ormsby,67.86,38,56
5,0,35532,Tom Hoge,66.07,37,56
5,0,37455,Si Woo Kim,66.07,37,56
7,0,24138,Ian Poulter,64.29,36,56
8,0,48081,Xander Schauffele,62.50,35,56
9,0,40026,Daniel Berger,60.71,34,56
9,0,34360,Patrick Reed,60.71,34,56
9,0,20396,Lee Westwood,60.71,34,56
12,0,27644,Brian Harman,58.93,33,56
12,0,31323,Gary Woodland,58.93,33,56
14,0,40098,Matt Fitzpatrick,57.14,32,56
14,0,46732,Rick Lamb,57.14,32,56
14,0,55789,Taylor Montgomery,57.14,32,56
14,0,26329,Louis Oosthuizen,57.14,32,56
18,0,45522,Christiaan Bezuidenhout,55.36,31,56
18,0,39971,Sungjae Im,55.36,31,56
18,0,23814,Edoardo Molinari,55.36,31,56
21,0,56630,Akshay Bhatia,53.57,30,56
21,0,26499,Rafa Cabrera Bello,53.57,30,56
21,0,25364,Paul Casey,53.57,30,56
21,0,33399,Adam Hadwin,53.57,30,56
21,0,32839,Hideki Matsuyama,53.57,30,56
21,0,46046,Scottie Scheffler,53.57,30,56
21,0,25804,Bubba Watson,53.57,30,56
28,0,21209,Sergio Garcia,51.79,29,56
28,0,34098,Russell Henley,51.79,29,56
28,0,47056,Rikuya Hoshino,51.79,29,56
28,0,36689,Brooks Koepka,51.79,29,56
28,0,28237,Rory McIlroy,51.79,29,56
28,0,01810,Phil Mickelson,51.79,29,56
28,0,49771,J.T. Poston,51.79,29,56
28,0,46970,Jon Rahm,51.79,29,56
36,0,34099,Harris English,50.00,28,56
36,0,29974,Branden Grace,50.00,28,56
36,0,29478,Kevin Kisner,50.00,28,56
36,0,52215,Robert MacIntyre,50.00,28,56
36,0,45486,Joaquin Niemann,50.00,28,56
36,0,36699,Patrick Rodgers,50.00,28,56
42,0,28679,Fabián Gómez,48.21,27,56
42,0,35310,Lanto Griffin,48.21,27,56
42,0,32640,Troy Merritt,48.21,27,56
42,0,34046,Jordan Spieth,48.21,27,56
42,0,27214,Kevin Streelman,48.21,27,56
47,0,33404,Chris Baker,46.43,26,56
47,0,39834,Guido Migliozzi,46.43,26,56
47,0,25198,Francesco Molinari,46.43,26,56
47,0,26331,Charl Schwartzel,46.43,26,56
47,0,27064,Jhonattan Vegas,46.43,26,56
52,0,35450,Patrick Cantlay,44.64,25,56
52,0,27408,Martin Kaymer,44.64,25,56
52,0,51890,Greyson Sigg,44.64,25,56
55,0,47959,Bryson DeChambeau,42.86,24,56
55,0,12716,Charley Hoffman,42.86,24,56
55,0,35506,Mackenzie Hughes,42.86,24,56
55,0,26851,Marc Leishman,42.86,24,56
55,0,33204,Shane Lowry,42.86,24,56
60,0,20229,Stewart Cink,41.07,23,56
60,0,29970,Dylan Frittelli,41.07,23,56
60,0,24502,Adam Scott,41.07,23,56
60,0,33448,Justin Thomas,41.07,23,56
64,0,26300,Matt Jones,39.29,22,56
64,0,25632,Jimmy Walker,39.29,22,56
64,0,54783,Dylan Wu,39.29,22,56
67,0,30911,Tommy Fleetwood,37.50,21,56
67,0,30925,Dustin Johnson,37.50,21,56
67,0,56278,Matthew Wolff,37.50,21,56
70,0,56272,Wilco Nienaber,35.71,20,56
71,0,52411,Kyle Westmoreland,26.79,15,56
