RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,0,46046,Scottie Scheffler,23.00,23,1
2,0,45522,Christiaan Bezuidenhout,24.00,24,1
2,0,25198,Francesco Molinari,24.00,24,1
4,0,28679,Fabián Gómez,25.00,25,1
5,0,35450,Patrick Cantlay,26.00,26,1
5,0,27644,Brian Harman,26.00,26,1
5,0,35506,Mackenzie Hughes,26.00,26,1
5,0,32640,Troy Merritt,26.00,26,1
5,0,23814,Edoardo Molinari,26.00,26,1
5,0,55789,Taylor Montgomery,26.00,26,1
11,0,33399,Adam Hadwin,27.00,27,1
11,0,34098,Russell Henley,27.00,27,1
11,0,35532,Tom Hoge,27.00,27,1
11,0,36689,Brooks Koepka,27.00,27,1
11,0,26329,Louis Oosthuizen,27.00,27,1
11,0,24138,Ian Poulter,27.00,27,1
11,0,46970,Jon Rahm,27.00,27,1
18,0,45836,Richard Bland,28.00,28,1
18,0,26499,Rafa Cabrera Bello,28.00,28,1
18,0,34099,Harris English,28.00,28,1
18,0,12716,Charley Hoffman,28.00,28,1
18,0,26300,Matt Jones,28.00,28,1
18,0,29478,Kevin Kisner,28.00,28,1
18,0,28237,Rory McIlroy,28.00,28,1
18,0,34360,Patrick Reed,28.00,28,1
26,0,33404,Chris Baker,29.00,29,1
26,0,56630,Akshay Bhatia,29.00,29,1
26,0,47959,Bryson DeChambeau,29.00,29,1
26,0,30911,Tommy Fleetwood,29.00,29,1
26,0,21209,Sergio Garcia,29.00,29,1
26,0,47056,Rikuya Hoshino,29.00,29,1
26,0,45486,Joaquin Niemann,29.00,29,1
26,0,26341,Wade Ormsby,29.00,29,1
26,0,36699,Patrick Rodgers,29.00,29,1
26,0,48081,Xander Schauffele,29.00,29,1
26,0,24502,Adam Scott,29.00,29,1
26,0,27214,Kevin Streelman,29.00,29,1
26,0,33448,Justin Thomas,29.00,29,1
26,0,25804,Bubba Watson,29.00,29,1
26,0,54783,Dylan Wu,29.00,29,1
41,0,40026,Daniel Berger,30.00,30,1
41,0,25364,Paul Casey,30.00,30,1
41,0,20229,Stewart Cink,30.00,30,1
41,0,39971,Sungjae Im,30.00,30,1
41,0,30925,Dustin Johnson,30.00,30,1
41,0,46732,Rick Lamb,30.00,30,1
41,0,26851,Marc Leishman,30.00,30,1
41,0,32839,Hideki Matsuyama,30.00,30,1
41,0,39834,Guido Migliozzi,30.00,30,1
41,0,26331,Charl Schwartzel,30.00,30,1
41,0,51890,Greyson Sigg,30.00,30,1
41,0,20396,Lee Westwood,30.00,30,1
53,0,40098,Matt Fitzpatrick,31.00,31,1
53,0,37455,Si Woo Kim,31.00,31,1
53,0,33204,Shane Lowry,31.00,31,1
53,0,52215,Robert MacIntyre,31.00,31,1
53,0,52411,Kyle Westmoreland,31.00,31,1
53,0,56278,Matthew Wolff,31.00,31,1
59,0,29974,Branden Grace,32.00,32,1
59,0,27408,Martin Kaymer,32.00,32,1
59,0,01810,Phil Mickelson,32.00,32,1
59,0,56272,Wilco Nienaber,32.00,32,1
59,0,49771,J.T. Poston,32.00,32,1
59,0,27064,Jhonattan Vegas,32.00,32,1
59,0,25632,Jimmy Walker,32.00,32,1
66,0,29970,Dylan Frittelli,33.00,33,1
66,0,35310,Lanto Griffin,33.00,33,1
68,0,50525,Collin Morikawa,34.00,34,1
68,0,26476,Chez Reavie,34.00,34,1
68,0,34046,Jordan Spieth,34.00,34,1
68,0,31323,Gary Woodland,34.00,34,1
