RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,38,35891,Cameron Smith,1.722,6.890,4
2,43,36689,Brooks Koepka,1.550,6.202,4
3,0,29420,Billy Horschel,1.392,5.568,4
4,7,35506,Mackenzie Hughes,1.232,4.927,4
4,17,26851,Marc Leishman,1.232,4.930,4
6,0,30927,Brendon Todd,1.131,4.524,4
7,0,34363,Tyrrell Hatton,1.124,4.497,4
8,0,26329,Louis Oosthuizen,1.117,4.468,4
9,-8,30944,Jason Kokrak,1.044,4.178,4
10,57,50525,Collin Morikawa,.988,3.952,4
11,0,34360,Patrick Reed,.956,3.823,4
12,0,47959,Bryson DeChambeau,.902,3.610,4
13,41,46046,Scottie Scheffler,.827,3.307,4
14,8,40098,Matt Fitzpatrick,.825,3.299,4
15,0,39971,Sungjae Im,.801,3.205,4
16,0,33653,Thomas Detry,.774,3.096,4
17,43,25396,Kevin Na,.760,3.039,4
18,-6,24502,Adam Scott,.700,2.801,4
19,0,46414,Aaron Rai,.688,2.754,4
19,0,52666,Sami Valimaki,.688,2.754,4
21,0,31323,Gary Woodland,.668,2.671,4
22,0,35225,Brandon Stone,.665,2.660,4
23,0,28237,Rory McIlroy,.625,2.500,4
24,0,28089,Jason Day,.612,2.449,4
25,0,40026,Daniel Berger,.610,2.440,4
26,6,46717,Viktor Hovland,.516,2.066,4
27,0,39058,Lucas Herbert,.468,1.872,4
28,0,37378,Min Woo Lee,.462,1.850,4
29,0,33667,Carlos Ortiz,.457,1.827,4
30,0,45522,Christiaan Bezuidenhout,.441,1.765,4
31,-13,29725,Tony Finau,.440,1.762,4
32,0,26341,Wade Ormsby,.314,1.258,4
33,0,29478,Kevin Kisner,.313,1.251,4
34,0,34587,Chan Kim,.269,1.077,4
35,0,26499,Rafa Cabrera Bello,.195,.779,4
36,0,47679,Victor Perez,.166,.664,4
37,0,33448,Justin Thomas,.160,.640,4
38,-31,39977,Max Homa,.117,.467,4
39,0,31569,Jason Scrivener,.054,.216,4
40,0,29221,Webb Simpson,.030,.121,4
41,0,40006,Erik van Rooyen,-.021,-.085,4
42,0,29454,Bernd Wiesberger,-.030,-.119,4
43,0,20396,Lee Westwood,-.070,-.280,4
44,-29,48822,Sebastián Muñoz,-.076,-.304,4
45,0,32839,Hideki Matsuyama,-.079,-.317,4
46,0,36326,David Lipsky,-.092,-.368,4
47,-17,48081,Xander Schauffele,-.150,-.599,4
48,10,45486,Joaquin Niemann,-.268,-1.073,4
49,0,35314,Andy Sullivan,-.297,-1.186,4
50,-42,35310,Lanto Griffin,-.331,-1.323,4
51,0,34099,Harris English,-.336,-1.345,4
52,0,45526,Abraham Ancer,-.389,-1.554,4
53,0,22405,Justin Rose,-.474,-1.894,4
54,-10,46970,Jon Rahm,-.630,-2.518,4
55,0,23802,Brad Kennedy,-.632,-2.526,4
56,0,25804,Bubba Watson,-.879,-3.516,4
57,0,52372,Cameron Champ,-.890,-3.560,4
58,0,47137,Trevor Simsby,-.960,-3.838,4
59,0,33204,Shane Lowry,-.970,-3.878,4
60,0,23108,Matt Kuchar,-1.001,-4.002,4
61,0,52215,Robert MacIntyre,-1.148,-4.590,4
62,-56,47483,Will Zalatoris,-1.205,-4.818,4
63,0,23320,Ryan Palmer,-1.493,-5.970,4
64,0,35181,Daniel van Tonder,-1.514,-6.055,4
65,0,45847,JC Ritchie,-1.562,-6.248,4
66,0,30911,Tommy Fleetwood,-1.579,-6.317,4
67,0,21209,Sergio Garcia,-1.588,-6.353,4
68,0,52686,Rasmus Hojgaard,-2.004,-8.014,4
69,0,34362,Laurie Canter,-2.150,-8.599,4
70,0,36514,Yuki Inamori,-2.197,-8.788,4
71,-28,30925,Dustin Johnson,-2.502,-10.007,4
