RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,0,06373,José María Olazábal,22.00,22,1
2,0,29725,Tony Finau,24.00,24,1
3,0,34099,Harris English,25.00,25,1
3,0,24138,Ian Poulter,25.00,25,1
3,0,29454,Bernd Wiesberger,25.00,25,1
3,0,47483,Will Zalatoris,25.00,25,1
7,0,26851,Marc Leishman,26.00,26,1
7,14,48887,Matt Wallace,26.00,26,1
9,0,45522,Christiaan Bezuidenhout,27.00,27,1
9,0,46717,Viktor Hovland,27.00,27,1
9,0,50525,Collin Morikawa,27.00,27,1
9,0,35891,Cameron Smith,27.00,27,1
9,0,30927,Brendon Todd,27.00,27,1
14,0,40098,Matt Fitzpatrick,28.00,28,1
14,0,27644,Brian Harman,28.00,28,1
14,0,34363,Tyrrell Hatton,28.00,28,1
14,0,52215,Robert MacIntyre,28.00,28,1
14,0,25198,Francesco Molinari,28.00,28,1
14,7,26331,Charl Schwartzel,28.00,28,1
14,-13,34046,Jordan Spieth,28.00,28,1
14,0,32150,Michael Thompson,28.00,28,1
22,-1,45526,Abraham Ancer,29.00,29,1
22,-20,52372,Cameron Champ,29.00,29,1
22,0,20229,Stewart Cink,29.00,29,1
22,0,47959,Bryson DeChambeau,29.00,29,1
22,-1,37455,Si Woo Kim,29.00,29,1
22,40,48822,Sebastián Muñoz,29.00,29,1
22,15,23320,Ryan Palmer,29.00,29,1
22,0,29221,Webb Simpson,29.00,29,1
22,0,21528,Henrik Stenson,29.00,29,1
22,0,25804,Bubba Watson,29.00,29,1
22,23,31323,Gary Woodland,29.00,29,1
33,42,39997,Corey Conners,30.00,30,1
33,0,30911,Tommy Fleetwood,30.00,30,1
33,0,29420,Billy Horschel,30.00,30,1
33,0,30944,Jason Kokrak,30.00,30,1
33,0,25396,Kevin Na,30.00,30,1
33,0,26329,Louis Oosthuizen,30.00,30,1
33,0,34360,Patrick Reed,30.00,30,1
33,0,33448,Justin Thomas,30.00,30,1
41,0,35506,Mackenzie Hughes,31.00,31,1
41,0,26300,Matt Jones,31.00,31,1
41,0,45486,Joaquin Niemann,31.00,31,1
41,0,46970,Jon Rahm,31.00,31,1
41,0,48081,Xander Schauffele,31.00,31,1
46,0,31557,Jim Herman,32.00,32,1
46,-25,27936,Martin Laird,32.00,32,1
46,0,33204,Shane Lowry,32.00,32,1
46,32,32839,Hideki Matsuyama,32.00,32,1
46,0,01810,Phil Mickelson,32.00,32,1
46,0,24502,Adam Scott,32.00,32,1
52,0,25364,Paul Casey,33.00,33,1
52,0,22405,Justin Rose,33.00,33,1
52,-7,46046,Scottie Scheffler,33.00,33,1
