RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,0,45522,Christiaan Bezuidenhout,23.00,23,1
1,25,20396,Lee Westwood,23.00,23,1
3,0,39997,Corey Conners,24.00,24,1
3,0,20766,Padraig Harrington,24.00,24,1
3,0,31569,Jason Scrivener,24.00,24,1
6,66,27936,Martin Laird,25.00,25,1
6,1,49964,Aaron Wise,25.00,25,1
8,37,46402,Talor Gooch,26.00,26,1
8,0,29974,Branden Grace,26.00,26,1
8,0,47989,Sam Horsfield,26.00,26,1
8,0,59872,Brad Marek,26.00,26,1
8,0,47993,Denny McCarthy,26.00,26,1
8,0,21528,Henrik Stenson,26.00,26,1
8,0,48887,Matt Wallace,26.00,26,1
15,0,20229,Stewart Cink,27.00,27,1
15,-13,51766,Wyndham Clark,27.00,27,1
15,0,54334,Ben Cook,27.00,27,1
15,0,29725,Tony Finau,27.00,27,1
15,0,32102,Rickie Fowler,27.00,27,1
15,0,34363,Tyrrell Hatton,27.00,27,1
15,0,30944,Jason Kokrak,27.00,27,1
15,0,01810,Phil Mickelson,27.00,27,1
15,0,50525,Collin Morikawa,27.00,27,1
15,0,24138,Ian Poulter,27.00,27,1
15,0,22405,Justin Rose,27.00,27,1
15,0,27214,Kevin Streelman,27.00,27,1
27,0,33974,Dean Burmester,28.00,28,1
27,0,40098,Matt Fitzpatrick,28.00,28,1
27,0,35532,Tom Hoge,28.00,28,1
27,0,39971,Sungjae Im,28.00,28,1
27,0,26300,Matt Jones,28.00,28,1
27,0,36689,Brooks Koepka,28.00,28,1
27,0,45486,Joaquin Niemann,28.00,28,1
27,0,26329,Louis Oosthuizen,28.00,28,1
27,-1,33667,Carlos Ortiz,28.00,28,1
27,18,46970,Jon Rahm,28.00,28,1
27,0,47128,Richy Werenski,28.00,28,1
27,41,47483,Will Zalatoris,28.00,28,1
39,0,25364,Paul Casey,29.00,29,1
39,0,34098,Russell Henley,29.00,29,1
39,0,54421,Garrick Higgo,29.00,29,1
39,0,52686,Rasmus Hojgaard,29.00,29,1
39,0,29420,Billy Horschel,29.00,29,1
39,0,46717,Viktor Hovland,29.00,29,1
39,0,35104,Tom Lewis,29.00,29,1
39,0,34360,Patrick Reed,29.00,29,1
39,6,46046,Scottie Scheffler,29.00,29,1
39,0,29221,Webb Simpson,29.00,29,1
39,0,35891,Cameron Smith,29.00,29,1
39,-31,34046,Jordan Spieth,29.00,29,1
39,0,06527,Steve Stricker,29.00,29,1
39,0,25804,Bubba Watson,29.00,29,1
39,0,32139,Danny Willett,29.00,29,1
39,0,31323,Gary Woodland,29.00,29,1
55,0,45526,Abraham Ancer,30.00,30,1
55,13,40026,Daniel Berger,30.00,30,1
55,0,34076,Joel Dahmen,30.00,30,1
55,0,31646,Emiliano Grillo,30.00,30,1
55,0,33204,Shane Lowry,30.00,30,1
55,0,28237,Rory McIlroy,30.00,30,1
55,0,29518,Brendan Steele,30.00,30,1
55,0,37189,Harold Varner III,30.00,30,1
63,0,33948,Byeong Hun An,31.00,31,1
63,0,33141,Keegan Bradley,31.00,31,1
63,0,35450,Patrick Cantlay,31.00,31,1
63,0,45157,Cam Davis,31.00,31,1
63,0,28089,Jason Day,31.00,31,1
63,-18,47959,Bryson DeChambeau,31.00,31,1
63,-1,34099,Harris English,31.00,31,1
63,0,19846,Brian Gay,31.00,31,1
63,0,33399,Adam Hadwin,31.00,31,1
63,0,33597,Harry Higgs,31.00,31,1
63,0,12716,Charley Hoffman,31.00,31,1
63,-1,32839,Hideki Matsuyama,31.00,31,1
63,-37,27349,Alex Noren,31.00,31,1
63,0,34431,Robert Streb,31.00,31,1
63,0,35181,Daniel van Tonder,31.00,31,1
78,0,52215,Robert MacIntyre,32.00,32,1
78,0,25632,Jimmy Walker,32.00,32,1
80,0,34587,Chan Kim,33.00,33,1
81,0,39058,Lucas Herbert,34.00,34,1
