RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,33141,Keegan Bradley,2.717,.287,1.363,1.066,4
2,15,25804,Bubba Watson,2.347,.855,1.329,.163,4
3,0,30944,Jason Kokrak,2.333,.841,.964,.528,4
4,0,45157,Cam Davis,2.112,.212,1.097,.803,4
5,0,39971,Sungjae Im,2.059,.559,.607,.892,4
6,0,27349,Alex Noren,1.696,.674,.380,.642,4
7,37,45486,Joaquin Niemann,1.663,.794,.620,.248,4
8,0,46550,Brandon Hagy,1.594,.803,.241,.550,4
9,0,39977,Max Homa,1.507,.466,.483,.559,4
10,0,28420,Ryan Brehm,1.477,.935,1.000,-.458,4
11,0,30926,Chris Kirk,1.441,.013,.858,.569,4
12,29,29478,Kevin Kisner,1.422,.044,1.033,.344,4
13,42,35310,Lanto Griffin,1.383,.518,.719,.146,4
14,0,33120,Mark Anderson,1.212,-.260,.949,.524,4
15,17,49766,Hank Lebioda,1.117,-.057,.684,.490,4
16,37,46442,Maverick McNealy,1.088,1.114,.247,-.274,4
17,39,32640,Troy Merritt,1.076,.365,.450,.260,4
18,0,33490,Bo Hoag,1.020,.019,1.552,-.552,4
19,4,35461,Beau Hossler,1.006,.380,.018,.607,4
20,0,56278,Matthew Wolff,.973,.116,.738,.120,4
21,-2,30110,Kyle Stanley,.950,.444,.194,.311,4
22,0,35230,Nelson Ledesma,.932,-.328,.673,.587,4
23,0,33122,Russell Knox,.915,.102,1.157,-.344,4
23,3,36699,Patrick Rodgers,.915,.881,.579,-.545,4
25,0,33419,Cameron Tringale,.793,-.326,1.227,-.109,4
26,0,32102,Rickie Fowler,.779,.105,.766,-.092,4
27,0,25493,Nick Taylor,.755,.311,.596,-.153,4
28,0,24140,Sean O'Hair,.745,.757,-.196,.184,4
29,-22,28252,Seamus Power,.716,-.362,1.040,.038,4
30,21,52375,Doug Ghim,.669,-.012,-.323,1.004,4
31,0,48822,Sebastián Muñoz,.649,.493,.022,.134,4
32,-27,34360,Patrick Reed,.644,.094,.111,.439,4
33,0,30692,Scott Stallings,.616,.272,1.247,-.903,4
34,-14,28089,Jason Day,.588,.473,.245,-.130,4
35,0,34563,Chesson Hadley,.587,.373,.130,.083,4
36,0,37455,Si Woo Kim,.570,-.066,.387,.249,4
37,21,26300,Matt Jones,.544,.502,-.376,.417,4
38,0,34076,Joel Dahmen,.524,.140,.255,.129,4
39,25,27895,Jonas Blixt,.496,-.085,.287,.295,4
40,0,27770,Camilo Villegas,.481,-.380,.720,.140,4
41,0,27649,Brandt Snedeker,.448,-.240,.463,.225,4
42,29,32333,Kevin Tway,.436,.343,-.309,.401,4
43,-13,45609,Tyler Duncan,.382,.030,-.161,.512,4
44,0,47347,Adam Schenk,.364,.390,.790,-.816,4
44,0,10381,Curtis Thompson,.364,.088,-.086,.362,4
46,0,47128,Richy Werenski,.340,-.384,.704,.020,4
47,0,32662,Michael Gligic,.263,-.353,.507,.108,4
48,6,35104,Tom Lewis,.258,.439,-.576,.395,4
49,0,27330,Josh Teater,.253,-.023,-.122,.398,4
50,0,54421,Garrick Higgo,.252,.214,-1.092,1.130,4
51,-2,30163,Henrik Norlander,.230,.291,.226,-.287,4
52,0,28679,Fabián Gómez,.197,-.852,1.552,-.503,4
53,0,48045,Michael Gellerman,.193,-.481,1.409,-.735,4
54,0,33486,Roger Sloan,.162,-.043,-.352,.557,4
55,0,58168,Davis Thompson,.123,.270,.237,-.384,4
56,0,36871,Matthew NeSmith,.107,-.042,.073,.076,4
57,15,35506,Mackenzie Hughes,.060,-.122,.367,-.185,4
58,0,33948,Byeong Hun An,.057,-.295,.617,-.264,4
59,0,29479,Scott Brown,-.015,-.044,.087,-.058,4
60,-39,49298,Kramer Hickok,-.018,.011,-.249,.221,4
61,0,32757,Patton Kizzire,-.051,-.997,.522,.424,4
62,-34,34431,Robert Streb,-.120,.361,-.493,.011,4
63,0,25900,Lucas Glover,-.146,.349,-.159,-.337,4
64,0,33404,Chris Baker,-.174,.047,-.077,-.143,4
65,0,32139,Danny Willett,-.246,.017,-.164,-.099,4
66,-31,22056,Cameron Percy,-.280,-.490,.233,-.023,4
67,0,01810,Phil Mickelson,-.287,.689,-.330,-.646,4
68,-39,39324,J.J. Spaun,-.318,.125,-.066,-.378,4
69,0,51894,Vince Whaley,-.407,.407,-.342,-.472,4
70,0,31420,Anirban Lahiri,-.435,.303,-.844,.106,4
71,0,25632,Jimmy Walker,-.510,-.432,.086,-.165,4
72,0,24361,Pat Perez,-.546,-.662,.261,-.144,4
73,0,23623,Bo Van Pelt,-.668,-.017,-1.242,.591,4
74,0,50006,Willie Mack III,-.749,-.342,.154,-.560,4
75,0,22371,Aaron Baddeley,-.764,-.510,-.565,.311,4
76,0,47483,Will Zalatoris,-.831,-.168,-.762,.099,4
77,0,27974,Sung Kang,-1.568,-.268,-1.064,-.235,4
