RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,32102,Rickie Fowler,2.252,1.374,.324,.549,4
2,4,34098,Russell Henley,1.952,.425,1.303,.219,4
3,-2,39971,Sungjae Im,1.803,.758,-.353,1.395,4
4,0,33448,Justin Thomas,1.676,.220,.913,.539,4
5,0,37189,Harold Varner III,1.659,.590,.991,.074,4
6,0,31323,Gary Woodland,1.586,1.244,.219,.119,4
7,37,33667,Carlos Ortiz,1.528,.278,1.154,.092,4
8,0,50525,Collin Morikawa,1.472,.303,1.232,-.066,4
9,0,29725,Tony Finau,1.398,.492,.618,.285,4
10,-3,49964,Aaron Wise,1.393,.032,1.068,.289,4
11,47,32839,Hideki Matsuyama,1.325,.279,.792,.250,4
12,42,31646,Emiliano Grillo,1.313,.276,.514,.519,4
13,0,27064,Jhonattan Vegas,1.281,.621,.447,.210,4
14,-10,46402,Talor Gooch,1.266,-.361,1.327,.296,4
15,-12,26329,Louis Oosthuizen,1.229,.967,-.141,.399,4
16,-11,47504,Sam Burns,1.197,-.098,1.069,.223,4
17,0,28237,Rory McIlroy,1.179,1.361,-.895,.709,4
18,18,24502,Adam Scott,1.065,.242,1.078,-.259,4
19,32,45486,Joaquin Niemann,1.051,.273,.155,.619,4
20,0,48081,Xander Schauffele,.928,.046,.731,.147,4
21,0,34046,Jordan Spieth,.917,1.006,-.476,.382,4
22,19,34264,Hudson Swafford,.888,.341,1.004,-.460,4
23,0,21209,Sergio Garcia,.780,.767,-.455,.464,4
24,0,35891,Cameron Smith,.752,.197,.565,-.014,4
25,30,34431,Robert Streb,.733,.372,-.214,.572,4
26,0,30911,Tommy Fleetwood,.617,.111,-.220,.722,4
27,0,35532,Tom Hoge,.610,-.675,.855,.426,4
28,0,39546,Keith Mitchell,.590,.359,.040,.188,4
29,0,24138,Ian Poulter,.480,-.276,.218,.534,4
30,0,20229,Stewart Cink,.439,-.470,1.089,-.184,4
31,2,25900,Lucas Glover,.342,.628,.366,-.656,4
32,0,29221,Webb Simpson,.335,-.434,-.651,1.416,4
33,-4,26851,Marc Leishman,.292,-.153,-.212,.653,4
34,-19,32791,K.H. Lee,.274,-.520,1.054,-.264,4
35,0,40006,Erik van Rooyen,.269,.112,.702,-.548,4
36,-17,26300,Matt Jones,.203,.421,-.398,.175,4
37,26,27214,Kevin Streelman,.077,-.585,.486,.173,4
38,0,34363,Tyrrell Hatton,.050,-.795,.453,.388,4
39,0,50188,S.H. Kim,.041,.087,.482,-.281,4
40,0,48822,Sebastián Muñoz,.030,-.137,.296,-.133,4
41,0,30926,Chris Kirk,.015,-.142,.026,.127,4
42,-20,33597,Harry Higgs,-.060,-.335,1.017,-.746,4
43,0,33141,Keegan Bradley,-.116,.403,-.405,-.117,4
44,5,36689,Brooks Koepka,-.126,.417,-.392,-.155,4
45,0,45526,Abraham Ancer,-.161,.001,.738,-.903,4
46,0,46442,Maverick McNealy,-.214,-.153,-.289,.224,4
47,0,29478,Kevin Kisner,-.277,.401,-1.265,.584,4
48,-1,27974,Sung Kang,-.283,.345,.057,-.689,4
49,0,29974,Branden Grace,-.317,.054,-.185,-.189,4
50,0,35506,Mackenzie Hughes,-.340,-.280,-.234,.170,4
51,0,30925,Dustin Johnson,-.377,-.132,-.057,-.192,4
52,-17,46717,Viktor Hovland,-.454,.635,-.209,-.884,4
53,0,25364,Paul Casey,-.485,-.377,.011,-.123,4
54,0,52686,Rasmus Hojgaard,-.517,-.110,-.537,.127,4
55,-7,12716,Charley Hoffman,-.694,1.022,-1.304,-.416,4
56,0,32757,Patton Kizzire,-.703,-.304,-.125,-.278,4
57,0,46046,Scottie Scheffler,-.716,-1.474,.532,.222,4
58,0,52583,Sanghun Shin,-.769,.154,-1.913,.987,4
59,9,33419,Cameron Tringale,-.863,.081,-.846,-.102,4
60,0,50323,Minkyu Kim,-.961,-.818,-.011,-.135,4
61,0,49022,Yoseop Seo,-1.022,.043,-1.040,-.029,4
62,0,55182,Tom Kim,-1.088,-.276,-.117,-.697,4
63,0,27349,Alex Noren,-1.104,.171,-1.039,-.239,4
64,0,22405,Justin Rose,-1.106,-.305,-.335,-.470,4
65,0,25396,Kevin Na,-1.229,-.515,-.996,.278,4
66,0,39977,Max Homa,-1.241,-.696,-1.090,.542,4
67,0,47842,Hanbyeol Kim,-1.369,.647,-.874,-1.146,4
68,0,33948,Byeong Hun An,-1.543,-.724,.146,-.968,4
69,0,30944,Jason Kokrak,-1.558,-1.046,-.580,.065,4
70,0,28089,Jason Day,-1.574,-.824,-.202,-.551,4
71,0,33204,Shane Lowry,-1.653,-1.283,-.371,-.002,4
72,-54,45157,Cam Davis,-1.892,.361,-1.523,-.734,4
73,0,34360,Patrick Reed,-1.895,-1.309,-.486,-.103,4
74,0,27644,Brian Harman,-2.117,-.589,-.699,-.833,4
75,0,37455,Si Woo Kim,-2.270,.216,-1.302,-1.188,4
76,0,46930,Jaekyeong Lee,-2.650,.344,-1.912,-1.085,4
77,0,26331,Charl Schwartzel,-3.004,-1.929,-.372,-.707,4
