RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,16,32640,Troy Merritt,2.011,8.044,4
2,26,33419,Cameron Tringale,1.766,7.065,4
3,0,39977,Max Homa,1.631,6.524,4
4,0,23325,Vaughn Taylor,1.456,5.823,4
5,0,29974,Branden Grace,1.399,5.598,4
6,50,50525,Collin Morikawa,1.345,5.380,4
7,55,32254,Xinjun Zhang,1.271,5.085,4
8,2,35449,Adam Long,1.152,4.608,4
9,0,32102,Rickie Fowler,.973,3.893,4
10,0,27936,Martin Laird,.972,3.888,4
11,0,26329,Louis Oosthuizen,.932,3.727,4
12,0,27349,Alex Noren,.910,3.640,4
13,0,46046,Scottie Scheffler,.829,3.317,4
14,0,28237,Rory McIlroy,.828,3.313,4
15,15,53165,Doc Redman,.790,3.161,4
16,0,37455,Si Woo Kim,.784,3.137,4
17,0,24502,Adam Scott,.766,3.064,4
18,0,39058,Lucas Herbert,.737,2.950,4
19,0,35450,Patrick Cantlay,.709,2.836,4
20,44,30926,Chris Kirk,.698,2.791,4
21,49,46441,Robby Shelton,.686,2.743,4
22,0,49964,Aaron Wise,.621,2.486,4
23,0,33204,Shane Lowry,.604,2.418,4
24,0,33490,Bo Hoag,.564,2.256,4
25,34,39997,Corey Conners,.553,2.212,4
26,0,31557,Jim Herman,.508,2.033,4
27,-23,34046,Jordan Spieth,.496,1.985,4
28,25,26499,Rafa Cabrera Bello,.477,1.910,4
29,-24,30927,Brendon Todd,.455,1.819,4
30,0,45522,Christiaan Bezuidenhout,.448,1.793,4
31,-16,36801,Mark Hubbard,.440,1.759,4
32,19,25493,Nick Taylor,.439,1.757,4
33,0,51634,Sahith Theegala,.385,1.542,4
34,0,46550,Brandon Hagy,.365,1.461,4
35,0,48081,Xander Schauffele,.331,1.324,4
36,0,47959,Bryson DeChambeau,.315,1.260,4
37,0,49771,J.T. Poston,.229,.917,4
38,0,34076,Joel Dahmen,.220,.881,4
39,-18,34264,Hudson Swafford,.200,.799,4
40,0,29518,Brendan Steele,.174,.695,4
41,0,47504,Sam Burns,.170,.682,4
42,0,34360,Patrick Reed,.150,.600,4
43,0,33122,Russell Knox,.138,.553,4
44,2,46402,Talor Gooch,.105,.422,4
45,7,37189,Harold Varner III,.050,.199,4
46,-33,25900,Lucas Glover,.047,.187,4
47,0,32139,Danny Willett,.024,.095,4
48,0,20229,Stewart Cink,-.179,-.714,4
48,0,32150,Michael Thompson,-.179,-.714,4
50,-27,27974,Sung Kang,-.187,-.749,4
51,-22,29420,Billy Horschel,-.194,-.774,4
52,0,26851,Marc Leishman,-.244,-.977,4
53,-21,27214,Kevin Streelman,-.245,-.980,4
54,12,30110,Kyle Stanley,-.247,-.987,4
55,-21,29908,C.T. Pan,-.255,-1.018,4
56,0,26331,Charl Schwartzel,-.293,-1.170,4
57,0,54314,Tyler Strafaci,-.305,-1.220,4
58,0,33597,Harry Higgs,-.399,-1.595,4
59,0,25632,Jimmy Walker,-.418,-1.673,4
60,0,32791,K.H. Lee,-.564,-2.254,4
61,7,33667,Carlos Ortiz,-.731,-2.924,4
62,0,46646,Antoine Rozner,-.732,-2.926,4
63,-45,12716,Charley Hoffman,-.947,-3.786,4
64,0,46717,Viktor Hovland,-1.302,-5.206,4
65,-17,25686,Jason Dufner,-1.378,-5.510,4
66,5,29725,Tony Finau,-1.450,-5.800,4
67,-29,33448,Justin Thomas,-2.102,-8.408,4
68,0,32839,Hideki Matsuyama,-2.361,-9.445,4
