PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
35450,Patrick Cantlay,2021 the Memorial Tournament pres. by Nationwide,0.709,0.924,1.52,1.127
46046,Scottie Scheffler,2021 the Memorial Tournament pres. by Nationwide,0.82925,0.461,1.41,1.08
25632,Jimmy Walker,2021 the Memorial Tournament pres. by Nationwide,-0.41825,0.538,1.786,0.624
50525,Collin Morikawa,2021 the Memorial Tournament pres. by Nationwide,1.345,0.745,1.69,0.5
34360,Patrick Reed,2021 the Memorial Tournament pres. by Nationwide,0.15,0.47,1.426,0.985
33448,Justin Thomas,2021 the Memorial Tournament pres. by Nationwide,-2.102,1.016,0.758,0.608
33667,Carlos Ortiz,2021 the Memorial Tournament pres. by Nationwide,-0.731,-0.268,2.365,0.164
29725,Tony Finau,2021 the Memorial Tournament pres. by Nationwide,-1.45,0.562,0.666,1.003
29974,Branden Grace,2021 the Memorial Tournament pres. by Nationwide,1.3995,0.099,1.21,0.821
27214,Kevin Streelman,2021 the Memorial Tournament pres. by Nationwide,-0.245,0.135,1.134,0.756
46646,Antoine Rozner,2021 the Memorial Tournament pres. by Nationwide,-0.7315,0.356,1.982,-0.326
33204,Shane Lowry,2021 the Memorial Tournament pres. by Nationwide,0.6045,0.318,0.606,1.002
25686,Jason Dufner,2021 the Memorial Tournament pres. by Nationwide,-1.3775,0.088,1.068,0.752
48081,Xander Schauffele,2021 the Memorial Tournament pres. by Nationwide,0.331,0.686,1.486,-0.473
49964,Aaron Wise,2021 the Memorial Tournament pres. by Nationwide,0.6215,0.408,0.776,0.475
37455,Si Woo Kim,2021 the Memorial Tournament pres. by Nationwide,0.78425,0.381,0.555,0.559
32839,Hideki Matsuyama,2021 the Memorial Tournament pres. by Nationwide,-2.36125,1.052,0.173,0.166
46717,Viktor Hovland,2021 the Memorial Tournament pres. by Nationwide,-1.3015,0.646,1.198,-0.513
33490,Bo Hoag,2021 the Memorial Tournament pres. by Nationwide,0.564,0.263,0.91,0.043
46402,Talor Gooch,2021 the Memorial Tournament pres. by Nationwide,0.1055,-1.048,1.203,1.02
32102,Rickie Fowler,2021 the Memorial Tournament pres. by Nationwide,0.97325,-0.152,0.392,0.817
32139,Danny Willett,2021 the Memorial Tournament pres. by Nationwide,0.02375,-0.836,0.484,1.358
27974,Sung Kang,2021 the Memorial Tournament pres. by Nationwide,-0.18725,0.045,0.391,0.531
47959,Bryson DeChambeau,2021 the Memorial Tournament pres. by Nationwide,0.315,0.766,0.441,-0.241
39977,Max Homa,2021 the Memorial Tournament pres. by Nationwide,1.631,0.511,0.522,-0.134
27349,Alex Noren,2021 the Memorial Tournament pres. by Nationwide,0.91,0.208,0.298,0.364
34046,Jordan Spieth,2021 the Memorial Tournament pres. by Nationwide,0.49625,0.42,0.069,0.295
