RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,39997,Corey Conners,2.818,.916,.960,.942,4
2,0,49964,Aaron Wise,2.642,1.220,.790,.631,4
3,0,46970,Jon Rahm,2.530,1.134,1.718,-.322,4
4,0,29518,Brendan Steele,2.526,1.051,.779,.696,4
5,0,46717,Viktor Hovland,2.525,1.172,1.121,.231,4
6,9,30926,Chris Kirk,2.362,.868,.863,.630,4
7,0,46402,Talor Gooch,2.289,.077,1.576,.636,4
8,0,46046,Scottie Scheffler,2.231,-.094,2.017,.309,4
9,0,28237,Rory McIlroy,2.050,.959,.688,.402,4
10,0,39977,Max Homa,1.972,.399,1.427,.146,4
11,0,34098,Russell Henley,1.928,-.274,.849,1.352,4
12,-5,29420,Billy Horschel,1.894,.242,1.230,.421,4
13,10,57366,Cameron Young,1.739,1.146,-.045,.638,4
14,26,45522,Christiaan Bezuidenhout,1.707,.299,.367,1.040,4
15,0,32839,Hideki Matsuyama,1.569,.285,1.192,.091,4
16,0,21961,Charles Howell III,1.473,-.173,1.064,.581,4
17,39,46340,Alex Smalley,1.403,.560,.712,.131,4
18,0,26300,Matt Jones,1.313,.347,.462,.503,4
19,-9,31323,Gary Woodland,1.228,.043,.966,.218,4
20,0,29926,Danny Lee,1.143,.448,1.081,-.386,4
21,0,33141,Keegan Bradley,1.132,.745,-.069,.456,4
22,0,48822,Sebastián Muñoz,1.094,.008,.196,.889,4
23,42,32102,Rickie Fowler,1.080,.620,.879,-.420,4
24,-13,25493,Nick Taylor,1.067,.469,-.183,.780,4
25,0,47347,Adam Schenk,1.065,-.181,.000,1.246,4
26,0,34363,Tyrrell Hatton,1.053,.549,.209,.295,4
27,0,47483,Will Zalatoris,1.019,1.040,.552,-.573,4
28,0,40098,Matt Fitzpatrick,1.006,.789,.055,.161,4
29,0,25572,Graeme McDowell,.993,-.245,1.141,.097,4
30,-14,40250,Taylor Pendrith,.932,.576,-.165,.519,4
31,0,58168,Davis Thompson,.894,.458,.597,-.162,4
32,23,32791,K.H. Lee,.843,1.280,-.233,-.205,4
33,0,37455,Si Woo Kim,.826,.432,.496,-.102,4
34,16,20396,Lee Westwood,.822,.873,-.208,.157,4
35,0,47504,Sam Burns,.807,.177,.937,-.308,4
36,0,20766,Padraig Harrington,.764,.572,.327,-.135,4
37,0,27936,Martin Laird,.740,-.520,1.195,.065,4
38,0,35532,Tom Hoge,.601,.824,.367,-.591,4
39,0,33293,Thomas Pieters,.476,.747,-1.015,.743,4
40,0,55708,Hayden Buckley,.469,.167,.471,-.170,4
41,0,39058,Lucas Herbert,.428,-.406,-.636,1.469,4
42,0,32757,Patton Kizzire,.409,-.122,.443,.087,4
43,-5,29970,Dylan Frittelli,.264,-.809,.725,.348,4
44,2,24138,Ian Poulter,.139,.133,-.706,.712,4
45,0,30944,Jason Kokrak,.029,-.088,.098,.019,4
46,-14,39546,Keith Mitchell,.003,.719,-.286,-.431,4
47,0,51890,Greyson Sigg,-.029,.130,-.252,.092,4
48,0,30911,Tommy Fleetwood,-.112,-.103,-.462,.454,4
49,-22,36326,David Lipsky,-.139,-1.109,.993,-.024,4
50,7,35461,Beau Hossler,-.152,-.619,.283,.184,4
51,0,25364,Paul Casey,-.164,-.579,.644,-.230,4
52,-3,36699,Patrick Rodgers,-.226,-.444,-.391,.609,4
53,0,35449,Adam Long,-.234,.310,-.611,.066,4
54,0,35310,Lanto Griffin,-.361,-.628,.449,-.183,4
55,0,49947,Taylor Moore,-.366,-.893,.789,-.263,4
56,0,59160,John Pak,-.441,-.525,.329,-.245,4
57,0,24361,Pat Perez,-.448,-.187,-.275,.014,4
58,10,30927,Brendon Todd,-.461,-1.224,-.744,1.507,4
59,0,39971,Sungjae Im,-.498,-.164,-.065,-.269,4
60,-17,27095,Nick Watney,-.523,-1.568,.293,.752,4
61,0,24502,Adam Scott,-.573,.644,-1.144,-.073,4
62,1,47993,Denny McCarthy,-.622,.454,-.985,-.092,4
63,0,26851,Marc Leishman,-.656,-.397,-.262,.003,4
64,-2,36799,Stephan Jaeger,-.670,-.800,.061,.069,4
65,0,21209,Sergio Garcia,-.743,.883,-1.254,-.372,4
66,-39,37275,Sam Ryder,-.761,-1.078,.306,.011,4
67,0,24024,Zach Johnson,-.818,-.400,-.834,.416,4
68,0,52372,Cameron Champ,-.876,.218,-.415,-.679,4
69,0,56278,Matthew Wolff,-.935,-.051,-.815,-.068,4
70,-57,32139,Danny Willett,-1.025,-.156,-1.356,.486,4
71,-34,39324,J.J. Spaun,-1.187,.311,-.871,-.627,4
72,0,51894,Vince Whaley,-1.362,-.743,.648,-1.267,4
73,0,26476,Chez Reavie,-1.525,-.061,-.459,-1.006,4
74,0,31420,Anirban Lahiri,-1.628,.078,-.490,-1.216,4
75,0,32640,Troy Merritt,-1.682,-.390,-1.241,-.052,4
76,-52,25900,Lucas Glover,-1.805,-.292,-.586,-.927,4
77,0,46442,Maverick McNealy,-1.865,-.378,-.599,-.887,4
