RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,33408,Tyson Alexander,2.748,0.567,1.579,0.601,4
2,0,33399,Adam Hadwin,2.723,0.597,1.904,0.223,4
3,0,46046,Scottie Scheffler,2.679,0.571,0.743,1.365,4
4,0,29725,Tony Finau,2.671,1.059,1.325,0.287,4
5,0,34255,Joseph Bramlett,2.331,0.751,0.494,1.085,4
6,0,34076,Joel Dahmen,2.283,0.321,1.344,0.618,4
7,0,27349,Alex Noren,2.054,0.525,1.773,-0.245,4
8,0,36699,Patrick Rodgers,1.978,0.673,0.674,0.632,4
9,0,47995,Davis Riley,1.896,0.491,0.877,0.528,4
10,0,31323,Gary Woodland,1.844,0.412,1.294,0.138,4
11,0,39546,Keith Mitchell,1.805,0.356,1.418,0.030,4
12,0,37455,Si Woo Kim,1.757,0.065,2.209,-0.517,4
13,0,46340,Alex Smalley,1.683,0.361,0.629,0.693,4
14,0,27936,Martin Laird,1.627,0.109,0.767,0.751,4
15,0,48119,Ben Taylor,1.595,0.716,0.836,0.042,4
16,0,51634,Sahith Theegala,1.589,-0.194,0.493,1.290,4
17,0,46601,Trey Mullinax,1.491,0.277,0.850,0.364,4
18,0,51766,Wyndham Clark,1.348,1.159,0.032,0.156,4
19,0,28089,Jason Day,1.346,0.365,0.765,0.217,4
20,0,46414,Aaron Rai,1.284,0.246,-0.987,2.025,4
21,0,34374,Erik Barnes,1.256,-0.124,0.437,0.942,4
22,0,36326,David Lipsky,1.246,-0.658,0.535,1.369,4
23,0,48699,Callum Tarren,1.179,0.598,0.114,0.467,4
24,0,33948,Byeong Hun An,1.174,-0.017,0.225,0.965,4
25,0,56762,Will Gordon,0.992,0.725,0.003,0.263,4
26,0,32448,James Hahn,0.918,0.044,0.071,0.803,4
27,0,47987,Cole Hammer,0.900,-0.267,1.465,-0.299,4
28,0,39975,Michael Kim,0.893,0.235,0.400,0.259,4
29,0,25818,Scott Piercy,0.876,-0.354,0.484,0.745,4
30,0,46441,Robby Shelton,0.870,-0.617,0.977,0.509,4
31,0,27129,Luke List,0.800,0.073,0.580,0.147,4
32,0,19803,Ryan Armour,0.795,-0.448,0.533,0.709,4
33,0,54591,Ben Griffin,0.742,0.197,0.418,0.127,4
34,0,34099,Harris English,0.734,0.162,0.201,0.371,4
35,0,34256,Andrew Putnam,0.673,-0.460,0.762,0.371,4
36,0,22405,Justin Rose,0.645,0.433,0.507,-0.295,4
37,0,36799,Stephan Jaeger,0.593,-0.177,-0.295,1.064,4
38,0,33122,Russell Knox,0.564,-0.352,1.283,-0.368,4
39,0,47591,Eric Cole,0.541,-0.419,0.326,0.634,4
40,0,52411,Kyle Westmoreland,0.447,0.139,0.286,0.022,4
41,0,20229,Stewart Cink,0.428,0.702,0.332,-0.607,4
42,0,58168,Davis Thompson,0.385,0.962,0.120,-0.698,4
43,0,49964,Aaron Wise,0.378,-0.132,-1.029,1.538,4
44,0,46442,Maverick McNealy,0.323,0.134,-0.041,0.229,4
45,0,25198,Francesco Molinari,0.322,0.100,-0.568,0.790,4
46,0,55454,Carl Yuan,0.320,0.055,1.404,-1.139,4
47,0,36871,Matt NeSmith,0.112,-0.614,0.434,0.292,4
48,0,32333,Kevin Tway,-0.036,0.593,-0.328,-0.301,4
49,0,27095,Nick Watney,-0.163,-1.054,0.768,0.124,4
50,0,35506,Mackenzie Hughes,-0.213,-0.118,-0.623,0.528,4
51,0,55893,Sam Stevens,-0.214,0.935,-1.110,-0.039,4
52,0,40115,Adam Svensson,-0.358,0.063,-0.044,-0.377,4
53,0,39412,Zack Fischer,-0.376,0.532,-0.015,-0.893,4
54,0,55789,Taylor Montgomery,-0.463,0.147,-0.183,-0.427,4
55,0,52374,Brandon Wu,-0.468,0.069,0.210,-0.746,4
56,0,46435,Austin Cook,-0.646,-1.106,0.692,-0.232,4
57,0,47993,Denny McCarthy,-0.651,0.054,0.087,-0.792,4
58,0,40250,Taylor Pendrith,-0.744,0.797,-0.206,-1.334,4
59,0,50188,S.H. Kim,-0.751,0.688,-1.746,0.307,4
60,0,57975,Harry Hall,-0.761,-0.528,0.198,-0.431,4
61,0,24024,Zach Johnson,-0.905,-0.594,-0.165,-0.145,4
62,0,50493,Justin Suh,-0.909,-0.301,0.238,-0.847,4
63,0,37338,Zecheng Dou,-0.934,0.271,-1.414,0.209,4
64,0,63123,Travis Vick,-0.991,0.337,-0.356,-0.972,4
65,0,35901,Paul Haley II,-1.048,-0.210,-1.252,0.413,4
66,0,34610,Matthias Schwab,-1.106,-0.446,0.036,-0.695,4
67,0,29289,S.Y. Noh,-1.432,-0.927,0.430,-0.935,4
68,0,51950,Max McGreevy,-1.727,-1.158,0.311,-0.880,4
