PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,GIR_PERCENTAGE,BIRDIE_TO_BOGEY_RATIO,AVG_TOTAL_DRIVING_DISTANCE,FIR_PERCENTAGE,SCORING_AVERAGE,SCRAMBLING_PERCENTAGE,AVG_THREE_PUTTS_PER_ROUND,AVG_PUTTS_PER_ROUND
46046,Scottie Scheffler,2022 Fortinet Championship,72.29,1.97,311.6,59.97,68.89,59.9,0.46,28.85
39997,Corey Conners,2022 Fortinet Championship,71.9,1.57,302.7,66.83,69.7,59.09,0.54,29.74
46970,Jon Rahm,2022 Fortinet Championship,71.59,1.7,318.9,62.5,69.59,57.54,0.53,29.67
33122,Russell Knox,2022 Fortinet Championship,71.41,1.34,293.7,66.91,70.18,58.08,0.53,30.16
29725,Tony Finau,2022 Fortinet Championship,71.25,1.91,308.0,57.96,69.17,63.6,0.47,28.99
21961,Charles Howell III,2022 Fortinet Championship,70.99,1.62,304.1,61.84,69.74,60.28,0.63,29.17
34098,Russell Henley,2022 Fortinet Championship,70.94,1.6,298.7,67.52,69.54,56.86,0.54,29.04
47483,Will Zalatoris,2022 Fortinet Championship,70.91,1.74,314.7,55.44,69.55,58.54,0.47,29.17
39971,Sungjae Im,2022 Fortinet Championship,70.83,1.89,303.7,65.51,69.22,66.02,0.56,28.89
40250,Taylor Pendrith,2022 Fortinet Championship,70.66,1.57,316.1,57.01,69.75,60.53,0.63,29.37
48081,Xander Schauffele,2022 Fortinet Championship,70.52,1.95,308.5,62.2,68.94,62.04,0.32,28.89
28237,Rory McIlroy,2022 Fortinet Championship,69.91,1.96,321.3,58.06,68.9,62.77,0.53,28.57
27129,Luke List,2022 Fortinet Championship,69.72,1.24,314.8,55.12,70.54,57.34,0.88,30.0
47529,Mito Pereira,2022 Fortinet Championship,69.6,1.5,303.9,60.37,69.91,61.81,0.55,29.22
55708,Hayden Buckley,2022 Fortinet Championship,69.54,1.32,300.1,67.51,70.44,56.71,0.55,29.67
46402,Talor Gooch,2022 Fortinet Championship,69.33,1.8,304.4,61.88,69.45,60.71,0.27,28.65
29518,Brendan Steele,2022 Fortinet Championship,69.33,1.31,307.8,61.39,70.4,60.55,0.62,29.71
35450,Patrick Cantlay,2022 Fortinet Championship,69.28,1.9,308.0,60.58,69.01,65.43,0.56,28.66
52374,Brandon Wu,2022 Fortinet Championship,69.22,1.37,295.3,62.12,70.31,57.8,0.58,29.54
54628,Lee Hodges,2022 Fortinet Championship,69.12,1.36,300.3,61.69,70.23,58.61,0.62,29.6
49964,Aaron Wise,2022 Fortinet Championship,69.06,1.7,308.3,59.15,69.42,62.63,0.57,28.88
34255,Joseph Bramlett,2022 Fortinet Championship,68.86,1.19,318.3,52.45,70.93,52.86,0.62,30.0
46414,Aaron Rai,2022 Fortinet Championship,68.79,1.36,295.4,67.37,70.17,60.2,0.51,29.6
27936,Martin Laird,2022 Fortinet Championship,68.77,1.38,298.0,68.19,70.26,63.34,0.58,29.44
47988,Nick Hardy,2022 Fortinet Championship,68.74,1.33,305.7,57.73,70.34,54.82,0.47,29.25
47504,Sam Burns,2022 Fortinet Championship,68.68,1.7,309.6,55.38,69.36,59.65,0.4,28.76
28252,Seamus Power,2022 Fortinet Championship,68.66,1.66,301.0,61.8,69.72,62.95,0.5,28.83
34610,Matthias Schwab,2022 Fortinet Championship,68.65,1.33,293.8,59.42,70.17,59.24,0.57,29.26
45540,Jared Wolfe,2022 Fortinet Championship,68.64,1.25,309.6,55.66,70.76,57.96,0.66,29.86
50525,Collin Morikawa,2022 Fortinet Championship,68.61,1.57,301.8,65.27,69.63,59.59,0.43,28.75
36871,Matthew NeSmith,2022 Fortinet Championship,68.48,1.25,298.0,63.71,70.46,57.28,0.53,29.66
50095,Austin Smotherman,2022 Fortinet Championship,68.47,1.36,304.6,63.1,70.51,57.21,0.49,29.36
24980,Scott Gutschewski,2022 Fortinet Championship,68.45,1.32,296.9,58.79,70.73,59.43,0.52,29.41
33448,Justin Thomas,2022 Fortinet Championship,68.35,1.97,314.3,54.78,68.84,64.67,0.45,28.24
36801,Mark Hubbard,2022 Fortinet Championship,68.3,1.69,288.3,62.78,69.53,63.92,0.4,28.71
