RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,40,39546,Keith Mitchell,78.57,44,56
2,0,25900,Lucas Glover,76.79,43,56
2,0,49298,Kramer Hickok,76.79,43,56
2,48,47995,Davis Riley,76.79,43,56
5,0,45526,Abraham Ancer,75.00,42,56
5,11,47529,Mito Pereira,75.00,42,56
5,0,46970,Jon Rahm,75.00,42,56
8,0,20229,Stewart Cink,73.21,41,56
8,0,46402,Talor Gooch,73.21,41,56
8,0,30926,Chris Kirk,73.21,41,56
8,0,33204,Shane Lowry,73.21,41,56
8,0,27214,Kevin Streelman,73.21,41,56
13,0,29420,Billy Horschel,71.43,40,56
13,0,37455,Si Woo Kim,71.43,40,56
13,9,32791,K.H. Lee,71.43,40,56
13,0,27129,Luke List,71.43,40,56
13,-6,48081,Xander Schauffele,71.43,40,56
13,0,57366,Cameron Young,71.43,40,56
19,0,34098,Russell Henley,69.64,39,56
19,-8,23108,Matt Kuchar,69.64,39,56
19,0,50525,Collin Morikawa,69.64,39,56
19,0,29221,Webb Simpson,69.64,39,56
23,33,30944,Jason Kokrak,67.86,38,56
24,0,29725,Tony Finau,66.07,37,56
24,0,32102,Rickie Fowler,66.07,37,56
24,0,47993,Denny McCarthy,66.07,37,56
24,0,34360,Patrick Reed,66.07,37,56
24,0,35891,Cameron Smith,66.07,37,56
24,0,33419,Cameron Tringale,66.07,37,56
24,0,25804,Bubba Watson,66.07,37,56
31,0,33141,Keegan Bradley,64.29,36,56
31,0,27644,Brian Harman,64.29,36,56
31,0,46717,Viktor Hovland,64.29,36,56
31,0,26328,Shaun Norris,64.29,36,56
35,0,52096,Adri Arnaus,62.50,35,56
35,0,40098,Matt Fitzpatrick,62.50,35,56
35,-6,30911,Tommy Fleetwood,62.50,35,56
35,0,34363,Tyrrell Hatton,62.50,35,56
35,0,28237,Rory McIlroy,62.50,35,56
35,0,32640,Troy Merritt,62.50,35,56
35,0,26329,Louis Oosthuizen,62.50,35,56
35,0,22405,Justin Rose,62.50,35,56
35,-2,34046,Jordan Spieth,62.50,35,56
35,0,29454,Bernd Wiesberger,62.50,35,56
45,-4,28089,Jason Day,60.71,34,56
45,0,39977,Max Homa,60.71,34,56
45,23,26851,Marc Leishman,60.71,34,56
45,0,52215,Robert MacIntyre,60.71,34,56
45,0,29518,Brendan Steele,60.71,34,56
45,32,33448,Justin Thomas,60.71,34,56
45,0,31323,Gary Woodland,60.71,34,56
52,0,28938,Justin Harding,58.93,33,56
52,0,47056,Rikuya Hoshino,58.93,33,56
52,20,35461,Beau Hossler,58.93,33,56
52,-30,32839,Hideki Matsuyama,58.93,33,56
52,-35,48822,Sebastián Muñoz,58.93,33,56
52,-11,45486,Joaquin Niemann,58.93,33,56
52,4,28252,Seamus Power,58.93,33,56
52,-11,26331,Charl Schwartzel,58.93,33,56
52,0,37189,Harold Varner III,58.93,33,56
61,0,34362,Laurie Canter,57.14,32,56
61,0,33399,Adam Hadwin,57.14,32,56
61,-20,35532,Tom Hoge,57.14,32,56
61,1,47347,Adam Schenk,57.14,32,56
61,-28,49960,Sepp Straka,57.14,32,56
61,-44,49964,Aaron Wise,57.14,32,56
67,-63,35310,Lanto Griffin,55.36,31,56
67,-60,25198,Francesco Molinari,55.36,31,56
67,0,25396,Kevin Na,55.36,31,56
67,0,33293,Thomas Pieters,55.36,31,56
71,0,47504,Sam Burns,53.57,30,56
71,0,39058,Lucas Herbert,53.57,30,56
71,-15,32757,Patton Kizzire,53.57,30,56
71,-38,46442,Maverick McNealy,53.57,30,56
75,0,45157,Cam Davis,51.79,29,56
75,0,47483,Will Zalatoris,51.79,29,56
77,0,36689,Brooks Koepka,48.21,27,56
78,0,29936,Ryan Fox,46.43,26,56
