RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,29518,Brendan Steele,70.83,51,72,-0.24
2,38,33448,Justin Thomas,69.44,50,72,-0.26
3,0,52096,Adri Arnaus,68.06,49,72,-0.14
3,28,30911,Tommy Fleetwood,68.06,49,72,-0.29
3,0,28237,Rory McIlroy,68.06,49,72,-0.29
3,0,47483,Will Zalatoris,68.06,49,72,-0.29
7,-3,47529,Mito Pereira,66.67,48,72,-0.33
7,-3,48081,Xander Schauffele,66.67,48,72,-0.17
9,0,22405,Justin Rose,65.28,47,72,-0.26
10,0,45526,Abraham Ancer,63.89,46,72,-0.24
10,0,25900,Lucas Glover,63.89,46,72,-0.17
10,39,34046,Jordan Spieth,63.89,46,72,-0.17
13,0,20229,Stewart Cink,62.50,45,72,-0.29
13,0,34363,Tyrrell Hatton,62.50,45,72,-0.29
13,0,46970,Jon Rahm,62.50,45,72,-0.18
13,-3,47995,Davis Riley,62.50,45,72,-0.29
13,0,35891,Cameron Smith,62.50,45,72,-0.31
18,0,47504,Sam Burns,61.11,44,72,-0.23
18,0,46402,Talor Gooch,61.11,44,72,-0.20
18,0,46717,Viktor Hovland,61.11,44,72,-0.14
18,0,25804,Bubba Watson,61.11,44,72,-0.23
18,0,31323,Gary Woodland,61.11,44,72,-0.27
18,0,57366,Cameron Young,61.11,44,72,-0.30
24,0,40098,Matt Fitzpatrick,59.72,43,72,-0.23
24,-6,35310,Lanto Griffin,59.72,43,72,-0.21
24,0,49298,Kramer Hickok,59.72,43,72,-0.14
24,16,35532,Tom Hoge,59.72,43,72,-0.33
24,0,39977,Max Homa,59.72,43,72,-0.26
24,-6,32791,K.H. Lee,59.72,43,72,-0.16
24,7,28252,Seamus Power,59.72,43,72,-0.26
31,0,33141,Keegan Bradley,58.33,42,72,-0.12
31,0,29725,Tony Finau,58.33,42,72,-0.21
31,0,29936,Ryan Fox,58.33,42,72,-0.14
31,0,33204,Shane Lowry,58.33,42,72,-0.14
31,51,39546,Keith Mitchell,58.33,42,72,-0.24
31,0,50525,Collin Morikawa,58.33,42,72,-0.17
31,0,25396,Kevin Na,58.33,42,72,-0.29
31,0,29221,Webb Simpson,58.33,42,72,-0.33
31,0,29454,Bernd Wiesberger,58.33,42,72,-0.31
31,18,49964,Aaron Wise,58.33,42,72,-0.33
41,0,39058,Lucas Herbert,56.94,41,72,-0.34
41,0,30926,Chris Kirk,56.94,41,72,-0.24
41,0,27129,Luke List,56.94,41,72,-0.32
41,-40,48822,Sebastián Muñoz,56.94,41,72,-0.10
41,22,45486,Joaquin Niemann,56.94,41,72,-0.34
41,0,26328,Shaun Norris,56.94,41,72,-0.22
41,0,33293,Thomas Pieters,56.94,41,72,-0.24
41,16,47347,Adam Schenk,56.94,41,72,-0.22
41,0,27214,Kevin Streelman,56.94,41,72,-0.22
41,0,37189,Harold Varner III,56.94,41,72,-0.17
51,0,32102,Rickie Fowler,55.56,40,72,-0.18
51,0,28938,Justin Harding,55.56,40,72,-0.18
51,0,52215,Robert MacIntyre,55.56,40,72,-0.13
54,0,34362,Laurie Canter,54.17,39,72,-0.21
54,0,27644,Brian Harman,54.17,39,72,-0.31
54,0,34098,Russell Henley,54.17,39,72,-0.26
54,-44,32839,Hideki Matsuyama,54.17,39,72,-0.26
54,0,34360,Patrick Reed,54.17,39,72,-0.23
59,0,29420,Billy Horschel,52.78,38,72,-0.11
59,0,47056,Rikuya Hoshino,52.78,38,72,-0.24
59,-28,35461,Beau Hossler,52.78,38,72,-0.21
59,0,37455,Si Woo Kim,52.78,38,72,-0.24
59,-49,23108,Matt Kuchar,52.78,38,72,-0.21
59,0,33419,Cameron Tringale,52.78,38,72,-0.26
65,0,47993,Denny McCarthy,51.39,37,72,-0.16
65,-8,46442,Maverick McNealy,51.39,37,72,-0.19
65,-47,26331,Charl Schwartzel,51.39,37,72,-0.24
68,0,45157,Cam Davis,50.00,36,72,-0.25
68,0,33399,Adam Hadwin,50.00,36,72,-0.14
68,0,36689,Brooks Koepka,50.00,36,72,-0.25
68,-5,49960,Sepp Straka,50.00,36,72,-0.14
72,-45,30944,Jason Kokrak,48.61,35,72,-0.31
72,-32,26851,Marc Leishman,48.61,35,72,-0.26
72,0,32640,Troy Merritt,48.61,35,72,-0.14
72,-69,25198,Francesco Molinari,48.61,35,72,-0.14
76,0,26329,Louis Oosthuizen,47.22,34,72,-0.26
77,-24,28089,Jason Day,45.83,33,72,-0.24
78,-12,32757,Patton Kizzire,38.89,28,72,-0.21
