RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,33204,Shane Lowry,76.67,23,30
2,0,46402,Talor Gooch,71.43,20,28
2,0,57366,Cameron Young,71.43,20,28
4,0,30926,Chris Kirk,70.97,22,31
5,0,40098,Matt Fitzpatrick,68.97,20,29
5,25,28252,Seamus Power,68.97,20,29
7,13,48081,Xander Schauffele,66.67,16,24
8,0,32102,Rickie Fowler,65.63,21,32
9,0,39977,Max Homa,65.52,19,29
10,0,52096,Adri Arnaus,65.22,15,23
11,44,26851,Marc Leishman,64.86,24,37
11,0,32640,Troy Merritt,64.86,24,37
13,-2,23108,Matt Kuchar,64.71,22,34
14,51,48822,Sebastián Muñoz,64.52,20,31
15,0,34360,Patrick Reed,63.64,21,33
16,0,29454,Bernd Wiesberger,63.33,19,30
17,0,47993,Denny McCarthy,62.86,22,35
18,62,25198,Francesco Molinari,62.16,23,37
19,-5,35532,Tom Hoge,62.07,18,29
20,0,45526,Abraham Ancer,61.54,16,26
21,0,28237,Rory McIlroy,60.87,14,23
21,0,47483,Will Zalatoris,60.87,14,23
23,0,47504,Sam Burns,60.71,17,28
23,0,46717,Viktor Hovland,60.71,17,28
25,0,33141,Keegan Bradley,60.00,18,30
25,0,29725,Tony Finau,60.00,18,30
25,0,25396,Kevin Na,60.00,18,30
28,0,34363,Tyrrell Hatton,59.26,16,27
29,-15,33448,Justin Thomas,59.09,13,22
30,-20,28089,Jason Day,58.97,23,39
31,0,29420,Billy Horschel,58.82,20,34
31,0,33419,Cameron Tringale,58.82,20,34
33,-29,32791,K.H. Lee,58.62,17,29
34,0,45157,Cam Davis,58.33,21,36
35,0,26329,Louis Oosthuizen,57.89,22,38
36,0,25900,Lucas Glover,57.69,15,26
36,-23,34046,Jordan Spieth,57.69,15,26
38,0,34362,Laurie Canter,57.58,19,33
39,0,25804,Bubba Watson,57.14,16,28
40,23,32757,Patton Kizzire,56.82,25,44
41,0,29936,Ryan Fox,56.67,17,30
42,0,47056,Rikuya Hoshino,55.88,19,34
43,0,33399,Adam Hadwin,55.56,20,36
43,0,36689,Brooks Koepka,55.56,20,36
43,2,47995,Davis Riley,55.56,15,27
46,0,39058,Lucas Herbert,54.84,17,31
46,0,27214,Kevin Streelman,54.84,17,31
46,0,37189,Harold Varner III,54.84,17,31
49,12,47529,Mito Pereira,54.17,13,24
50,-25,39546,Keith Mitchell,53.33,16,30
50,0,50525,Collin Morikawa,53.33,16,30
52,0,29518,Brendan Steele,52.38,11,21
53,0,22405,Justin Rose,52.00,13,25
54,0,46970,Jon Rahm,51.85,14,27
54,0,35891,Cameron Smith,51.85,14,27
56,-47,35310,Lanto Griffin,51.72,15,29
57,0,27129,Luke List,51.61,16,31
57,26,47347,Adam Schenk,51.61,16,31
59,0,26331,Charl Schwartzel,51.43,18,35
60,0,37455,Si Woo Kim,50.00,17,34
60,0,29221,Webb Simpson,50.00,15,30
60,16,49964,Aaron Wise,50.00,15,30
63,0,27644,Brian Harman,48.48,16,33
64,-56,45486,Joaquin Niemann,48.39,15,31
65,0,20229,Stewart Cink,48.15,13,27
66,16,30911,Tommy Fleetwood,47.83,11,23
67,-61,35461,Beau Hossler,47.06,16,34
68,0,34098,Russell Henley,45.45,15,33
68,-57,32839,Hideki Matsuyama,45.45,15,33
70,0,49298,Kramer Hickok,44.83,13,29
71,-20,49960,Sepp Straka,44.44,16,36
72,0,28938,Justin Harding,43.75,14,32
73,-22,30944,Jason Kokrak,43.24,16,37
74,-53,46442,Maverick McNealy,42.86,15,35
74,0,31323,Gary Woodland,42.86,12,28
76,0,52215,Robert MacIntyre,40.63,13,32
77,0,26328,Shaun Norris,38.71,12,31
77,0,33293,Thomas Pieters,38.71,12,31
