RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,28237,Rory McIlroy,347.5,2780,8
2,0,52096,Adri Arnaus,338.6,2709,8
2,0,37189,Harold Varner III,338.6,2709,8
4,0,46970,Jon Rahm,337.8,2702,8
5,39,49960,Sepp Straka,336.9,2695,8
6,0,57366,Cameron Young,336.3,2690,8
7,0,39058,Lucas Herbert,335.9,2687,8
8,34,26331,Charl Schwartzel,335.6,2685,8
9,0,45486,Joaquin Niemann,335.5,2684,8
10,0,33141,Keegan Bradley,333.6,2669,8
11,0,27129,Luke List,333.4,2667,8
11,5,39546,Keith Mitchell,333.4,2667,8
13,0,29221,Webb Simpson,331.1,2649,8
14,0,29454,Bernd Wiesberger,330.8,2646,8
15,5,46442,Maverick McNealy,330.6,2645,8
16,0,47483,Will Zalatoris,330.4,2643,8
17,0,40098,Matt Fitzpatrick,330.3,2642,8
18,0,29936,Ryan Fox,330.1,2641,8
19,0,33204,Shane Lowry,330.0,2640,8
20,0,20229,Stewart Cink,329.4,2635,8
21,0,25804,Bubba Watson,329.3,2634,8
21,44,49964,Aaron Wise,329.3,2634,8
23,0,29725,Tony Finau,327.8,2622,8
24,0,47504,Sam Burns,327.6,2621,8
24,0,39977,Max Homa,327.6,2621,8
26,-14,33448,Justin Thomas,327.4,2619,8
27,28,28252,Seamus Power,327.1,2617,8
28,6,28089,Jason Day,327.0,2616,8
28,-24,30944,Jason Kokrak,327.0,2616,8
30,19,32791,K.H. Lee,325.8,2606,8
31,0,50525,Collin Morikawa,324.9,2599,8
32,0,46402,Talor Gooch,323.9,2591,8
33,-10,47529,Mito Pereira,323.8,2590,8
34,0,46717,Viktor Hovland,323.6,2589,8
35,0,36689,Brooks Koepka,322.4,2579,8
36,21,30911,Tommy Fleetwood,321.9,2575,8
36,0,32102,Rickie Fowler,321.9,2575,8
36,0,31323,Gary Woodland,321.9,2575,8
39,13,32757,Patton Kizzire,321.6,2573,8
40,0,35891,Cameron Smith,321.5,2572,8
41,0,29420,Billy Horschel,320.0,2560,8
42,-7,48822,Sebastián Muñoz,319.5,2556,8
43,-24,47347,Adam Schenk,318.8,2550,8
44,3,26851,Marc Leishman,318.0,2544,8
45,0,30926,Chris Kirk,317.6,2541,8
46,0,26328,Shaun Norris,317.3,2538,8
47,0,34362,Laurie Canter,317.0,2536,8
48,16,47995,Davis Riley,316.5,2532,8
49,-19,48081,Xander Schauffele,315.6,2525,8
50,-19,35310,Lanto Griffin,315.5,2524,8
51,0,33419,Cameron Tringale,314.6,2517,8
52,-44,35461,Beau Hossler,314.3,2514,8
53,0,33399,Adam Hadwin,313.6,2509,8
54,0,45526,Abraham Ancer,313.5,2508,8
55,-16,32839,Hideki Matsuyama,313.4,2507,8
56,0,47056,Rikuya Hoshino,312.4,2499,8
57,0,49298,Kramer Hickok,312.3,2498,8
58,0,22405,Justin Rose,311.8,2494,8
59,0,25900,Lucas Glover,311.1,2489,8
60,0,29518,Brendan Steele,310.8,2486,8
61,-48,34046,Jordan Spieth,310.4,2483,8
62,0,45157,Cam Davis,310.0,2480,8
63,0,34098,Russell Henley,309.5,2476,8
64,0,33293,Thomas Pieters,309.4,2475,8
65,0,52215,Robert MacIntyre,307.8,2462,8
66,0,37455,Si Woo Kim,306.6,2453,8
67,0,47993,Denny McCarthy,306.3,2450,8
68,-15,35532,Tom Hoge,306.1,2449,8
69,0,34360,Patrick Reed,305.3,2442,8
70,-28,25198,Francesco Molinari,303.1,2425,8
71,0,26329,Louis Oosthuizen,302.4,2419,8
72,0,25396,Kevin Na,302.3,2418,8
73,0,34363,Tyrrell Hatton,301.8,2414,8
74,0,28938,Justin Harding,300.6,2405,8
75,0,27644,Brian Harman,299.8,2398,8
76,0,32640,Troy Merritt,299.4,2395,8
77,0,27214,Kevin Streelman,299.1,2393,8
78,4,23108,Matt Kuchar,296.3,2370,8
