PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
35891,Cameron Smith,2022 PGA Championship,-0.94475,0.701,2.416,0.156
30926,Chris Kirk,2022 PGA Championship,0.38925,0.426,1.011,1.252
29518,Brendan Steele,2022 PGA Championship,-0.0605,0.496,1.852,0.291
57366,Cameron Young,2022 PGA Championship,0.72425,1.756,0.651,0.197
28237,Rory McIlroy,2022 PGA Championship,0.238,1.401,1.214,-0.024
47483,Will Zalatoris,2022 PGA Championship,1.1615,0.502,1.284,0.632
47995,Davis Riley,2022 PGA Championship,-0.07675,1.262,1.608,-0.465
32102,Rickie Fowler,2022 PGA Championship,-0.45725,0.476,0.395,1.415
52096,Adri Arnaus,2022 PGA Championship,-0.653,1.213,0.69,0.328
28252,Seamus Power,2022 PGA Championship,0.37825,0.408,0.875,0.918
30911,Tommy Fleetwood,2022 PGA Championship,0.911,0.331,1.181,0.655
34046,Jordan Spieth,2022 PGA Championship,-0.8115,0.585,1.169,0.386
25900,Lucas Glover,2022 PGA Championship,-0.28575,0.207,1.947,-0.04
37189,Harold Varner III,2022 PGA Championship,-1.27775,-0.092,0.976,1.223
46402,Talor Gooch,2022 PGA Championship,0.06875,0.488,0.788,0.735
33448,Justin Thomas,2022 PGA Championship,1.5785,0.659,0.526,0.814
48081,Xander Schauffele,2022 PGA Championship,0.35575,0.827,0.992,0.154
47529,Mito Pereira,2022 PGA Championship,1.3705,0.22,1.525,0.213
25804,Bubba Watson,2022 PGA Championship,-0.3385,0.387,1.239,0.291
39977,Max Homa,2022 PGA Championship,0.47775,0.188,1.732,-0.069
40098,Matt Fitzpatrick,2022 PGA Championship,1.24575,0.483,0.181,1.168
29454,Bernd Wiesberger,2022 PGA Championship,-0.1545,0.266,1.12,0.347
45526,Abraham Ancer,2022 PGA Championship,0.966,0.682,1.15,-0.22
29221,Webb Simpson,2022 PGA Championship,0.5115,0.545,0.647,0.375
20229,Stewart Cink,2022 PGA Championship,0.283,1.261,0.527,-0.243
37455,Si Woo Kim,2022 PGA Championship,-1.41575,-0.7,1.276,0.919
34363,Tyrrell Hatton,2022 PGA Championship,0.877,0.142,0.9,0.41
35532,Tom Hoge,2022 PGA Championship,1.1545,-0.837,1.959,0.302
29725,Tony Finau,2022 PGA Championship,0.17125,0.314,0.548,0.546
23108,Matt Kuchar,2022 PGA Championship,0.0065,0.013,-0.244,1.553
45486,Joaquin Niemann,2022 PGA Championship,0.515,0.838,-0.352,0.827
