RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,10,28237,Rory McIlroy,3.551,1.055,1.628,.867,4
2,0,33448,Justin Thomas,3.282,1.275,1.638,.368,4
3,29,33204,Shane Lowry,2.966,.890,1.321,.755,4
4,0,29725,Tony Finau,2.940,1.240,.831,.868,4
5,0,47504,Sam Burns,2.860,-.113,2.355,.618,4
6,0,46340,Alex Smalley,2.822,.935,1.141,.745,4
7,56,46414,Aaron Rai,2.687,.699,1.799,.189,4
8,0,37189,Harold Varner III,2.627,.743,1.436,.447,4
9,48,30926,Chris Kirk,2.270,.992,.734,.543,4
10,0,34174,John Huh,2.264,.478,1.089,.696,4
11,0,29926,Danny Lee,2.193,.624,1.558,.011,4
12,0,46046,Scottie Scheffler,2.169,.605,1.006,.558,4
13,0,39953,Chase Seiffert,2.132,.761,1.186,.184,4
14,-6,39997,Corey Conners,2.109,.810,1.425,-.126,4
15,3,31646,Emiliano Grillo,1.909,1.005,1.025,-.122,4
16,10,39546,Keith Mitchell,1.800,1.256,.599,-.056,4
17,0,35879,Kelly Kraft,1.629,.407,.471,.750,4
18,27,40115,Adam Svensson,1.621,.531,.510,.579,4
19,32,52375,Doug Ghim,1.620,.343,.624,.652,4
20,0,22405,Justin Rose,1.604,.988,.856,-.240,4
21,0,25818,Scott Piercy,1.566,.669,.452,.445,4
22,-3,33399,Adam Hadwin,1.489,.614,-.069,.943,4
23,4,27064,Jhonattan Vegas,1.409,.344,1.624,-.561,4
24,45,33667,Carlos Ortiz,1.298,.579,.560,.158,4
25,0,35449,Adam Long,1.295,.483,.437,.374,4
26,0,40098,Matt Fitzpatrick,1.277,1.268,.390,-.382,4
27,43,26596,Ryan Moore,1.272,.135,.623,.514,4
28,0,48822,Sebastián Muñoz,1.224,.641,.575,.008,4
29,0,49766,Hank Lebioda,1.105,-.175,.794,.486,4
30,12,35506,Mackenzie Hughes,1.081,.238,.564,.279,4
31,0,51894,Vince Whaley,1.028,1.036,.426,-.435,4
32,0,47988,Nick Hardy,.883,1.098,.424,-.639,4
33,0,30927,Brendon Todd,.868,-.585,.962,.490,4
34,0,22056,Cameron Percy,.799,.170,.475,.153,4
35,0,19803,Ryan Armour,.760,-.345,.783,.322,4
36,0,48887,Matt Wallace,.717,-.279,-.115,1.111,4
37,0,25493,Nick Taylor,.678,.298,-.019,.398,4
38,0,36852,Jim Knous,.672,.534,-.295,.432,4
39,0,35110,Brett Drewitt,.607,.163,-.198,.641,4
40,0,33413,Ben Martin,.534,.382,-.172,.324,4
41,-19,35891,Cameron Smith,.518,-.577,.889,.205,4
42,0,27895,Jonas Blixt,.462,.438,-.019,.043,4
43,4,49298,Kramer Hickok,.448,.409,.353,-.316,4
44,0,54628,Lee Hodges,.394,-1.132,1.678,-.153,4
45,0,37212,Paul Barjon,.314,.943,-.377,-.253,4
46,0,36699,Patrick Rodgers,.303,.428,.478,-.604,4
47,0,23325,Vaughn Taylor,.283,-.682,1.077,-.112,4
48,0,50095,Austin Smotherman,.252,.802,.207,-.758,4
49,0,40162,Justin Lower,.234,-.645,-.156,1.035,4
50,0,12716,Charley Hoffman,.107,.967,-1.102,.241,4
51,0,36801,Mark Hubbard,.095,.074,.878,-.857,4
52,-16,51766,Wyndham Clark,.048,.111,-.769,.706,4
53,15,27649,Brandt Snedeker,-.024,-.295,.185,.087,4
54,-52,51634,Sahith Theegala,-.064,.383,-.663,.216,4
55,0,32139,Danny Willett,-.094,.133,.293,-.520,4
56,0,46435,Austin Cook,-.111,-.269,-.066,.224,4
57,0,51997,Andrew Novak,-.198,-.641,-.308,.750,4
58,0,29289,S.Y. Noh,-.321,-.835,-.288,.802,4
59,0,24140,Sean O'Hair,-.539,.239,-.688,-.091,4
60,0,29970,Dylan Frittelli,-.566,-.685,.304,-.185,4
61,0,26499,Rafa Cabrera Bello,-.639,.577,-1.786,.570,4
62,0,34431,Robert Streb,-.674,.199,-.334,-.539,4
63,0,35557,Aaron Cockerill,-.853,-.238,-.349,-.267,4
64,0,28114,Dawie van der Walt,-.876,-.202,-.347,-.328,4
65,0,46550,Brandon Hagy,-1.207,-.451,-.484,-.272,4
66,0,23623,Bo Van Pelt,-1.544,-.838,-.426,-.281,4
67,0,27139,David Skinns,-1.583,-1.174,-.140,-.269,4
68,0,46601,Trey Mullinax,-1.609,-.853,-.468,-.289,4
69,0,23353,J.J. Henry,-1.682,-1.355,-.392,.066,4
70,0,23541,Ben Crane,-1.735,-.446,-1.225,-.064,4
