RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,4,46717,Viktor Hovland,2.883,1.175,2.376,-.668,4
2,19,33141,Keegan Bradley,2.862,1.385,1.160,.318,4
3,0,40006,Erik van Rooyen,2.788,-.376,2.831,.333,4
4,34,35532,Tom Hoge,2.406,.824,.689,.894,4
5,-1,29518,Brendan Steele,2.371,1.904,1.051,-.584,4
6,3,28237,Rory McIlroy,2.218,.770,.694,.753,4
7,0,37189,Harold Varner III,2.213,.743,1.292,.177,4
8,2,39977,Max Homa,2.184,1.095,.988,.101,4
9,0,52375,Doug Ghim,2.011,.948,.909,.154,4
10,38,30911,Tommy Fleetwood,1.995,.813,.570,.612,4
11,0,33122,Russell Knox,1.970,.737,.283,.950,4
12,62,31420,Anirban Lahiri,1.934,.871,1.048,.014,4
13,0,45486,Joaquin Niemann,1.898,.794,.517,.587,4
14,37,25364,Paul Casey,1.877,-.269,1.766,.380,4
15,12,47483,Will Zalatoris,1.738,1.112,.735,-.109,4
16,-14,49964,Aaron Wise,1.603,.429,1.367,-.193,4
17,0,27349,Alex Noren,1.498,.163,1.258,.077,4
18,28,39546,Keith Mitchell,1.496,1.070,-.289,.715,4
19,0,33204,Shane Lowry,1.421,.432,.975,.014,4
20,0,29478,Kevin Kisner,1.374,.516,-.635,1.493,4
21,-10,34098,Russell Henley,1.266,-.808,2.888,-.814,4
22,0,33448,Justin Thomas,1.248,.548,.593,.107,4
23,7,40250,Taylor Pendrith,1.228,.938,.122,.168,4
24,0,49298,Kramer Hickok,1.202,.534,.891,-.222,4
25,0,53165,Doc Redman,1.179,.854,.820,-.494,4
26,-25,39997,Corey Conners,1.159,.415,.497,.247,4
27,0,25632,Jimmy Walker,1.086,.247,.339,.499,4
28,0,25198,Francesco Molinari,1.081,.025,.567,.489,4
29,15,24138,Ian Poulter,.999,-.298,.598,.700,4
30,0,45526,Abraham Ancer,.941,.200,.704,.037,4
31,12,29970,Dylan Frittelli,.903,-.032,1.058,-.123,4
32,0,26329,Louis Oosthuizen,.861,1.173,-.388,.076,4
33,0,27214,Kevin Streelman,.762,.433,.928,-.600,4
34,0,30925,Dustin Johnson,.756,.567,.645,-.456,4
35,0,35891,Cameron Smith,.717,-1.293,1.665,.345,4
36,0,33399,Adam Hadwin,.670,-.266,1.047,-.111,4
37,28,21209,Sergio Garcia,.605,.967,-.294,-.068,4
37,0,29535,Brice Garnett,.605,-.386,.662,.329,4
39,0,49960,Sepp Straka,.597,.859,-.279,.018,4
40,0,55708,Hayden Buckley,.568,1.483,-.021,-.894,4
41,36,46442,Maverick McNealy,.554,.403,.948,-.797,4
42,0,40026,Daniel Berger,.514,.105,-.559,.968,4
43,0,30692,Scott Stallings,.369,-.208,-.048,.624,4
44,-22,48822,Sebastián Muñoz,.255,.653,-.299,-.099,4
45,-10,47504,Sam Burns,.246,.046,.205,-.005,4
46,7,35449,Adam Long,.223,.675,-.603,.151,4
47,0,28252,Seamus Power,.199,1.271,-.660,-.412,4
48,-45,46970,Jon Rahm,.094,1.806,-1.656,-.056,4
49,0,29974,Branden Grace,.088,.115,-1.453,1.426,4
50,0,49766,Hank Lebioda,-.056,-.996,1.252,-.312,4
51,0,34076,Joel Dahmen,-.109,-.006,.234,-.336,4
52,0,34466,Peter Malnati,-.190,-.859,.877,-.208,4
53,0,54628,Lee Hodges,-.202,.212,-.690,.276,4
53,-8,30944,Jason Kokrak,-.202,-.578,.260,.116,4
55,4,39971,Sungjae Im,-.251,-.327,-.427,.503,4
56,-30,34363,Tyrrell Hatton,-.262,-.309,.248,-.200,4
57,0,27644,Brian Harman,-.305,.530,-.759,-.076,4
58,-26,32791,K.H. Lee,-.318,-.364,-.305,.352,4
59,-2,24361,Pat Perez,-.340,-.407,.179,-.112,4
60,-18,32757,Patton Kizzire,-.356,-1.031,.311,.364,4
61,-1,27095,Nick Watney,-.468,-.421,.805,-.852,4
62,0,47993,Denny McCarthy,-.516,-.631,.018,.097,4
63,12,32640,Troy Merritt,-.554,-.478,-.149,.073,4
64,-56,46046,Scottie Scheffler,-.586,.250,-.953,.117,4
65,0,34360,Patrick Reed,-.900,-1.433,.417,.116,4
66,0,37275,Sam Ryder,-1.110,-.692,-.808,.390,4
67,0,32150,Michael Thompson,-1.337,-.154,-.874,-.309,4
68,0,25804,Bubba Watson,-1.552,.495,-1.608,-.439,4
69,-28,39058,Lucas Herbert,-1.709,-.950,-.556,-.202,4
70,0,34563,Chesson Hadley,-2.930,-1.550,-1.186,-.193,4
