RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,0,35891,Cameron Smith,23.00,23,1
2,19,47504,Sam Burns,26.00,26,1
2,9,39971,Sungjae Im,26.00,26,1
2,0,40006,Erik van Rooyen,26.00,26,1
5,46,25364,Paul Casey,27.00,27,1
5,0,34076,Joel Dahmen,27.00,27,1
5,46,30944,Jason Kokrak,27.00,27,1
5,46,32791,K.H. Lee,27.00,27,1
5,0,37189,Harold Varner III,27.00,27,1
5,0,25804,Bubba Watson,27.00,27,1
5,62,47483,Will Zalatoris,27.00,27,1
12,0,45526,Abraham Ancer,28.00,28,1
12,0,52375,Doug Ghim,28.00,28,1
12,-11,32640,Troy Merritt,28.00,28,1
12,0,25198,Francesco Molinari,28.00,28,1
12,-1,37275,Sam Ryder,28.00,28,1
17,0,40026,Daniel Berger,29.00,29,1
17,19,21209,Sergio Garcia,29.00,29,1
17,0,34563,Chesson Hadley,29.00,29,1
17,-16,34363,Tyrrell Hatton,29.00,29,1
17,34,28237,Rory McIlroy,29.00,29,1
17,19,39546,Keith Mitchell,29.00,29,1
17,0,27349,Alex Noren,29.00,29,1
17,0,34360,Patrick Reed,29.00,29,1
17,4,46046,Scottie Scheffler,29.00,29,1
17,0,49960,Sepp Straka,29.00,29,1
17,0,33448,Justin Thomas,29.00,29,1
28,8,34098,Russell Henley,30.00,30,1
28,0,30925,Dustin Johnson,30.00,30,1
28,0,29478,Kevin Kisner,30.00,30,1
28,0,49766,Hank Lebioda,30.00,30,1
28,39,35449,Adam Long,30.00,30,1
28,8,48822,Sebastián Muñoz,30.00,30,1
28,39,24361,Pat Perez,30.00,30,1
28,-17,24138,Ian Poulter,30.00,30,1
28,0,53165,Doc Redman,30.00,30,1
28,23,29518,Brendan Steele,30.00,30,1
28,0,32150,Michael Thompson,30.00,30,1
39,-28,33141,Keegan Bradley,31.00,31,1
39,-28,55708,Hayden Buckley,31.00,31,1
39,28,39997,Corey Conners,31.00,31,1
39,0,29974,Branden Grace,31.00,31,1
39,0,54628,Lee Hodges,31.00,31,1
39,0,33204,Shane Lowry,31.00,31,1
39,0,45486,Joaquin Niemann,31.00,31,1
39,0,26329,Louis Oosthuizen,31.00,31,1
39,0,27214,Kevin Streelman,31.00,31,1
39,12,27095,Nick Watney,31.00,31,1
49,-41,30911,Tommy Fleetwood,32.00,32,1
49,-28,29970,Dylan Frittelli,32.00,32,1
49,0,33399,Adam Hadwin,32.00,32,1
49,0,27644,Brian Harman,32.00,32,1
49,-28,32757,Patton Kizzire,32.00,32,1
49,0,33122,Russell Knox,32.00,32,1
49,24,31420,Anirban Lahiri,32.00,32,1
49,0,34466,Peter Malnati,32.00,32,1
49,0,28252,Seamus Power,32.00,32,1
49,2,49964,Aaron Wise,32.00,32,1
59,0,29535,Brice Garnett,33.00,33,1
59,-52,39058,Lucas Herbert,33.00,33,1
59,-56,46717,Viktor Hovland,33.00,33,1
59,-48,47993,Denny McCarthy,33.00,33,1
59,-38,46970,Jon Rahm,33.00,33,1
59,0,25632,Jimmy Walker,33.00,33,1
65,0,30692,Scott Stallings,34.00,34,1
66,-61,35532,Tom Hoge,35.00,35,1
66,-58,46442,Maverick McNealy,35.00,35,1
68,0,49298,Kramer Hickok,36.00,36,1
68,-47,39977,Max Homa,36.00,36,1
68,-47,40250,Taylor Pendrith,36.00,36,1
