RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,2,40250,Taylor Pendrith,301.4,2411,8
2,0,45486,Joaquin Niemann,299.8,2398,8
3,21,39058,Lucas Herbert,299.0,2392,8
4,10,49964,Aaron Wise,298.9,2391,8
5,12,30944,Jason Kokrak,297.3,2378,8
6,22,33141,Keegan Bradley,296.4,2371,8
7,26,46717,Viktor Hovland,295.8,2366,8
8,15,29518,Brendan Steele,295.3,2362,8
9,0,30925,Dustin Johnson,294.6,2357,8
10,31,30911,Tommy Fleetwood,294.5,2356,8
10,8,39977,Max Homa,294.5,2356,8
12,-11,28237,Rory McIlroy,293.6,2349,8
13,-9,47504,Sam Burns,293.5,2348,8
14,-1,46046,Scottie Scheffler,293.1,2345,8
14,-9,47483,Will Zalatoris,293.1,2345,8
16,-2,34363,Tyrrell Hatton,292.8,2342,8
17,-10,46970,Jon Rahm,292.4,2339,8
18,16,21209,Sergio Garcia,291.8,2334,8
19,1,39546,Keith Mitchell,291.0,2328,8
20,0,35891,Cameron Smith,290.8,2326,8
21,0,30692,Scott Stallings,290.4,2323,8
22,0,34563,Chesson Hadley,290.0,2320,8
23,-1,25364,Paul Casey,289.5,2316,8
24,1,48822,Sebastián Muñoz,289.3,2314,8
25,12,32757,Patton Kizzire,289.1,2313,8
26,0,33204,Shane Lowry,288.0,2304,8
27,13,27095,Nick Watney,286.9,2295,8
28,0,33399,Adam Hadwin,286.6,2293,8
29,0,49960,Sepp Straka,286.5,2292,8
30,0,28252,Seamus Power,286.3,2290,8
31,0,34466,Peter Malnati,285.9,2287,8
31,0,33448,Justin Thomas,285.9,2287,8
33,0,37189,Harold Varner III,284.1,2273,8
34,2,29970,Dylan Frittelli,284.0,2272,8
35,31,46442,Maverick McNealy,283.6,2269,8
36,0,27349,Alex Noren,283.1,2265,8
37,30,31420,Anirban Lahiri,282.8,2262,8
38,0,26329,Louis Oosthuizen,282.5,2260,8
39,7,55708,Hayden Buckley,282.4,2259,8
40,0,25632,Jimmy Walker,282.1,2257,8
41,0,53165,Doc Redman,282.0,2256,8
42,0,40006,Erik van Rooyen,280.9,2247,8
43,8,35532,Tom Hoge,280.3,2242,8
44,14,39997,Corey Conners,280.0,2240,8
45,0,40026,Daniel Berger,279.6,2237,8
45,15,32640,Troy Merritt,279.6,2237,8
47,0,25198,Francesco Molinari,279.4,2235,8
48,8,32791,K.H. Lee,279.3,2234,8
49,-20,34098,Russell Henley,278.9,2231,8
49,-20,39971,Sungjae Im,278.9,2231,8
51,0,29535,Brice Garnett,278.6,2229,8
52,0,54628,Lee Hodges,278.3,2226,8
52,0,34360,Patrick Reed,278.3,2226,8
52,0,27214,Kevin Streelman,278.3,2226,8
55,13,37275,Sam Ryder,277.5,2220,8
56,0,29974,Branden Grace,276.9,2215,8
57,0,33122,Russell Knox,276.1,2209,8
58,0,34076,Joel Dahmen,275.9,2207,8
59,10,35449,Adam Long,274.8,2198,8
60,0,45526,Abraham Ancer,274.5,2196,8
61,-7,47993,Denny McCarthy,274.1,2193,8
62,0,27644,Brian Harman,274.0,2192,8
63,0,49298,Kramer Hickok,273.8,2190,8
64,-1,24138,Ian Poulter,273.1,2185,8
65,6,24361,Pat Perez,272.6,2181,8
65,0,32150,Michael Thompson,272.6,2181,8
67,0,25804,Bubba Watson,272.5,2180,8
68,0,52375,Doug Ghim,272.4,2179,8
69,0,29478,Kevin Kisner,271.9,2175,8
70,0,49766,Hank Lebioda,270.1,2161,8
