RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,47959,Bryson DeChambeau,91.67,66,72,-0.23
2,0,28237,Rory McIlroy,90.28,65,72,-0.31
3,31,52096,Adri Arnaus,88.89,64,72,-0.11
3,0,48632,Yuto Katsuragawa,88.89,64,72,-0.19
5,53,35891,Cameron Smith,87.50,63,72,-0.37
6,0,45526,Abraham Ancer,86.11,62,72,-0.26
6,1,35450,Patrick Cantlay,86.11,62,72,-0.31
6,0,34098,Russell Henley,86.11,62,72,-0.15
6,0,46046,Scottie Scheffler,86.11,62,72,-0.23
10,31,40098,Matt Fitzpatrick,84.72,61,72,-0.23
10,0,29420,Billy Horschel,84.72,61,72,-0.18
10,0,33204,Shane Lowry,84.72,61,72,-0.28
13,0,25364,Paul Casey,83.33,60,72,-0.25
13,5,30911,Tommy Fleetwood,83.33,60,72,-0.32
13,0,30925,Dustin Johnson,83.33,60,72,-0.30
13,0,29478,Kevin Kisner,83.33,60,72,-0.23
13,0,46601,Trey Mullinax,83.33,60,72,-0.27
13,0,47679,Victor Perez,83.33,60,72,-0.23
13,21,46970,Jon Rahm,83.33,60,72,-0.23
13,45,31569,Jason Scrivener,83.33,60,72,-0.18
13,37,34046,Jordan Spieth,83.33,60,72,-0.30
13,0,51634,Sahith Theegala,83.33,60,72,-0.22
13,0,57366,Cameron Young,83.33,60,72,-0.42
24,0,46402,Talor Gooch,81.94,59,72,-0.25
24,0,39971,Sungjae Im,81.94,59,72,-0.05
24,0,48018,Sadom Kaewkanjana,81.94,59,72,-0.32
24,0,37378,Min Woo Lee,81.94,59,72,-0.32
24,0,54190,Richard Mansell,81.94,59,72,-0.17
24,0,25198,Francesco Molinari,81.94,59,72,-0.20
24,0,46410,Jamie Rutherford,81.94,59,72,-0.14
31,-21,39997,Corey Conners,80.56,58,72,-0.28
31,0,54480,Justin De Los Santos,80.56,58,72,-0.16
31,-28,34363,Tyrrell Hatton,80.56,58,72,-0.26
31,0,52453,Nicolai Hojgaard,80.56,58,72,-0.28
31,0,46717,Viktor Hovland,80.56,58,72,-0.34
31,-26,55182,Tom Kim,80.56,58,72,-0.21
31,-29,45523,Thriston Lawrence,80.56,58,72,-0.26
31,0,33674,Adrian Meronk,80.56,58,72,-0.22
31,-26,48081,Xander Schauffele,80.56,58,72,-0.33
31,-21,46464,Jordan L Smith,80.56,58,72,-0.22
31,19,33419,Cameron Tringale,80.56,58,72,-0.21
31,0,49964,Aaron Wise,80.56,58,72,-0.24
31,0,47483,Will Zalatoris,80.56,58,72,-0.29
44,6,47504,Sam Burns,79.17,57,72,-0.35
44,0,29954,Robert Dinwiddie,79.17,57,72,-0.21
44,0,29725,Tony Finau,79.17,57,72,-0.30
44,0,27644,Brian Harman,79.17,57,72,-0.30
44,0,54421,Garrick Higgo,79.17,57,72,-0.28
44,-10,48117,Kurt Kitayama,79.17,57,72,-0.16
44,0,32839,Hideki Matsuyama,79.17,57,72,-0.21
44,0,48822,Sebastián Muñoz,79.17,57,72,-0.19
44,0,46798,Anthony Quayle,79.17,57,72,-0.32
44,0,33448,Justin Thomas,79.17,57,72,-0.25
44,0,37189,Harold Varner III,79.17,57,72,-0.32
55,-45,33974,Dean Burmester,77.78,56,72,-0.34
55,-33,33653,Thomas Detry,77.78,56,72,-0.34
55,0,39058,Lucas Herbert,77.78,56,72,-0.29
55,9,30926,Chris Kirk,77.78,56,72,-0.21
55,0,30944,Jason Kokrak,77.78,56,72,-0.23
55,-45,45486,Joaquin Niemann,77.78,56,72,-0.23
55,0,33293,Thomas Pieters,77.78,56,72,-0.30
55,0,24138,Ian Poulter,77.78,56,72,-0.20
63,1,45522,Christiaan Bezuidenhout,76.39,55,72,-0.24
63,-22,29970,Dylan Frittelli,76.39,55,72,-0.40
63,0,61560,Aaron Jarvis,76.39,55,72,-0.15
63,0,52215,Robert MacIntyre,76.39,55,72,-0.33
63,0,24502,Adam Scott,76.39,55,72,-0.36
63,0,20396,Lee Westwood,76.39,55,72,-0.33
63,0,32139,Danny Willett,76.39,55,72,-0.25
70,0,48898,David Carey,75.00,54,72,-0.28
70,0,23802,Brad Kennedy,75.00,54,72,-0.24
70,0,37455,Si Woo Kim,75.00,54,72,-0.30
70,0,28723,John Parry,75.00,54,72,-0.20
70,0,34360,Patrick Reed,75.00,54,72,-0.26
75,0,52444,Filippo Celli,73.61,53,72,-0.30
75,-53,34364,David Law,73.61,53,72,-0.25
77,0,34362,Laurie Canter,70.83,51,72,-0.27
77,-67,51766,Wyndham Clark,70.83,51,72,-0.20
77,0,21209,Sergio Garcia,70.83,51,72,-0.33
77,0,45227,Lars Van Meijel,70.83,51,72,-0.22
81,0,63342,Barclay Brown,69.44,50,72,-0.20
82,-64,45194,Marcus Armitage,65.28,47,72,-0.26
83,0,60369,Sam Bairstow,63.89,46,72,-0.17
