RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,27644,Brian Harman,80.00,12,15
2,19,35891,Cameron Smith,77.78,7,9
3,0,25198,Francesco Molinari,76.92,10,13
4,0,37455,Si Woo Kim,72.22,13,18
5,45,34363,Tyrrell Hatton,71.43,10,14
5,0,28237,Rory McIlroy,71.43,5,7
7,0,39058,Lucas Herbert,68.75,11,16
8,-6,30911,Tommy Fleetwood,66.67,8,12
8,0,45227,Lars Van Meijel,66.67,14,21
10,0,29420,Billy Horschel,63.64,7,11
11,43,30926,Chris Kirk,62.50,10,16
12,0,48018,Sadom Kaewkanjana,61.54,8,13
13,0,32139,Danny Willett,58.82,10,17
14,0,30925,Dustin Johnson,58.33,7,12
15,0,60369,Sam Bairstow,57.69,15,26
16,0,54480,Justin De Los Santos,57.14,8,14
16,0,46717,Viktor Hovland,57.14,8,14
16,41,33419,Cameron Tringale,57.14,8,14
16,0,49964,Aaron Wise,57.14,8,14
20,0,30944,Jason Kokrak,56.25,9,16
20,20,45486,Joaquin Niemann,56.25,9,16
22,0,28723,John Parry,55.56,10,18
22,0,34360,Patrick Reed,55.56,10,18
24,-14,40098,Matt Fitzpatrick,54.55,6,11
25,-12,48117,Kurt Kitayama,53.33,8,15
25,0,32839,Hideki Matsuyama,53.33,8,15
25,0,48822,Sebastián Muñoz,53.33,8,15
28,0,24502,Adam Scott,52.94,9,17
29,-21,51766,Wyndham Clark,52.38,11,21
30,22,45194,Marcus Armitage,52.00,13,25
31,0,45526,Abraham Ancer,50.00,5,10
31,0,63342,Barclay Brown,50.00,11,22
31,0,47959,Bryson DeChambeau,50.00,3,6
31,-26,55182,Tom Kim,50.00,7,14
31,0,33674,Adrian Meronk,50.00,7,14
31,0,24138,Ian Poulter,50.00,8,16
31,40,46970,Jon Rahm,50.00,6,12
31,0,46046,Scottie Scheffler,50.00,5,10
31,8,31569,Jason Scrivener,50.00,6,12
31,-5,46464,Jordan L Smith,50.00,7,14
31,26,34046,Jordan Spieth,50.00,6,12
31,0,51634,Sahith Theegala,50.00,6,12
31,0,57366,Cameron Young,50.00,6,12
44,0,21209,Sergio Garcia,47.62,10,21
45,0,52444,Filippo Celli,47.37,9,19
46,0,61560,Aaron Jarvis,47.06,8,17
46,0,52215,Robert MacIntyre,47.06,8,17
46,0,20396,Lee Westwood,47.06,8,17
49,0,29954,Robert Dinwiddie,46.67,7,15
49,0,29725,Tony Finau,46.67,7,15
49,0,46798,Anthony Quayle,46.67,7,15
52,0,46402,Talor Gooch,46.15,6,13
52,0,39971,Sungjae Im,46.15,6,13
52,0,54190,Richard Mansell,46.15,6,13
55,0,33204,Shane Lowry,45.45,5,11
56,0,48898,David Carey,44.44,8,18
56,0,23802,Brad Kennedy,44.44,8,18
58,-3,33974,Dean Burmester,43.75,7,16
58,0,33293,Thomas Pieters,43.75,7,16
60,5,39997,Corey Conners,42.86,6,14
60,0,52453,Nicolai Hojgaard,42.86,6,14
60,9,48081,Xander Schauffele,42.86,6,14
60,0,47483,Will Zalatoris,42.86,6,14
64,0,34364,David Law,42.11,8,19
65,0,29478,Kevin Kisner,41.67,5,12
65,0,47679,Victor Perez,41.67,5,12
67,-58,45522,Christiaan Bezuidenhout,41.18,7,17
68,-64,35450,Patrick Cantlay,40.00,4,10
68,0,34098,Russell Henley,40.00,4,10
68,0,33448,Justin Thomas,40.00,6,15
68,0,37189,Harold Varner III,40.00,6,15
72,0,37378,Min Woo Lee,38.46,5,13
73,-54,33653,Thomas Detry,37.50,6,16
73,0,48632,Yuto Katsuragawa,37.50,3,8
75,0,34362,Laurie Canter,33.33,7,21
75,0,46601,Trey Mullinax,33.33,4,12
77,-5,45523,Thriston Lawrence,28.57,4,14
78,-32,47504,Sam Burns,26.67,4,15
78,0,54421,Garrick Higgo,26.67,4,15
80,0,25364,Paul Casey,25.00,3,12
81,-44,29970,Dylan Frittelli,23.53,4,17
82,0,46410,Jamie Rutherford,15.38,2,13
83,-27,52096,Adri Arnaus,12.50,1,8
