RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,27129,Luke List,3.555,.904,2.572,.079,4
2,0,29518,Brendan Steele,2.886,1.410,1.418,.058,4
3,47,27644,Brian Harman,2.580,.937,.993,.649,4
4,0,51634,Sahith Theegala,2.550,.709,1.179,.662,4
5,0,27936,Martin Laird,2.427,.235,.986,1.206,4
6,32,36871,Matthew NeSmith,2.383,.401,1.693,.289,4
7,0,49771,J.T. Poston,2.270,.087,2.049,.134,4
8,18,48081,Xander Schauffele,2.112,.750,1.424,-.062,4
9,-6,46046,Scottie Scheffler,2.095,1.082,.439,.574,4
10,0,29725,Tony Finau,2.013,.356,1.394,.262,4
11,-9,34255,Joseph Bramlett,1.846,.186,.678,.982,4
12,0,30692,Scott Stallings,1.729,.136,1.804,-.212,4
13,15,28252,Seamus Power,1.421,.323,.873,.226,4
14,-9,33141,Keegan Bradley,1.420,-.129,1.277,.272,4
15,0,29221,Webb Simpson,1.413,.839,.756,-.182,4
16,9,47995,Davis Riley,1.342,1.481,.049,-.188,4
17,0,37275,Sam Ryder,1.293,.063,1.420,-.190,4
18,0,34563,Chesson Hadley,1.259,-.480,.626,1.113,4
19,0,27214,Kevin Streelman,1.223,.254,.275,.693,4
20,0,34174,John Huh,1.208,.412,.476,.320,4
21,0,34431,Robert Streb,1.162,.340,.746,.075,4
22,30,47988,Nick Hardy,1.133,.625,.128,.380,4
23,0,26476,Chez Reavie,1.108,.646,.282,.180,4
24,8,35450,Patrick Cantlay,1.084,.340,.413,.330,4
25,8,28237,Rory McIlroy,1.044,.363,1.082,-.401,4
26,0,46414,Aaron Rai,1.025,.053,.765,.207,4
27,0,21961,Charles Howell III,1.002,1.229,-.951,.724,4
28,26,34256,Andrew Putnam,.933,-.044,.454,.523,4
29,0,28775,Nate Lashley,.930,.230,.592,.107,4
30,0,39546,Keith Mitchell,.916,.670,-.157,.402,4
31,0,51997,Andrew Novak,.879,1.161,-.186,-.095,4
32,0,24924,Bill Haas,.855,-.474,1.159,.169,4
33,0,39328,Conrad Shindler,.821,.265,.764,-.209,4
34,0,37189,Harold Varner III,.798,-.323,1.039,.082,4
35,0,40115,Adam Svensson,.780,.403,1.109,-.732,4
36,0,31202,William McGirt,.729,-.457,.579,.607,4
37,0,51766,Wyndham Clark,.718,.777,-.576,.517,4
38,0,45609,Tyler Duncan,.715,.358,.428,-.072,4
39,0,57364,Michael Thorbjornsen,.698,1.139,-.210,-.231,4
40,0,49766,Hank Lebioda,.677,-.185,.792,.070,4
41,0,20229,Stewart Cink,.525,.030,.434,.060,4
42,0,29478,Kevin Kisner,.430,-.215,.036,.609,4
43,0,39327,Ben Silverman,.381,.174,-.049,.255,4
44,0,33461,Morgan Hoffmann,.374,-.320,.321,.373,4
45,-37,59095,Chris Gotterup,.347,.599,.391,-.644,4
46,0,23983,Luke Donald,.317,-.977,.530,.764,4
47,0,19803,Ryan Armour,.297,.944,-.239,-.408,4
48,0,54628,Lee Hodges,.265,.478,.358,-.572,4
49,-14,35506,Mackenzie Hughes,.196,-.274,-.303,.773,4
50,0,45157,Cam Davis,.157,.899,-.152,-.590,4
51,0,34610,Matthias Schwab,.027,-.787,.420,.394,4
52,0,56278,Matthew Wolff,-.045,-.477,-.852,1.285,4
53,-2,34099,Harris English,-.068,-.529,-.173,.635,4
54,0,30911,Tommy Fleetwood,-.075,-.955,.535,.344,4
55,0,37212,Paul Barjon,-.087,1.165,-.979,-.273,4
56,-46,55708,Hayden Buckley,-.102,.719,.077,-.898,4
57,-43,32791,K.H. Lee,-.160,-.031,-.611,.483,4
58,0,48887,Matt Wallace,-.250,-.457,.590,-.383,4
59,0,46435,Austin Cook,-.283,-.084,-.151,-.048,4
60,0,34466,Peter Malnati,-.297,-.007,-.423,.134,4
61,0,35879,Kelly Kraft,-.404,.794,-1.399,.201,4
61,0,32333,Kevin Tway,-.404,-.639,-1.067,1.303,4
63,0,36801,Mark Hubbard,-.462,-1.193,.632,.099,4
64,0,49947,Taylor Moore,-.629,.470,-.932,-.167,4
65,0,32662,Michael Gligic,-.631,-.193,-.171,-.267,4
66,0,32757,Patton Kizzire,-.664,-.523,.031,-.171,4
67,-63,34076,Joel Dahmen,-.739,-.112,-.437,-.190,4
68,0,35449,Adam Long,-.931,.223,-.649,-.505,4
69,0,25900,Lucas Glover,-.965,-.342,.633,-1.256,4
70,0,33597,Harry Higgs,-1.233,-.806,-.397,-.030,4
71,0,27895,Jonas Blixt,-2.325,.586,-2.553,-.358,4
