PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
27129,Luke List,2022 Travelers Championship,-1.95775,0.904,2.572,0.079
29518,Brendan Steele,2022 Travelers Championship,-1.539,1.41,1.418,0.058
27644,Brian Harman,2022 Travelers Championship,-0.4825,0.937,0.993,0.649
51634,Sahith Theegala,2022 Travelers Championship,1.04725,0.709,1.179,0.662
27936,Martin Laird,2022 Travelers Championship,-0.57975,0.235,0.986,1.206
36871,Matthew NeSmith,2022 Travelers Championship,-0.786,0.401,1.693,0.289
49771,J.T. Poston,2022 Travelers Championship,1.32675,0.087,2.049,0.134
48081,Xander Schauffele,2022 Travelers Championship,1.985,0.75,1.424,-0.062
46046,Scottie Scheffler,2022 Travelers Championship,-0.24825,1.082,0.439,0.574
29725,Tony Finau,2022 Travelers Championship,-0.16575,0.356,1.394,0.262
34255,Joseph Bramlett,2022 Travelers Championship,-1.9985,0.186,0.678,0.982
30692,Scott Stallings,2022 Travelers Championship,0.3685,0.136,1.804,-0.212
28252,Seamus Power,2022 Travelers Championship,-0.07425,0.323,0.873,0.226
33141,Keegan Bradley,2022 Travelers Championship,0.177,-0.129,1.277,0.272
29221,Webb Simpson,2022 Travelers Championship,0.43375,0.839,0.756,-0.182
47995,Davis Riley,2022 Travelers Championship,-1.99475,1.481,0.049,-0.188
37275,Sam Ryder,2022 Travelers Championship,-0.19625,0.063,1.42,-0.19
34563,Chesson Hadley,2022 Travelers Championship,1.58775,-0.48,0.626,1.113
27214,Kevin Streelman,2022 Travelers Championship,0.12425,0.254,0.275,0.693
34174,John Huh,2022 Travelers Championship,0.6395,0.412,0.476,0.32
34431,Robert Streb,2022 Travelers Championship,-0.0645,0.34,0.746,0.075
47988,Nick Hardy,2022 Travelers Championship,0.964,0.625,0.128,0.38
26476,Chez Reavie,2022 Travelers Championship,0.98925,0.646,0.282,0.18
35450,Patrick Cantlay,2022 Travelers Championship,0.7635,0.34,0.413,0.33
28237,Rory McIlroy,2022 Travelers Championship,0.55325,0.363,1.082,-0.401
46414,Aaron Rai,2022 Travelers Championship,-0.178,0.053,0.765,0.207
21961,Charles Howell III,2022 Travelers Championship,0.095,1.229,-0.951,0.724
34256,Andrew Putnam,2022 Travelers Championship,-0.58575,-0.044,0.454,0.523
28775,Nate Lashley,2022 Travelers Championship,0.4175,0.23,0.592,0.107
39546,Keith Mitchell,2022 Travelers Championship,1.4315,0.67,-0.157,0.402
51997,Andrew Novak,2022 Travelers Championship,-0.53225,1.161,-0.186,-0.095
24924,Bill Haas,2022 Travelers Championship,0.492,-0.474,1.159,0.169
39328,Conrad Shindler,2022 Travelers Championship,-0.224,0.265,0.764,-0.209
37189,Harold Varner III,2022 Travelers Championship,-0.2005,-0.323,1.039,0.082
40115,Adam Svensson,2022 Travelers Championship,0.567,0.403,1.109,-0.732
31202,William McGirt,2022 Travelers Championship,1.36775,-0.457,0.579,0.607
51766,Wyndham Clark,2022 Travelers Championship,0.37875,0.777,-0.576,0.517
45609,Tyler Duncan,2022 Travelers Championship,-0.3675,0.358,0.428,-0.072
57364,Michael Thorbjornsen,2022 Travelers Championship,2.39875,1.139,-0.21,-0.231
49766,Hank Lebioda,2022 Travelers Championship,-0.83025,-0.185,0.792,0.07
20229,Stewart Cink,2022 Travelers Championship,-0.4275,0.03,0.434,0.06
29478,Kevin Kisner,2022 Travelers Championship,1.917,-0.215,0.036,0.609
39327,Ben Silverman,2022 Travelers Championship,-0.03375,0.174,-0.049,0.255
33461,Morgan Hoffmann,2022 Travelers Championship,-1.527,-0.32,0.321,0.373
59095,Chris Gotterup,2022 Travelers Championship,0.75025,0.599,0.391,-0.644
23983,Luke Donald,2022 Travelers Championship,-0.47,-0.977,0.53,0.764
19803,Ryan Armour,2022 Travelers Championship,1.05025,0.944,-0.239,-0.408
54628,Lee Hodges,2022 Travelers Championship,1.0825,0.478,0.358,-0.572
35506,Mackenzie Hughes,2022 Travelers Championship,1.1515,-0.274,-0.303,0.773
45157,Cam Davis,2022 Travelers Championship,-0.31025,0.899,-0.152,-0.59
34610,Matthias Schwab,2022 Travelers Championship,0.07,-0.787,0.42,0.394
56278,Matthew Wolff,2022 Travelers Championship,0.89175,-0.477,-0.852,1.285
34099,Harris English,2022 Travelers Championship,1.6645,-0.529,-0.173,0.635
30911,Tommy Fleetwood,2022 Travelers Championship,0.42225,-0.955,0.535,0.344
37212,Paul Barjon,2022 Travelers Championship,0.1835,1.165,-0.979,-0.273
55708,Hayden Buckley,2022 Travelers Championship,0.69925,0.719,0.077,-0.898
32791,K.H. Lee,2022 Travelers Championship,1.7565,-0.031,-0.611,0.483
48887,Matt Wallace,2022 Travelers Championship,0.59675,-0.457,0.59,-0.383
46435,Austin Cook,2022 Travelers Championship,-0.12025,-0.084,-0.151,-0.048
34466,Peter Malnati,2022 Travelers Championship,-0.3565,-0.007,-0.423,0.134
35879,Kelly Kraft,2022 Travelers Championship,0.25125,0.794,-1.399,0.201
32333,Kevin Tway,2022 Travelers Championship,-0.4995,-0.639,-1.067,1.303
36801,Mark Hubbard,2022 Travelers Championship,0.80925,-1.193,0.632,0.099
49947,Taylor Moore,2022 Travelers Championship,0.47625,0.47,-0.932,-0.167
32662,Michael Gligic,2022 Travelers Championship,1.47775,-0.193,-0.171,-0.267
32757,Patton Kizzire,2022 Travelers Championship,0.0105,-0.523,0.031,-0.171
34076,Joel Dahmen,2022 Travelers Championship,-0.914,-0.112,-0.437,-0.19
35449,Adam Long,2022 Travelers Championship,2.27775,0.223,-0.649,-0.505
25900,Lucas Glover,2022 Travelers Championship,-0.93825,-0.342,0.633,-1.256
33597,Harry Higgs,2022 Travelers Championship,-0.67,-0.806,-0.397,-0.03
27895,Jonas Blixt,2022 Travelers Championship,2.1715,0.586,-2.553,-0.358
