RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,6,28237,Rory McIlroy,2.360,9.442,4
2,42,47988,Nick Hardy,2.212,8.850,4
3,0,47483,Will Zalatoris,1.731,6.925,4
4,0,33419,Cameron Tringale,1.669,6.675,4
5,0,39834,Guido Migliozzi,1.540,6.159,4
6,0,47993,Denny McCarthy,1.488,5.953,4
7,0,63123,Travis Vick,1.478,5.914,4
8,0,28252,Seamus Power,1.358,5.433,4
9,0,35450,Patrick Cantlay,1.327,5.309,4
10,0,34256,Andrew Putnam,1.317,5.268,4
11,0,46405,Sebastian Soderberg,1.208,4.833,4
12,6,47504,Sam Burns,1.178,4.711,4
13,0,34409,David Lingmerth,1.175,4.701,4
14,0,33293,Thomas Pieters,1.172,4.687,4
15,0,50525,Collin Morikawa,1.163,4.651,4
16,42,33399,Adam Hadwin,1.148,4.594,4
17,0,48081,Xander Schauffele,.975,3.900,4
18,23,35506,Mackenzie Hughes,.945,3.779,4
19,0,55182,Tom Kim,.932,3.730,4
20,30,46046,Scottie Scheffler,.820,3.282,4
21,0,32839,Hideki Matsuyama,.812,3.250,4
22,13,48822,Sebastián Muñoz,.790,3.159,4
23,0,39067,MJ Daffue,.732,2.929,4
24,0,35986,Todd Sinnott,.728,2.913,4
25,0,46970,Jon Rahm,.703,2.813,4
26,-22,36699,Patrick Rodgers,.607,2.429,4
27,0,47347,Adam Schenk,.579,2.318,4
28,0,26851,Marc Leishman,.569,2.277,4
29,0,27644,Brian Harman,.512,2.050,4
30,0,37378,Min Woo Lee,.405,1.619,4
31,0,24502,Adam Scott,.402,1.610,4
32,0,39537,Chris Naegel,.392,1.567,4
33,0,36871,Matthew NeSmith,.343,1.372,4
34,0,36689,Brooks Koepka,.188,.752,4
35,-32,22405,Justin Rose,.136,.544,4
36,0,45836,Richard Bland,.120,.481,4
37,0,55708,Hayden Buckley,.065,.261,4
38,0,33141,Keegan Bradley,.048,.191,4
39,0,49964,Aaron Wise,.025,.099,4
40,0,47995,Davis Riley,-.060,-.241,4
41,0,34046,Jordan Spieth,-.105,-.420,4
42,0,47959,Bryson DeChambeau,-.176,-.705,4
43,-31,40098,Matt Fitzpatrick,-.179,-.717,4
44,0,31323,Gary Woodland,-.182,-.729,4
45,0,55893,Sam Stevens,-.186,-.743,4
46,0,34076,Joel Dahmen,-.244,-.974,4
47,0,35461,Beau Hossler,-.278,-1.113,4
48,0,30925,Dustin Johnson,-.284,-1.135,4
49,0,61143,Austin Greaser,-.318,-1.271,4
50,0,59652,Sam Bennett,-.365,-1.459,4
51,0,51491,Brandon Matthews,-.397,-1.586,4
52,0,34360,Patrick Reed,-.399,-1.595,4
53,0,48699,Callum Tarren,-.416,-1.663,4
54,0,34363,Tyrrell Hatton,-.435,-1.740,4
55,0,34213,Grayson Murray,-.560,-2.241,4
56,-34,33448,Justin Thomas,-.733,-2.932,4
57,0,51586,Stewart Hagestad,-.800,-3.201,4
58,0,32791,K.H. Lee,-.859,-3.436,4
59,0,45486,Joaquin Niemann,-.885,-3.541,4
60,0,27909,Wil Besseling,-1.216,-4.864,4
61,0,59095,Chris Gotterup,-1.573,-6.292,4
62,0,39977,Max Homa,-1.641,-6.564,4
63,0,34099,Harris English,-1.652,-6.606,4
64,0,34255,Joseph Bramlett,-2.614,-10.455,4
