RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS
1,0,39067,MJ Daffue,27.00,108,4,24
2,38,48822,Sebastián Muñoz,27.75,111,4,27
2,44,46046,Scottie Scheffler,27.75,111,4,24
4,0,35450,Patrick Cantlay,28.00,112,4,27
5,50,33399,Adam Hadwin,28.25,113,4,26
5,17,35506,Mackenzie Hughes,28.25,113,4,26
5,0,36689,Brooks Koepka,28.25,113,4,24
5,0,48081,Xander Schauffele,28.25,113,4,27
5,0,47347,Adam Schenk,28.25,113,4,25
5,0,24502,Adam Scott,28.25,113,4,26
5,0,46405,Sebastian Soderberg,28.25,113,4,26
5,0,47483,Will Zalatoris,28.25,113,4,27
13,0,50525,Collin Morikawa,28.50,114,4,27
13,0,34256,Andrew Putnam,28.50,114,4,26
15,0,55182,Tom Kim,28.75,115,4,25
15,0,39537,Chris Naegel,28.75,115,4,26
15,0,49964,Aaron Wise,28.75,115,4,25
18,33,47504,Sam Burns,29.00,116,4,28
18,0,34409,David Lingmerth,29.00,116,4,25
18,-17,28237,Rory McIlroy,29.00,116,4,27
18,0,39834,Guido Migliozzi,29.00,116,4,28
22,24,47988,Nick Hardy,29.25,117,4,28
22,0,30925,Dustin Johnson,29.25,117,4,24
22,0,37378,Min Woo Lee,29.25,117,4,27
22,0,26851,Marc Leishman,29.25,117,4,27
22,0,32839,Hideki Matsuyama,29.25,117,4,25
22,0,33293,Thomas Pieters,29.25,117,4,27
22,0,47995,Davis Riley,29.25,117,4,28
22,0,33419,Cameron Tringale,29.25,117,4,27
22,0,63123,Travis Vick,29.25,117,4,27
22,0,31323,Gary Woodland,29.25,117,4,25
32,0,33141,Keegan Bradley,29.50,118,4,28
32,0,59095,Chris Gotterup,29.50,118,4,28
32,0,61143,Austin Greaser,29.50,118,4,27
32,0,27644,Brian Harman,29.50,118,4,28
32,0,51491,Brandon Matthews,29.50,118,4,27
32,0,34213,Grayson Murray,29.50,118,4,25
32,0,35986,Todd Sinnott,29.50,118,4,27
32,0,34046,Jordan Spieth,29.50,118,4,27
40,0,34360,Patrick Reed,29.75,119,4,28
40,-30,36699,Patrick Rodgers,29.75,119,4,28
40,0,48699,Callum Tarren,29.75,119,4,26
43,0,34363,Tyrrell Hatton,30.00,120,4,29
43,0,47993,Denny McCarthy,30.00,120,4,28
43,0,28252,Seamus Power,30.00,120,4,28
43,-38,22405,Justin Rose,30.00,120,4,26
47,0,45836,Richard Bland,30.25,121,4,28
47,0,55708,Hayden Buckley,30.25,121,4,28
47,0,46970,Jon Rahm,30.25,121,4,27
50,0,59652,Sam Bennett,30.50,122,4,28
50,0,34099,Harris English,30.50,122,4,29
50,-28,40098,Matt Fitzpatrick,30.50,122,4,25
53,0,47959,Bryson DeChambeau,30.75,123,4,30
53,0,35461,Beau Hossler,30.75,123,4,26
53,0,36871,Matthew NeSmith,30.75,123,4,28
53,0,45486,Joaquin Niemann,30.75,123,4,26
53,0,55893,Sam Stevens,30.75,123,4,29
58,-26,33448,Justin Thomas,31.00,124,4,29
59,0,34076,Joel Dahmen,31.25,125,4,29
59,0,51586,Stewart Hagestad,31.25,125,4,29
59,0,39977,Max Homa,31.25,125,4,28
59,0,32791,K.H. Lee,31.25,125,4,29
63,0,27909,Wil Besseling,31.75,127,4,30
63,0,34255,Joseph Bramlett,31.75,127,4,29
