RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,0,39067,MJ Daffue,26.00,26,1
1,0,35461,Beau Hossler,26.00,26,1
1,0,39537,Chris Naegel,26.00,26,1
1,0,46405,Sebastian Soderberg,26.00,26,1
5,0,35450,Patrick Cantlay,27.00,27,1
5,0,37378,Min Woo Lee,27.00,27,1
5,0,33293,Thomas Pieters,27.00,27,1
5,0,34256,Andrew Putnam,27.00,27,1
5,0,46970,Jon Rahm,27.00,27,1
10,0,33141,Keegan Bradley,28.00,28,1
10,30,47988,Nick Hardy,28.00,28,1
10,0,27644,Brian Harman,28.00,28,1
10,24,35506,Mackenzie Hughes,28.00,28,1
10,0,36689,Brooks Koepka,28.00,28,1
10,0,39834,Guido Migliozzi,28.00,28,1
10,30,48822,Sebastián Muñoz,28.00,28,1
10,0,47995,Davis Riley,28.00,28,1
10,0,49964,Aaron Wise,28.00,28,1
19,37,47504,Sam Burns,29.00,29,1
19,0,34076,Joel Dahmen,29.00,29,1
19,0,34099,Harris English,29.00,29,1
19,0,32791,K.H. Lee,29.00,29,1
19,0,32839,Hideki Matsuyama,29.00,29,1
19,0,51491,Brandon Matthews,29.00,29,1
19,0,50525,Collin Morikawa,29.00,29,1
19,0,34213,Grayson Murray,29.00,29,1
19,0,34360,Patrick Reed,29.00,29,1
19,0,48081,Xander Schauffele,29.00,29,1
19,0,47347,Adam Schenk,29.00,29,1
19,0,34046,Jordan Spieth,29.00,29,1
19,0,47483,Will Zalatoris,29.00,29,1
32,0,59652,Sam Bennett,30.00,30,1
32,0,34363,Tyrrell Hatton,30.00,30,1
32,0,47993,Denny McCarthy,30.00,30,1
32,0,28252,Seamus Power,30.00,30,1
32,24,46046,Scottie Scheffler,30.00,30,1
32,0,33419,Cameron Tringale,30.00,30,1
32,0,63123,Travis Vick,30.00,30,1
39,0,55708,Hayden Buckley,31.00,31,1
39,0,59095,Chris Gotterup,31.00,31,1
39,0,61143,Austin Greaser,31.00,31,1
39,0,51586,Stewart Hagestad,31.00,31,1
39,0,55182,Tom Kim,31.00,31,1
39,0,26851,Marc Leishman,31.00,31,1
39,-14,28237,Rory McIlroy,31.00,31,1
39,0,24502,Adam Scott,31.00,31,1
39,0,55893,Sam Stevens,31.00,31,1
48,0,27909,Wil Besseling,32.00,32,1
48,0,34255,Joseph Bramlett,32.00,32,1
48,0,47959,Bryson DeChambeau,32.00,32,1
48,0,39977,Max Homa,32.00,32,1
48,0,36871,Matthew NeSmith,32.00,32,1
48,-38,36699,Patrick Rodgers,32.00,32,1
48,0,35986,Todd Sinnott,32.00,32,1
48,-8,33448,Justin Thomas,32.00,32,1
48,0,31323,Gary Woodland,32.00,32,1
57,0,45836,Richard Bland,33.00,33,1
57,6,40098,Matt Fitzpatrick,33.00,33,1
57,-23,33399,Adam Hadwin,33.00,33,1
57,0,34409,David Lingmerth,33.00,33,1
57,0,48699,Callum Tarren,33.00,33,1
62,-28,22405,Justin Rose,34.00,34,1
63,0,30925,Dustin Johnson,35.00,35,1
63,0,45486,Joaquin Niemann,35.00,35,1
