RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,25,40098,Matt Fitzpatrick,4.276,.717,1.587,1.972,4
2,0,34255,Joseph Bramlett,3.461,.661,1.696,1.103,4
3,9,46046,Scottie Scheffler,3.027,.302,2.664,.061,4
4,0,34076,Joel Dahmen,2.841,.044,1.735,1.061,4
5,0,33141,Keegan Bradley,2.799,.256,2.638,-.094,4
6,0,31323,Gary Woodland,2.779,.576,1.093,1.111,4
7,0,32839,Hideki Matsuyama,2.535,-.183,2.332,.386,4
8,0,59095,Chris Gotterup,2.170,.636,.874,.660,4
9,0,47483,Will Zalatoris,2.116,-.182,1.632,.665,4
10,0,55708,Hayden Buckley,2.032,.147,1.286,.599,4
11,0,39977,Max Homa,1.988,.250,1.184,.554,4
12,0,50525,Collin Morikawa,1.934,-.327,1.601,.661,4
13,0,30925,Dustin Johnson,1.881,.533,1.259,.089,4
14,0,32791,K.H. Lee,1.706,.084,.564,1.058,4
15,7,33399,Adam Hadwin,1.699,-.160,.568,1.290,4
16,0,24502,Adam Scott,1.695,-.058,.275,1.477,4
17,0,46970,Jon Rahm,1.644,.256,.869,.519,4
18,-16,33448,Justin Thomas,1.580,.395,1.537,-.352,4
19,0,26851,Marc Leishman,1.528,-.219,.711,1.036,4
20,0,48699,Callum Tarren,1.513,.173,1.049,.292,4
21,0,47993,Denny McCarthy,1.359,-.316,1.224,.452,4
22,0,49964,Aaron Wise,1.322,.178,.202,.943,4
23,5,48822,Sebastián Muñoz,1.307,.210,1.081,.016,4
24,0,45486,Joaquin Niemann,1.232,.272,.754,.206,4
25,0,47995,Davis Riley,1.157,-.371,1.627,-.099,4
26,0,48081,Xander Schauffele,1.122,-.147,.781,.488,4
27,0,47347,Adam Schenk,1.018,.291,.155,.572,4
28,0,28252,Seamus Power,.989,-.004,1.017,-.024,4
29,0,34046,Jordan Spieth,.952,.271,.413,.267,4
30,0,37378,Min Woo Lee,.942,.702,.069,.171,4
31,0,55182,Tom Kim,.915,-.499,.102,1.312,4
32,0,35450,Patrick Cantlay,.770,.632,-.135,.273,4
33,-32,28237,Rory McIlroy,.737,.564,.874,-.701,4
34,-14,22405,Justin Rose,.711,-.325,.343,.693,4
35,-5,35506,Mackenzie Hughes,.652,.105,.117,.431,4
36,0,27909,Wil Besseling,.563,.863,.234,-.533,4
37,0,39834,Guido Migliozzi,.557,-.136,.553,.141,4
38,0,36871,Matthew NeSmith,.504,-.090,.203,.391,4
39,0,34360,Patrick Reed,.496,-.198,-.153,.847,4
40,6,36699,Patrick Rodgers,.490,.322,.176,-.009,4
41,0,45836,Richard Bland,.477,-.584,.616,.445,4
42,0,59652,Sam Bennett,.462,.166,.616,-.320,4
43,0,33419,Cameron Tringale,.428,.013,.402,.013,4
44,0,35986,Todd Sinnott,.369,-.767,.968,.168,4
45,0,39067,MJ Daffue,.365,.687,-.159,-.164,4
46,0,55893,Sam Stevens,.283,.197,.544,-.458,4
47,0,33293,Thomas Pieters,.175,.542,.053,-.419,4
48,-43,47504,Sam Burns,.169,-.477,-.296,.942,4
49,0,35461,Beau Hossler,.125,.105,-1.181,1.202,4
50,0,27644,Brian Harman,.085,-.128,.713,-.500,4
51,0,34099,Harris English,-.002,-.500,-.207,.706,4
52,-20,47988,Nick Hardy,-.116,-.170,-.044,.098,4
53,0,34363,Tyrrell Hatton,-.218,.320,-.758,.220,4
54,0,34256,Andrew Putnam,-.220,-.829,.114,.495,4
55,0,47959,Bryson DeChambeau,-.477,.515,-.161,-.831,4
56,0,36689,Brooks Koepka,-.591,.767,-.060,-1.298,4
57,0,63123,Travis Vick,-.882,.255,-.091,-1.045,4
58,0,51491,Brandon Matthews,-1.007,.568,-1.618,.044,4
59,0,39537,Chris Naegel,-1.045,.098,-1.370,.227,4
60,0,34409,David Lingmerth,-1.078,-.604,-1.078,.604,4
61,0,61143,Austin Greaser,-1.335,-.009,-1.198,-.128,4
62,0,34213,Grayson Murray,-1.343,.669,.005,-2.017,4
63,0,51586,Stewart Hagestad,-1.353,-.087,.030,-1.296,4
64,0,46405,Sebastian Soderberg,-1.361,-.228,-1.283,.150,4
