RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,34046,Jordan Spieth,2.733,.606,1.544,.582,4
2,0,27649,Brandt Snedeker,2.732,.396,1.439,.897,4
3,0,21961,Charles Howell III,2.645,1.442,.804,.398,4
4,0,33399,Adam Hadwin,2.483,.708,1.087,.688,4
5,0,39324,J.J. Spaun,2.190,.653,.708,.829,4
6,0,28775,Nate Lashley,2.075,-.059,1.525,.609,4
7,0,30163,Henrik Norlander,2.003,.825,1.406,-.229,4
8,0,33141,Keegan Bradley,1.999,-.480,1.027,1.451,4
9,0,27064,Jhonattan Vegas,1.884,.954,.087,.842,4
10,0,26300,Matt Jones,1.850,.497,.865,.488,4
11,0,30926,Chris Kirk,1.664,.213,.408,1.043,4
12,0,31323,Gary Woodland,1.489,.148,1.529,-.188,4
13,0,34610,Matthias Schwab,1.467,-.502,.621,1.349,4
14,0,46442,Maverick McNealy,1.417,.970,1.136,-.689,4
15,0,25900,Lucas Glover,1.361,.687,-.330,1.003,4
16,0,37455,Si Woo Kim,1.316,.515,.138,.662,4
17,0,27214,Kevin Streelman,1.265,.500,-.380,1.144,4
18,0,35310,Lanto Griffin,1.247,.082,1.305,-.141,4
19,0,27936,Martin Laird,1.132,.930,.196,.005,4
20,0,21528,Henrik Stenson,1.130,.279,.252,.598,4
21,0,31420,Anirban Lahiri,1.088,.631,.858,-.401,4
22,0,35449,Adam Long,1.075,.620,.530,-.076,4
23,0,39997,Corey Conners,1.064,1.015,.554,-.505,4
24,0,23320,Ryan Palmer,1.058,.037,.782,.239,4
25,0,29908,C.T. Pan,1.025,.537,.528,-.040,4
26,0,47529,Mito Pereira,.980,.516,-.120,.584,4
27,0,29970,Dylan Frittelli,.964,.051,.770,.142,4
28,0,27129,Luke List,.953,.441,-.226,.737,4
29,0,47995,Davis Riley,.933,.343,.283,.306,4
30,0,47993,Denny McCarthy,.842,.293,.819,-.271,4
31,0,30927,Brendon Todd,.839,.065,.503,.270,4
32,0,24024,Zach Johnson,.834,-.136,1.161,-.191,4
33,0,32366,Kevin Chappell,.793,.547,.319,-.073,4
34,0,47983,Chad Ramey,.758,-.741,1.177,.322,4
35,0,30692,Scott Stallings,.715,-.107,-.231,1.053,4
36,0,34256,Andrew Putnam,.676,.025,.500,.150,4
37,0,29725,Tony Finau,.672,.520,.985,-.833,4
38,0,33122,Russell Knox,.669,-.174,.336,.507,4
39,0,45836,Richard Bland,.618,.439,.152,.026,4
40,0,24980,Scott Gutschewski,.587,-.410,.966,.031,4
41,0,34174,John Huh,.582,.380,.876,-.673,4
42,0,23108,Matt Kuchar,.580,-.139,.433,.287,4
43,0,46414,Aaron Rai,.548,-.068,.263,.353,4
44,0,34264,Hudson Swafford,.522,.338,1.710,-1.527,4
45,0,31202,William McGirt,.515,-.241,-.186,.941,4
46,0,45540,Jared Wolfe,.485,-.050,.467,.067,4
47,0,35461,Beau Hossler,.462,.320,-.423,.565,4
48,0,52215,Robert MacIntyre,.453,.445,-.130,.137,4
49,0,29518,Brendan Steele,.433,.768,-.863,.529,4
50,0,51894,Vince Whaley,.257,.204,-.132,.184,4
51,0,27139,David Skinns,.253,-.459,-.356,1.067,4
52,0,33486,Roger Sloan,.250,-.372,.251,.371,4
53,0,36699,Patrick Rodgers,.122,-.504,.515,.110,4
54,0,51890,Greyson Sigg,.051,.175,-.237,.112,4
55,0,22371,Aaron Baddeley,-.013,-.492,-.632,1.111,4
56,0,49771,J.T. Poston,-.112,.017,.364,-.494,4
57,0,23983,Luke Donald,-.193,-.714,.822,-.301,4
58,0,32448,James Hahn,-.221,.041,-.253,-.008,4
59,0,50095,Austin Smotherman,-.229,.355,.249,-.833,4
60,0,34466,Peter Malnati,-.256,.001,-.845,.589,4
61,0,32640,Troy Merritt,-.281,-.380,.278,-.179,4
62,0,52686,Rasmus Hojgaard,-.491,-.127,-.271,-.093,4
63,0,29289,S.Y. Noh,-.531,-.659,-1.052,1.180,4
64,0,47128,Richy Werenski,-.620,-.246,.036,-.409,4
65,0,33413,Ben Martin,-.750,.542,-.410,-.882,4
66,0,51634,Sahith Theegala,-.850,-.442,-.662,.254,4
67,0,29484,Peter Uihlein,-.873,-.738,-.032,-.103,4
68,0,31557,Jim Herman,-.932,-.574,-.385,.027,4
69,0,24924,Bill Haas,-1.068,-.611,-.104,-.354,4
70,0,34563,Chesson Hadley,-1.144,-.409,-.223,-.512,4
71,0,51766,Wyndham Clark,-1.522,-1.000,-.431,-.092,4
72,0,53165,Doc Redman,-2.277,-1.137,-.155,-.985,4
