PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
34046,Jordan Spieth,2022 Valero Texas Open,-1.7975,0.606,1.544,0.582
27649,Brandt Snedeker,2022 Valero Texas Open,-1.29575,0.396,1.439,0.897
21961,Charles Howell III,2022 Valero Texas Open,-0.45875,1.442,0.804,0.398
33399,Adam Hadwin,2022 Valero Texas Open,-0.29725,0.708,1.087,0.688
39324,J.J. Spaun,2022 Valero Texas Open,0.7455,0.653,0.708,0.829
28775,Nate Lashley,2022 Valero Texas Open,-0.63925,-0.059,1.525,0.609
30163,Henrik Norlander,2022 Valero Texas Open,-1.81725,0.825,1.406,-0.229
33141,Keegan Bradley,2022 Valero Texas Open,-0.06275,-0.48,1.027,1.451
27064,Jhonattan Vegas,2022 Valero Texas Open,-0.448,0.954,0.087,0.842
26300,Matt Jones,2022 Valero Texas Open,0.586,0.497,0.865,0.488
30926,Chris Kirk,2022 Valero Texas Open,-0.728,0.213,0.408,1.043
31323,Gary Woodland,2022 Valero Texas Open,0.4465,0.148,1.529,-0.188
34610,Matthias Schwab,2022 Valero Texas Open,0.4685,-0.502,0.621,1.349
46442,Maverick McNealy,2022 Valero Texas Open,-0.4815,0.97,1.136,-0.689
25900,Lucas Glover,2022 Valero Texas Open,0.07525,0.687,-0.33,1.003
37455,Si Woo Kim,2022 Valero Texas Open,0.36975,0.515,0.138,0.662
27214,Kevin Streelman,2022 Valero Texas Open,0.17125,0.5,-0.38,1.144
35310,Lanto Griffin,2022 Valero Texas Open,-1.061,0.082,1.305,-0.141
27936,Martin Laird,2022 Valero Texas Open,0.0535,0.93,0.196,0.005
21528,Henrik Stenson,2022 Valero Texas Open,0.30625,0.279,0.252,0.598
31420,Anirban Lahiri,2022 Valero Texas Open,0.5975,0.631,0.858,-0.401
35449,Adam Long,2022 Valero Texas Open,-0.13875,0.62,0.53,-0.076
39997,Corey Conners,2022 Valero Texas Open,-0.12775,1.015,0.554,-0.505
23320,Ryan Palmer,2022 Valero Texas Open,-0.622,0.037,0.782,0.239
29908,C.T. Pan,2022 Valero Texas Open,-0.3395,0.537,0.528,-0.04
47529,Mito Pereira,2022 Valero Texas Open,0.70575,0.516,-0.12,0.584
29970,Dylan Frittelli,2022 Valero Texas Open,0.97175,0.051,0.77,0.142
27129,Luke List,2022 Valero Texas Open,-0.767,0.441,-0.226,0.737
47995,Davis Riley,2022 Valero Texas Open,-1.497,0.343,0.283,0.306
47993,Denny McCarthy,2022 Valero Texas Open,0.59425,0.293,0.819,-0.271
30927,Brendon Todd,2022 Valero Texas Open,1.09725,0.065,0.503,0.27
24024,Zach Johnson,2022 Valero Texas Open,0.85175,-0.136,1.161,-0.191
32366,Kevin Chappell,2022 Valero Texas Open,0.64325,0.547,0.319,-0.073
47983,Chad Ramey,2022 Valero Texas Open,-0.0725,-0.741,1.177,0.322
30692,Scott Stallings,2022 Valero Texas Open,0.9705,-0.107,-0.231,1.053
34256,Andrew Putnam,2022 Valero Texas Open,0.01,0.025,0.5,0.15
29725,Tony Finau,2022 Valero Texas Open,0.51425,0.52,0.985,-0.833
33122,Russell Knox,2022 Valero Texas Open,-0.98275,-0.174,0.336,0.507
45836,Richard Bland,2022 Valero Texas Open,0.5675,0.439,0.152,0.026
24980,Scott Gutschewski,2022 Valero Texas Open,0.84875,-0.41,0.966,0.031
34174,John Huh,2022 Valero Texas Open,0.1035,0.38,0.876,-0.673
23108,Matt Kuchar,2022 Valero Texas Open,1.8555,-0.139,0.433,0.287
46414,Aaron Rai,2022 Valero Texas Open,0.63775,-0.068,0.263,0.353
34264,Hudson Swafford,2022 Valero Texas Open,-0.586,0.338,1.71,-1.527
31202,William McGirt,2022 Valero Texas Open,-0.079,-0.241,-0.186,0.941
45540,Jared Wolfe,2022 Valero Texas Open,0.70125,-0.05,0.467,0.067
35461,Beau Hossler,2022 Valero Texas Open,1.7235,0.32,-0.423,0.565
52215,Robert MacIntyre,2022 Valero Texas Open,0.48325,0.445,-0.13,0.137
29518,Brendan Steele,2022 Valero Texas Open,0.00275,0.768,-0.863,0.529
51894,Vince Whaley,2022 Valero Texas Open,0.92875,0.204,-0.132,0.184
27139,David Skinns,2022 Valero Texas Open,0.18325,-0.459,-0.356,1.067
33486,Roger Sloan,2022 Valero Texas Open,-0.064,-0.372,0.251,0.371
36699,Patrick Rodgers,2022 Valero Texas Open,-0.186,-0.504,0.515,0.11
51890,Greyson Sigg,2022 Valero Texas Open,0.63475,0.175,-0.237,0.112
22371,Aaron Baddeley,2022 Valero Texas Open,1.44875,-0.492,-0.632,1.111
49771,J.T. Poston,2022 Valero Texas Open,0.798,0.017,0.364,-0.494
23983,Luke Donald,2022 Valero Texas Open,0.1285,-0.714,0.822,-0.301
32448,James Hahn,2022 Valero Texas Open,-0.8435,0.041,-0.253,-0.008
50095,Austin Smotherman,2022 Valero Texas Open,-0.08525,0.355,0.249,-0.833
34466,Peter Malnati,2022 Valero Texas Open,0.94125,0.001,-0.845,0.589
32640,Troy Merritt,2022 Valero Texas Open,2.4665,-0.38,0.278,-0.179
52686,Rasmus Hojgaard,2022 Valero Texas Open,1.927,-0.127,-0.271,-0.093
29289,S.Y. Noh,2022 Valero Texas Open,-0.03325,-0.659,-1.052,1.18
47128,Richy Werenski,2022 Valero Texas Open,1.05525,-0.246,0.036,-0.409
33413,Ben Martin,2022 Valero Texas Open,0.1855,0.542,-0.41,-0.882
51634,Sahith Theegala,2022 Valero Texas Open,0.036,-0.442,-0.662,0.254
29484,Peter Uihlein,2022 Valero Texas Open,-0.191,-0.738,-0.032,-0.103
31557,Jim Herman,2022 Valero Texas Open,-0.88225,-0.574,-0.385,0.027
24924,Bill Haas,2022 Valero Texas Open,0.50375,-0.611,-0.104,-0.354
34563,Chesson Hadley,2022 Valero Texas Open,1.32925,-0.409,-0.223,-0.512
51766,Wyndham Clark,2022 Valero Texas Open,-0.292,-1.0,-0.431,-0.092
53165,Doc Redman,2022 Valero Texas Open,1.4625,-1.137,-0.155,-0.985
