RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,36326,David Lipsky,3.239,6.478,2
2,0,35506,Mackenzie Hughes,3.201,6.402,2
3,0,35532,Tom Hoge,2.628,5.256,2
4,0,34610,Matthias Schwab,2.101,4.202,2
5,0,35461,Beau Hossler,2.030,4.059,2
6,0,45522,Christiaan Bezuidenhout,1.952,3.904,2
7,0,28252,Seamus Power,1.950,3.900,2
8,0,39324,J.J. Spaun,1.836,3.672,2
9,0,35879,Kelly Kraft,1.649,3.298,2
10,0,27974,Sung Kang,1.391,2.782,2
11,0,32640,Troy Merritt,1.378,2.755,2
12,0,49947,Taylor Moore,1.341,2.682,2
13,0,47993,Denny McCarthy,1.283,2.565,2
14,0,32816,Satoshi Kodaira,1.262,2.524,2
15,0,27895,Jonas Blixt,1.257,2.513,2
16,0,19803,Ryan Armour,1.227,2.453,2
17,0,46601,Trey Mullinax,1.203,2.406,2
18,0,40098,Matt Fitzpatrick,1.193,2.386,2
19,0,34256,Andrew Putnam,1.152,2.303,2
20,0,47856,Seth Reeves,1.133,2.265,2
21,0,55708,Hayden Buckley,1.132,2.263,2
22,0,50095,Austin Smotherman,1.099,2.198,2
23,0,34046,Jordan Spieth,1.085,2.170,2
24,0,54783,Dylan Wu,1.034,2.069,2
25,0,35450,Patrick Cantlay,1.019,2.038,2
26,0,25632,Jimmy Walker,.994,1.989,2
27,0,24140,Sean O'Hair,.907,1.814,2
28,0,10381,Curtis Thompson,.689,1.378,2
29,0,25493,Nick Taylor,.651,1.303,2
30,0,28089,Jason Day,.635,1.271,2
31,0,30996,Mark Baldwin,.524,1.047,2
32,0,35310,Lanto Griffin,.497,.993,2
33,0,24925,Jonathan Byrd,.270,.540,2
34,0,24361,Pat Perez,.254,.509,2
35,0,23983,Luke Donald,.223,.445,2
36,0,29289,S.Y. Noh,.026,.052,2
37,0,53165,Doc Redman,.007,.013,2
38,0,27963,Chris Stroud,-.112,-.225,2
39,0,22405,Justin Rose,-.132,-.264,2
40,0,45609,Tyler Duncan,-.154,-.308,2
41,0,39546,Keith Mitchell,-.161,-.322,2
42,0,30927,Brendon Todd,-.342,-.683,2
43,0,47995,Davis Riley,-.360,-.720,2
44,0,36884,Ben Kohles,-.408,-.815,2
45,0,46442,Maverick McNealy,-.450,-.900,2
46,0,29970,Dylan Frittelli,-.453,-.906,2
47,0,34466,Peter Malnati,-.560,-1.120,2
48,0,28775,Nate Lashley,-.570,-1.139,2
49,0,51890,Greyson Sigg,-.589,-1.179,2
50,0,23325,Vaughn Taylor,-.604,-1.208,2
51,0,34076,Joel Dahmen,-.673,-1.346,2
52,0,31560,Brian Stuard,-.728,-1.456,2
53,0,40115,Adam Svensson,-.829,-1.657,2
54,0,33399,Adam Hadwin,-.981,-1.962,2
55,0,24358,Robert Garrigus,-1.069,-2.137,2
56,0,26596,Ryan Moore,-1.073,-2.147,2
57,0,36801,Mark Hubbard,-1.088,-2.176,2
58,0,27770,Camilo Villegas,-1.137,-2.275,2
59,0,33122,Russell Knox,-1.489,-2.978,2
60,0,23623,Bo Van Pelt,-1.650,-3.301,2
61,0,26951,Johnson Wagner,-1.719,-3.439,2
62,0,46435,Austin Cook,-1.992,-3.984,2
63,0,40250,Taylor Pendrith,-3.088,-6.176,2
