RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,25,51766,Wyndham Clark,2.235,6.704,3
2,0,25818,Scott Piercy,2.097,6.290,3
3,0,55789,Taylor Montgomery,1.788,5.363,3
4,0,29420,Billy Horschel,1.758,5.274,3
5,0,24361,Pat Perez,1.629,4.888,3
6,45,39971,Sungjae Im,1.501,4.504,3
7,57,28089,Jason Day,1.310,3.931,3
8,43,27129,Luke List,1.244,3.731,3
9,0,23621,Rory Sabbatini,1.215,3.644,3
10,0,31323,Gary Woodland,1.191,3.574,3
11,0,47983,Chad Ramey,1.153,3.458,3
12,0,36871,Matthew NeSmith,1.134,3.403,3
13,0,46442,Maverick McNealy,1.038,3.114,3
14,15,46970,Jon Rahm,1.017,3.050,3
15,0,40026,Daniel Berger,.920,2.759,3
16,0,56278,Matthew Wolff,.890,2.671,3
17,0,47529,Mito Pereira,.880,2.640,3
18,0,24924,Bill Haas,.879,2.637,3
19,0,34466,Peter Malnati,.874,2.622,3
20,0,25198,Francesco Molinari,.846,2.537,3
21,11,46414,Aaron Rai,.789,2.368,3
22,0,47347,Adam Schenk,.755,2.266,3
23,0,40250,Taylor Pendrith,.744,2.232,3
24,0,48081,Xander Schauffele,.726,2.178,3
25,0,33419,Cameron Tringale,.706,2.119,3
26,0,25632,Jimmy Walker,.666,1.997,3
27,0,51997,Andrew Novak,.643,1.930,3
28,-1,22405,Justin Rose,.640,1.921,3
29,40,52375,Doug Ghim,.597,1.790,3
30,4,51634,Sahith Theegala,.552,1.655,3
31,0,45486,Joaquin Niemann,.533,1.599,3
32,0,35449,Adam Long,.516,1.549,3
33,8,36699,Patrick Rodgers,.506,1.518,3
34,0,33667,Carlos Ortiz,.489,1.468,3
35,0,50095,Austin Smotherman,.488,1.465,3
36,0,27064,Jhonattan Vegas,.484,1.453,3
37,0,32333,Kevin Tway,.460,1.380,3
38,-32,37455,Si Woo Kim,.457,1.372,3
39,0,45157,Cam Davis,.443,1.329,3
40,0,33448,Justin Thomas,.427,1.280,3
41,9,31420,Anirban Lahiri,.379,1.137,3
42,0,27349,Alex Noren,.305,.916,3
43,0,25493,Nick Taylor,.086,.257,3
44,-37,35310,Lanto Griffin,.077,.230,3
45,-23,39324,J.J. Spaun,.034,.101,3
46,0,26476,Chez Reavie,-.023,-.070,3
47,0,26851,Marc Leishman,-.062,-.187,3
48,0,30692,Scott Stallings,-.087,-.260,3
49,19,32662,Michael Gligic,-.088,-.265,3
50,0,27214,Kevin Streelman,-.101,-.304,3
51,0,23320,Ryan Palmer,-.102,-.307,3
52,-7,34255,Joseph Bramlett,-.178,-.535,3
52,-27,49766,Hank Lebioda,-.178,-.534,3
54,-46,34360,Patrick Reed,-.213,-.640,3
55,-50,49960,Sepp Straka,-.217,-.651,3
56,-33,51890,Greyson Sigg,-.219,-.657,3
57,-29,46046,Scottie Scheffler,-.247,-.740,3
58,9,32366,Kevin Chappell,-.288,-.865,3
59,-38,29268,Bronson Burgoon,-.318,-.953,3
60,0,27936,Martin Laird,-.352,-1.055,3
61,0,10381,Curtis Thompson,-.371,-1.114,3
62,0,46402,Talor Gooch,-.372,-1.115,3
63,-46,36326,David Lipsky,-.422,-1.267,3
64,-6,47483,Will Zalatoris,-.424,-1.271,3
65,0,53165,Doc Redman,-.444,-1.332,3
66,-51,45522,Christiaan Bezuidenhout,-.602,-1.805,3
67,0,32150,Michael Thompson,-.628,-1.884,3
68,-2,27770,Camilo Villegas,-.631,-1.893,3
69,0,30925,Dustin Johnson,-.720,-2.159,3
70,0,48822,Sebastián Muñoz,-.728,-2.185,3
71,-29,57366,Cameron Young,-.764,-2.291,3
72,0,32839,Hideki Matsuyama,-.794,-2.382,3
73,-59,29289,S.Y. Noh,-.881,-2.642,3
74,0,52372,Cameron Champ,-1.080,-3.239,3
75,0,34431,Robert Streb,-1.254,-3.762,3
76,0,33141,Keegan Bradley,-1.376,-4.128,3
77,-28,40115,Adam Svensson,-1.459,-4.377,3
78,-47,46340,Alex Smalley,-1.811,-5.433,3
79,0,29908,C.T. Pan,-2.569,-7.707,3
