RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS
1,0,33448,Justin Thomas,26.75,107,4,24
2,0,37378,Min Woo Lee,27.00,108,4,25
3,0,33204,Shane Lowry,27.25,109,4,25
3,0,47483,Will Zalatoris,27.25,109,4,25
5,0,46046,Scottie Scheffler,27.50,110,4,26
6,13,37455,Si Woo Kim,28.00,112,4,26
6,8,52215,Robert MacIntyre,28.00,112,4,27
6,0,29221,Webb Simpson,28.00,112,4,27
6,0,37189,Harold Varner III,28.00,112,4,26
10,0,32839,Hideki Matsuyama,28.25,113,4,27
10,0,35891,Cameron Smith,28.25,113,4,24
10,0,20396,Lee Westwood,28.25,113,4,27
10,0,32139,Danny Willett,28.25,113,4,25
14,0,46402,Talor Gooch,28.50,114,4,27
14,0,46717,Viktor Hovland,28.50,114,4,27
14,0,30944,Jason Kokrak,28.50,114,4,28
14,0,50525,Collin Morikawa,28.50,114,4,27
14,0,45486,Joaquin Niemann,28.50,114,4,28
14,0,28252,Seamus Power,28.50,114,4,25
20,38,39997,Corey Conners,29.00,116,4,26
20,0,39971,Sungjae Im,29.00,116,4,26
20,0,28237,Rory McIlroy,29.00,116,4,22
20,0,34360,Patrick Reed,29.00,116,4,29
20,0,49960,Sepp Straka,29.00,116,4,26
25,0,40026,Daniel Berger,29.50,118,4,27
25,0,30925,Dustin Johnson,29.50,118,4,27
25,0,46970,Jon Rahm,29.50,118,4,27
28,0,45522,Christiaan Bezuidenhout,29.75,119,4,26
28,-20,25900,Lucas Glover,29.75,119,4,28
28,0,33597,Harry Higgs,29.75,119,4,27
31,-23,39324,J.J. Spaun,30.00,120,4,27
32,0,40098,Matt Fitzpatrick,30.25,121,4,28
32,0,34098,Russell Henley,30.25,121,4,28
32,0,35532,Tom Hoge,30.25,121,4,29
32,0,29420,Billy Horschel,30.25,121,4,29
32,0,26331,Charl Schwartzel,30.25,121,4,27
37,0,52372,Cameron Champ,30.50,122,4,28
37,0,45157,Cam Davis,30.50,122,4,29
37,21,29725,Tony Finau,30.50,122,4,30
37,0,21209,Sergio Garcia,30.50,122,4,28
37,0,39977,Max Homa,30.50,122,4,28
37,0,29478,Kevin Kisner,30.50,122,4,28
37,0,25396,Kevin Na,30.50,122,4,27
44,0,35506,Mackenzie Hughes,30.75,123,4,27
44,24,34264,Hudson Swafford,30.75,123,4,28
44,0,25804,Bubba Watson,30.75,123,4,30
47,0,34363,Tyrrell Hatton,31.00,124,4,29
48,0,35450,Patrick Cantlay,31.25,125,4,28
48,0,30911,Tommy Fleetwood,31.25,125,4,27
48,0,24502,Adam Scott,31.25,125,4,29
48,0,08793,Tiger Woods,31.25,125,4,27
52,0,26851,Marc Leishman,31.50,126,4,30
