RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,39058,Lucas Herbert,2.188,8.753,4
2,18,33448,Justin Thomas,1.578,6.314,4
3,75,47529,Mito Pereira,1.370,5.482,4
4,0,36689,Brooks Koepka,1.323,5.294,4
5,0,47993,Denny McCarthy,1.281,5.125,4
6,0,47504,Sam Burns,1.277,5.109,4
7,0,40098,Matt Fitzpatrick,1.246,4.983,4
8,73,49964,Aaron Wise,1.219,4.876,4
9,34,35310,Lanto Griffin,1.180,4.722,4
10,0,47483,Will Zalatoris,1.161,4.646,4
11,33,35532,Tom Hoge,1.154,4.618,4
12,36,47347,Adam Schenk,1.146,4.585,4
13,0,22405,Justin Rose,1.055,4.219,4
14,0,45526,Abraham Ancer,.966,3.864,4
15,-8,35461,Beau Hossler,.962,3.850,4
16,0,33419,Cameron Tringale,.921,3.684,4
17,62,30911,Tommy Fleetwood,.911,3.644,4
18,0,47056,Rikuya Hoshino,.894,3.575,4
19,0,34363,Tyrrell Hatton,.877,3.508,4
20,0,25396,Kevin Na,.874,3.497,4
21,13,26851,Marc Leishman,.873,3.491,4
22,0,31323,Gary Woodland,.870,3.481,4
23,29,26331,Charl Schwartzel,.763,3.053,4
24,0,33204,Shane Lowry,.743,2.972,4
25,0,27129,Luke List,.739,2.958,4
26,0,57366,Cameron Young,.724,2.897,4
27,-8,46442,Maverick McNealy,.719,2.876,4
28,55,32757,Patton Kizzire,.699,2.797,4
29,0,34362,Laurie Canter,.649,2.598,4
30,-17,32791,K.H. Lee,.620,2.479,4
31,0,27214,Kevin Streelman,.608,2.434,4
32,-18,28089,Jason Day,.595,2.379,4
33,-4,45486,Joaquin Niemann,.515,2.060,4
34,0,29221,Webb Simpson,.511,2.046,4
35,0,39977,Max Homa,.478,1.911,4
36,0,45157,Cam Davis,.429,1.715,4
37,17,39546,Keith Mitchell,.426,1.706,4
38,0,30926,Chris Kirk,.389,1.557,4
39,-33,28252,Seamus Power,.378,1.513,4
40,-2,48081,Xander Schauffele,.356,1.423,4
41,0,20229,Stewart Cink,.283,1.132,4
42,-2,30944,Jason Kokrak,.239,.957,4
43,0,28237,Rory McIlroy,.238,.952,4
44,0,29725,Tony Finau,.171,.685,4
45,0,34360,Patrick Reed,.073,.294,4
46,0,46402,Talor Gooch,.069,.275,4
47,0,28938,Justin Harding,.042,.167,4
48,0,27644,Brian Harman,.038,.154,4
49,0,32640,Troy Merritt,.016,.064,4
50,0,29420,Billy Horschel,.010,.040,4
51,-41,23108,Matt Kuchar,.006,.026,4
52,0,49298,Kramer Hickok,.004,.018,4
53,0,33399,Adam Hadwin,-.016,-.065,4
54,-19,32839,Hideki Matsuyama,-.037,-.148,4
55,0,46970,Jon Rahm,-.039,-.156,4
56,0,46717,Viktor Hovland,-.048,-.193,4
57,0,29518,Brendan Steele,-.061,-.242,4
58,-37,47995,Davis Riley,-.077,-.307,4
59,-29,25198,Francesco Molinari,-.086,-.343,4
60,0,26329,Louis Oosthuizen,-.100,-.398,4
61,0,29454,Bernd Wiesberger,-.155,-.618,4
62,0,29936,Ryan Fox,-.167,-.667,4
63,0,34098,Russell Henley,-.168,-.672,4
64,0,33293,Thomas Pieters,-.205,-.819,4
65,0,26328,Shaun Norris,-.243,-.973,4
66,0,25900,Lucas Glover,-.286,-1.143,4
67,0,25804,Bubba Watson,-.339,-1.354,4
68,0,33141,Keegan Bradley,-.356,-1.424,4
69,0,32102,Rickie Fowler,-.457,-1.829,4
70,0,50525,Collin Morikawa,-.615,-2.460,4
71,0,52096,Adri Arnaus,-.653,-2.612,4
72,-61,48822,Sebastián Muñoz,-.666,-2.662,4
73,-14,49960,Sepp Straka,-.746,-2.985,4
74,-38,34046,Jordan Spieth,-.812,-3.246,4
75,0,52215,Robert MacIntyre,-.922,-3.686,4
76,0,35891,Cameron Smith,-.945,-3.779,4
77,0,37189,Harold Varner III,-1.278,-5.111,4
78,0,37455,Si Woo Kim,-1.416,-5.663,4
