RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,35891,Cameron Smith,3.273,.701,2.416,.156,4
2,0,30926,Chris Kirk,2.689,.426,1.011,1.252,4
3,0,29518,Brendan Steele,2.639,.496,1.852,.291,4
4,0,57366,Cameron Young,2.604,1.756,.651,.197,4
5,0,28237,Rory McIlroy,2.591,1.401,1.214,-.024,4
6,0,47483,Will Zalatoris,2.417,.502,1.284,.632,4
7,9,47995,Davis Riley,2.405,1.262,1.608,-.465,4
8,0,32102,Rickie Fowler,2.286,.476,.395,1.415,4
9,0,52096,Adri Arnaus,2.232,1.213,.690,.328,4
10,38,28252,Seamus Power,2.200,.408,.875,.918,4
11,26,30911,Tommy Fleetwood,2.168,.331,1.181,.655,4
12,-10,34046,Jordan Spieth,2.140,.585,1.169,.386,4
13,0,25900,Lucas Glover,2.114,.207,1.947,-.040,4
14,0,37189,Harold Varner III,2.106,-.092,.976,1.223,4
15,0,46402,Talor Gooch,2.010,.488,.788,.735,4
16,-6,33448,Justin Thomas,2.000,.659,.526,.814,4
17,-11,48081,Xander Schauffele,1.973,.827,.992,.154,4
18,-11,47529,Mito Pereira,1.958,.220,1.525,.213,4
19,0,25804,Bubba Watson,1.917,.387,1.239,.291,4
20,0,39977,Max Homa,1.851,.188,1.732,-.069,4
21,0,40098,Matt Fitzpatrick,1.833,.483,.181,1.168,4
22,0,29454,Bernd Wiesberger,1.733,.266,1.120,.347,4
23,0,45526,Abraham Ancer,1.613,.682,1.150,-.220,4
24,0,29221,Webb Simpson,1.567,.545,.647,.375,4
25,0,20229,Stewart Cink,1.546,1.261,.527,-.243,4
26,0,37455,Si Woo Kim,1.494,-.700,1.276,.919,4
27,0,34363,Tyrrell Hatton,1.452,.142,.900,.410,4
28,-8,35532,Tom Hoge,1.424,-.837,1.959,.302,4
29,0,29725,Tony Finau,1.407,.314,.548,.546,4
30,-3,23108,Matt Kuchar,1.322,.013,-.244,1.553,4
31,7,45486,Joaquin Niemann,1.314,.838,-.352,.827,4
32,0,27644,Brian Harman,1.290,-.530,1.274,.547,4
33,0,22405,Justin Rose,1.274,-.215,1.292,.197,4
34,0,34360,Patrick Reed,1.255,-.681,1.294,.642,4
35,0,33141,Keegan Bradley,1.185,.740,.136,.309,4
36,0,46717,Viktor Hovland,1.127,.365,.667,.095,4
37,0,33204,Shane Lowry,1.086,.804,-.097,.378,4
38,0,32640,Troy Merritt,1.063,-.240,-.400,1.702,4
39,-30,48822,Sebastián Muñoz,.994,-.160,.791,.363,4
40,0,25396,Kevin Na,.954,-.978,.801,1.131,4
41,0,50525,Collin Morikawa,.944,.369,.267,.308,4
42,31,39546,Keith Mitchell,.902,1.518,.101,-.717,4
43,0,46970,Jon Rahm,.868,1.833,-.341,-.625,4
44,0,47504,Sam Burns,.801,.300,1.035,-.534,4
45,0,29936,Ryan Fox,.745,.030,1.420,-.705,4
46,-23,49964,Aaron Wise,.610,-.021,.797,-.166,4
47,0,27214,Kevin Streelman,.470,.258,-.250,.462,4
48,-43,32791,K.H. Lee,.459,.475,-.034,.018,4
49,0,31323,Gary Woodland,.458,.342,.627,-.511,4
50,8,26851,Marc Leishman,.456,.698,-.211,-.031,4
51,-25,25198,Francesco Molinari,.414,-.838,.005,1.248,4
52,0,45157,Cam Davis,.400,-.239,.116,.523,4
53,0,27129,Luke List,.339,1.789,-.670,-.780,4
54,0,34098,Russell Henley,.247,-.331,-.064,.642,4
55,0,34362,Laurie Canter,.179,.046,.166,-.033,4
56,0,26329,Louis Oosthuizen,.178,-.065,-.046,.289,4
57,0,33419,Cameron Tringale,.158,.386,.028,-.256,4
58,0,39058,Lucas Herbert,.140,.146,-.229,.223,4
59,-56,32839,Hideki Matsuyama,.116,.179,-.207,.144,4
60,20,47347,Adam Schenk,-.068,-.334,.664,-.398,4
61,-39,30944,Jason Kokrak,-.161,.488,-1.033,.385,4
62,0,29420,Billy Horschel,-.182,-.418,-.622,.858,4
63,6,28089,Jason Day,-.266,.130,-.933,.537,4
64,0,49298,Kramer Hickok,-.426,.154,.237,-.817,4
65,0,26328,Shaun Norris,-.428,-.300,.317,-.445,4
66,0,47993,Denny McCarthy,-.453,-.731,.009,.269,4
67,0,33293,Thomas Pieters,-.467,-.188,.123,-.402,4
68,0,33399,Adam Hadwin,-.655,-.976,-.082,.402,4
69,-65,26331,Charl Schwartzel,-.685,-.308,-.378,.001,4
70,0,28938,Justin Harding,-.713,-.711,.495,-.497,4
71,0,47056,Rikuya Hoshino,-.815,-.327,-.451,-.037,4
72,0,36689,Brooks Koepka,-.995,-.246,-.532,-.217,4
73,0,52215,Robert MacIntyre,-1.000,-.365,-.456,-.179,4
74,-22,35310,Lanto Griffin,-1.102,-.358,-.204,-.539,4
75,-28,35461,Beau Hossler,-1.384,.157,-.829,-.712,4
76,-11,49960,Sepp Straka,-1.425,-.244,-1.023,-.158,4
77,-1,32757,Patton Kizzire,-2.121,-1.061,-.534,-.525,4
78,-27,46442,Maverick McNealy,-2.141,-.649,-.645,-.846,4
