RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,46442,Maverick McNealy,2.637,10.547,4
2,0,35450,Patrick Cantlay,2.029,8.116,4
3,0,55182,Tom Kim,1.513,6.052,4
4,0,47983,Chad Ramey,1.446,5.782,4
5,0,55789,Taylor Montgomery,1.309,5.236,4
6,0,33410,Andrew Landry,1.303,5.212,4
7,4,51890,Greyson Sigg,1.259,5.037,4
8,38,33399,Adam Hadwin,1.218,4.872,4
9,0,34563,Chesson Hadley,1.208,4.831,4
10,0,39324,J.J. Spaun,1.104,4.416,4
11,14,34256,Andrew Putnam,1.058,4.230,4
12,43,52374,Brandon Wu,1.038,4.151,4
13,0,30927,Brendon Todd,0.958,3.831,4
14,0,39058,Lucas Herbert,0.951,3.805,4
15,0,26596,Ryan Moore,0.919,3.674,4
16,0,59095,Chris Gotterup,0.889,3.554,4
17,4,50188,S.H. Kim,0.831,3.324,4
18,0,33408,Tyson Alexander,0.705,2.821,4
19,0,57975,Harry Hall,0.593,2.370,4
20,0,37455,Si Woo Kim,0.583,2.330,4
21,36,46441,Robby Shelton,0.563,2.251,4
22,0,35532,Tom Hoge,0.521,2.082,4
23,0,39977,Max Homa,0.508,2.031,4
24,0,39971,Sungjae Im,0.489,1.954,4
25,0,33413,Ben Martin,0.460,1.840,4
26,0,32150,Michael Thompson,0.411,1.645,4
27,-8,36871,Matt NeSmith,0.386,1.544,4
28,5,55708,Hayden Buckley,0.367,1.469,4
29,0,47347,Adam Schenk,0.349,1.397,4
30,0,35461,Beau Hossler,0.348,1.391,4
31,-11,40162,Justin Lower,0.334,1.337,4
32,0,49964,Aaron Wise,0.333,1.332,4
33,0,31557,Jim Herman,0.311,1.245,4
33,0,47529,Mito Pereira,0.311,1.243,4
35,-17,37275,Sam Ryder,0.305,1.219,4
36,0,48887,Matt Wallace,0.289,1.157,4
37,0,27644,Brian Harman,0.283,1.132,4
38,0,27349,Alex Noren,0.268,1.073,4
39,0,52375,Doug Ghim,0.230,0.920,4
40,30,31577,Tano Goya,0.195,0.778,4
41,10,20229,Stewart Cink,0.194,0.774,4
42,0,27936,Martin Laird,0.187,0.748,4
43,-28,31646,Emiliano Grillo,0.097,0.386,4
44,0,28089,Jason Day,0.086,0.344,4
45,-29,36799,Stephan Jaeger,0.054,0.217,4
46,0,34099,Harris English,0.011,0.042,4
47,0,49771,J.T. Poston,0.008,0.031,4
48,-44,33974,Dean Burmester,0.005,0.020,4
49,-7,36699,Patrick Rodgers,-0.062,-0.249,4
50,0,58967,Trevor Werbylo,-0.063,-0.254,4
51,13,57362,Austin Eckroat,-0.072,-0.290,4
52,17,40115,Adam Svensson,-0.078,-0.314,4
53,0,40250,Taylor Pendrith,-0.099,-0.398,4
54,22,58168,Davis Thompson,-0.127,-0.507,4
55,-49,27214,Kevin Streelman,-0.136,-0.543,4
56,-44,46414,Aaron Rai,-0.161,-0.643,4
57,0,45157,Cam Davis,-0.170,-0.679,4
58,0,60021,Patrick Welch,-0.203,-0.814,4
59,0,33948,Byeong Hun An,-0.249,-0.997,4
60,-37,36801,Mark Hubbard,-0.261,-1.045,4
61,-34,50095,Austin Smotherman,-0.283,-1.133,4
62,0,32757,Patton Kizzire,-0.334,-1.337,4
63,0,54813,Philip Knowles,-0.401,-1.603,4
64,7,45522,Christiaan Bezuidenhout,-0.456,-1.825,4
65,0,45609,Tyler Duncan,-0.469,-1.875,4
66,0,39546,Keith Mitchell,-0.477,-1.908,4
67,-41,56762,Will Gordon,-0.488,-1.954,4
68,-5,54591,Ben Griffin,-0.499,-1.998,4
69,-59,33653,Thomas Detry,-0.526,-2.105,4
70,0,47079,Harrison Endycott,-0.535,-2.141,4
71,-24,45242,Kevin Yu,-0.558,-2.232,4
72,0,32791,K.H. Lee,-0.646,-2.584,4
73,0,34610,Matthias Schwab,-0.673,-2.693,4
74,-29,47988,Nick Hardy,-0.792,-3.167,4
75,-7,34076,Joel Dahmen,-0.873,-3.491,4
76,0,27466,Spencer Levin,-0.939,-3.756,4
77,0,36326,David Lipsky,-1.095,-4.379,4
