RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,26,32839,Hideki Matsuyama,1.816,7.264,4
2,21,34099,Harris English,1.494,5.974,4
3,0,34098,Russell Henley,1.472,5.886,4
4,0,51894,Vince Whaley,1.381,5.525,4
5,17,28252,Seamus Power,1.296,5.184,4
6,0,30927,Brendon Todd,1.219,4.877,4
7,0,27644,Brian Harman,1.179,4.714,4
8,0,51634,Sahith Theegala,1.065,4.261,4
9,0,47995,Davis Riley,1.024,4.094,4
10,0,48084,Wesley Bryan,1.021,4.082,4
11,-8,29478,Kevin Kisner,1.006,4.024,4
12,0,40115,Adam Svensson,.945,3.779,4
13,0,39546,Keith Mitchell,.941,3.765,4
14,22,20229,Stewart Cink,.894,3.576,4
15,0,36884,Ben Kohles,.860,3.438,4
16,0,10809,Jim Furyk,.803,3.210,4
17,0,32366,Kevin Chappell,.748,2.991,4
18,0,32333,Kevin Tway,.742,2.966,4
19,0,23108,Matt Kuchar,.694,2.776,4
20,0,32150,Michael Thompson,.618,2.473,4
21,-6,45157,Cam Davis,.548,2.190,4
22,0,23983,Luke Donald,.473,1.893,4
23,0,34256,Andrew Putnam,.461,1.842,4
24,0,32816,Satoshi Kodaira,.444,1.777,4
25,0,32757,Patton Kizzire,.401,1.602,4
26,0,33122,Russell Knox,.393,1.573,4
27,0,35296,Haotong Li,.375,1.500,4
28,9,30944,Jason Kokrak,.342,1.368,4
29,0,27649,Brandt Snedeker,.339,1.355,4
30,0,55708,Hayden Buckley,.262,1.048,4
31,-24,29420,Billy Horschel,.246,.982,4
32,0,45522,Christiaan Bezuidenhout,.242,.966,4
33,0,39997,Corey Conners,.220,.879,4
34,0,29221,Webb Simpson,.208,.833,4
35,0,30163,Henrik Norlander,.131,.522,4
36,0,30926,Chris Kirk,.129,.517,4
37,0,49228,Keita Nakajima,.108,.433,4
38,0,49298,Kramer Hickok,.081,.325,4
39,0,49960,Sepp Straka,.065,.260,4
40,-2,25900,Lucas Glover,.060,.241,4
41,-32,26851,Marc Leishman,.051,.204,4
42,-12,46402,Talor Gooch,.025,.101,4
43,0,23320,Ryan Palmer,.016,.063,4
44,0,34264,Hudson Swafford,.014,.054,4
45,0,37212,Paul Barjon,-.015,-.060,4
46,0,36852,Jim Knous,-.101,-.404,4
47,0,25632,Jimmy Walker,-.216,-.866,4
48,0,46442,Maverick McNealy,-.228,-.914,4
49,-25,40006,Erik van Rooyen,-.242,-.967,4
50,0,34255,Joseph Bramlett,-.287,-1.150,4
51,0,47993,Denny McCarthy,-.289,-1.157,4
52,0,51890,Greyson Sigg,-.297,-1.189,4
53,0,49771,J.T. Poston,-.305,-1.219,4
54,0,21961,Charles Howell III,-.317,-1.270,4
55,0,37275,Sam Ryder,-.405,-1.622,4
56,0,19803,Ryan Armour,-.414,-1.655,4
57,-38,25396,Kevin Na,-.439,-1.755,4
58,0,33141,Keegan Bradley,-.585,-2.339,4
59,0,54783,Dylan Wu,-.608,-2.434,4
60,0,23325,Vaughn Taylor,-.736,-2.944,4
61,-45,37455,Si Woo Kim,-.892,-3.567,4
62,-31,32791,K.H. Lee,-.942,-3.767,4
63,0,30110,Kyle Stanley,-1.162,-4.648,4
64,0,35110,Brett Drewitt,-1.267,-5.069,4
65,0,40162,Justin Lower,-1.312,-5.249,4
