RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,7,46970,Jon Rahm,1.768,7.070,4
2,56,28237,Rory McIlroy,1.654,6.617,4
3,24,49964,Aaron Wise,1.636,6.543,4
4,34,39977,Max Homa,1.117,4.466,4
5,47,35532,Tom Hoge,1.000,3.998,4
6,6,47504,Sam Burns,.771,3.085,4
7,11,39971,Sungjae Im,.615,2.461,4
8,24,32839,Hideki Matsuyama,.358,1.431,4
9,5,29725,Tony Finau,.349,1.397,4
10,46,33448,Justin Thomas,.230,.921,4
11,37,49960,Sepp Straka,.146,.582,4
12,27,57366,Cameron Young,.130,.520,4
13,-4,40098,Matt Fitzpatrick,.115,.459,4
14,6,24502,Adam Scott,.093,.370,4
15,18,46717,Viktor Hovland,.085,.338,4
16,5,49771,J.T. Poston,.058,.230,4
17,7,30692,Scott Stallings,-.044,-.176,4
18,0,35891,Cameron Smith,-.046,-.185,4
19,27,45486,Joaquin Niemann,-.337,-1.349,4
20,14,29420,Billy Horschel,-.353,-1.414,4
21,5,48081,Xander Schauffele,-.440,-1.762,4
22,-12,32791,K.H. Lee,-.480,-1.921,4
23,20,34046,Jordan Spieth,-.547,-2.187,4
24,-17,51634,Sahith Theegala,-.620,-2.479,4
25,5,46046,Scottie Scheffler,-.864,-3.456,4
26,29,27644,Brian Harman,-1.174,-4.696,4
27,-4,35450,Patrick Cantlay,-1.533,-6.134,4
28,26,50525,Collin Morikawa,-1.693,-6.774,4
29,11,39997,Corey Conners,-1.989,-7.956,4
