RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,54364,Stephen Stallings Jr.,3.947,7.894,2
2,42,34264,Hudson Swafford,3.201,6.401,2
3,48,47993,Denny McCarthy,2.678,5.356,2
4,0,33486,Roger Sloan,2.197,4.394,2
5,34,49960,Sepp Straka,2.184,4.368,2
6,55,37455,Si Woo Kim,1.993,3.986,2
7,0,35310,Lanto Griffin,1.747,3.495,2
8,0,34360,Patrick Reed,1.556,3.111,2
9,-2,27644,Brian Harman,1.394,2.789,2
10,0,33399,Adam Hadwin,1.390,2.780,2
11,0,25686,Jason Dufner,1.331,2.662,2
12,23,30163,Henrik Norlander,1.183,2.366,2
13,0,35617,Martin Trainer,1.134,2.269,2
14,0,29289,S.Y. Noh,.994,1.989,2
15,17,45522,Christiaan Bezuidenhout,.891,1.782,2
16,0,29725,Tony Finau,.856,1.712,2
17,0,36326,David Lipsky,.834,1.668,2
17,6,34256,Andrew Putnam,.834,1.668,2
19,34,49771,J.T. Poston,.792,1.584,2
20,0,25198,Francesco Molinari,.766,1.531,2
21,0,29268,Bronson Burgoon,.745,1.491,2
22,0,39324,J.J. Spaun,.726,1.452,2
23,29,51890,Greyson Sigg,.694,1.389,2
24,5,27649,Brandt Snedeker,.585,1.170,2
25,0,49766,Hank Lebioda,.512,1.025,2
26,0,51766,Wyndham Clark,.500,.999,2
27,0,22405,Justin Rose,.492,.985,2
28,0,46046,Scottie Scheffler,.491,.982,2
29,0,46970,Jon Rahm,.475,.949,2
30,25,37275,Sam Ryder,.391,.782,2
31,0,46340,Alex Smalley,.379,.757,2
32,0,46414,Aaron Rai,.354,.708,2
33,-28,28252,Seamus Power,.267,.535,2
34,-26,51634,Sahith Theegala,.232,.463,2
35,0,31646,Emiliano Grillo,.195,.390,2
36,9,37212,Paul Barjon,.190,.380,2
37,25,32791,K.H. Lee,.144,.289,2
38,2,25900,Lucas Glover,.110,.219,2
39,0,35450,Patrick Cantlay,.099,.198,2
40,0,25572,Graeme McDowell,.048,.096,2
41,0,36699,Patrick Rodgers,.035,.070,2
42,0,57366,Cameron Young,.030,.060,2
43,0,25493,Nick Taylor,-.028,-.056,2
44,0,29535,Brice Garnett,-.037,-.073,2
45,5,34255,Joseph Bramlett,-.045,-.090,2
46,0,33597,Harry Higgs,-.056,-.113,2
47,0,24024,Zach Johnson,-.271,-.543,2
48,0,35532,Tom Hoge,-.330,-.660,2
49,-37,40115,Adam Svensson,-.386,-.772,2
50,0,31420,Anirban Lahiri,-.421,-.842,2
51,0,39971,Sungjae Im,-.529,-1.057,2
51,0,27129,Luke List,-.529,-1.057,2
53,0,54628,Lee Hodges,-.574,-1.148,2
54,0,37189,Harold Varner III,-.634,-1.269,2
55,-51,51894,Vince Whaley,-.639,-1.278,2
56,0,49947,Taylor Moore,-.708,-1.416,2
57,0,45540,Jared Wolfe,-.735,-1.470,2
58,0,47483,Will Zalatoris,-.752,-1.504,2
59,-56,34098,Russell Henley,-.830,-1.660,2
60,0,47988,Nick Hardy,-.918,-1.835,2
61,-7,21961,Charles Howell III,-.930,-1.859,2
62,0,45526,Abraham Ancer,-.988,-1.975,2
63,-54,47995,Davis Riley,-1.014,-2.029,2
64,0,28089,Jason Day,-1.044,-2.087,2
65,-40,32757,Patton Kizzire,-1.193,-2.385,2
66,0,27770,Camilo Villegas,-1.384,-2.767,2
67,-50,32366,Kevin Chappell,-1.407,-2.815,2
68,0,32662,Michael Gligic,-1.540,-3.080,2
69,0,52375,Doug Ghim,-1.772,-3.544,2
70,0,46601,Trey Mullinax,-1.906,-3.812,2
