RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,46442,Maverick McNealy,2.091,8.362,4
2,29,24502,Adam Scott,1.800,7.201,4
3,0,50525,Collin Morikawa,1.707,6.828,4
4,20,57366,Cameron Young,1.480,5.920,4
5,0,29926,Danny Lee,1.301,5.204,4
6,0,28237,Rory McIlroy,1.294,5.177,4
7,30,32791,K.H. Lee,1.281,5.123,4
8,0,29908,C.T. Pan,1.275,5.099,4
9,0,46717,Viktor Hovland,1.273,5.090,4
10,0,30944,Jason Kokrak,1.209,4.834,4
11,25,37275,Sam Ryder,1.106,4.422,4
12,8,34466,Peter Malnati,1.088,4.351,4
13,43,49960,Sepp Straka,1.016,4.063,4
14,46,33448,Justin Thomas,.950,3.800,4
15,34,45526,Abraham Ancer,.847,3.388,4
16,0,46340,Alex Smalley,.798,3.190,4
17,-1,39977,Max Homa,.791,3.165,4
18,0,39971,Sungjae Im,.789,3.155,4
19,0,31646,Emiliano Grillo,.753,3.011,4
20,0,49947,Taylor Moore,.721,2.885,4
21,0,26851,Marc Leishman,.718,2.871,4
22,0,25818,Scott Piercy,.697,2.788,4
23,-8,33667,Carlos Ortiz,.676,2.705,4
24,34,32333,Kevin Tway,.675,2.699,4
25,-23,46046,Scottie Scheffler,.620,2.481,4
26,0,45486,Joaquin Niemann,.613,2.450,4
27,27,48081,Xander Schauffele,.605,2.418,4
28,-7,33597,Harry Higgs,.557,2.227,4
29,0,26476,Chez Reavie,.530,2.121,4
30,0,54628,Lee Hodges,.510,2.039,4
31,0,47529,Mito Pereira,.489,1.957,4
32,0,21209,Sergio Garcia,.450,1.798,4
33,-21,25198,Francesco Molinari,.445,1.780,4
34,0,23108,Matt Kuchar,.429,1.714,4
35,0,49766,Hank Lebioda,.402,1.608,4
36,-4,34098,Russell Henley,.291,1.165,4
37,-20,32839,Hideki Matsuyama,.241,.964,4
38,0,35310,Lanto Griffin,.207,.828,4
39,9,12716,Charley Hoffman,.178,.712,4
40,0,52215,Robert MacIntyre,.135,.538,4
41,-34,51634,Sahith Theegala,.127,.508,4
42,19,34046,Jordan Spieth,.085,.339,4
43,0,45157,Cam Davis,.057,.229,4
44,0,24361,Pat Perez,.042,.166,4
45,-39,35450,Patrick Cantlay,.027,.106,4
46,0,40006,Erik van Rooyen,-.047,-.188,4
47,0,34256,Andrew Putnam,-.053,-.212,4
48,2,31560,Brian Stuard,-.089,-.357,4
49,0,35891,Cameron Smith,-.093,-.372,4
50,0,35461,Beau Hossler,-.111,-.444,4
51,0,27095,Nick Watney,-.157,-.628,4
52,0,29970,Dylan Frittelli,-.166,-.664,4
53,2,33141,Keegan Bradley,-.171,-.683,4
54,0,35449,Adam Long,-.186,-.743,4
55,0,52372,Cameron Champ,-.230,-.921,4
56,0,29725,Tony Finau,-.238,-.952,4
57,0,25364,Paul Casey,-.293,-1.171,4
58,-13,33122,Russell Knox,-.376,-1.506,4
59,0,53165,Doc Redman,-.382,-1.528,4
60,0,47483,Will Zalatoris,-.431,-1.726,4
61,0,36871,Matthew NeSmith,-.436,-1.745,4
62,0,46414,Aaron Rai,-.519,-2.075,4
63,0,33419,Cameron Tringale,-.542,-2.169,4
64,-63,27349,Alex Noren,-.562,-2.248,4
65,-23,32757,Patton Kizzire,-.615,-2.460,4
66,-9,46970,Jon Rahm,-.653,-2.612,4
67,0,32102,Rickie Fowler,-.715,-2.860,4
68,0,49964,Aaron Wise,-.759,-3.037,4
69,-28,26300,Matt Jones,-1.006,-4.026,4
70,0,32448,James Hahn,-1.008,-4.033,4
71,-62,27936,Martin Laird,-1.010,-4.041,4
72,-9,48822,Sebastián Muñoz,-1.082,-4.327,4
73,0,27064,Jhonattan Vegas,-1.138,-4.552,4
74,-12,37455,Si Woo Kim,-1.502,-6.010,4
75,-49,34076,Joel Dahmen,-1.667,-6.667,4
