RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,32839,Hideki Matsuyama,72.73,16,22
2,0,34256,Andrew Putnam,68.75,22,32
3,0,37378,Min Woo Lee,67.74,21,31
4,0,34409,David Lingmerth,64.86,24,37
5,0,59095,Chris Gotterup,64.52,20,31
6,0,34360,Patrick Reed,63.64,21,33
7,0,27644,Brian Harman,62.50,20,32
7,0,31323,Gary Woodland,62.50,15,24
9,0,35986,Todd Sinnott,61.29,19,31
10,31,47504,Sam Burns,60.00,18,30
10,0,34076,Joel Dahmen,60.00,12,20
10,14,40098,Matt Fitzpatrick,60.00,12,20
10,41,33399,Adam Hadwin,60.00,18,30
10,29,35506,Mackenzie Hughes,60.00,21,35
10,53,46046,Scottie Scheffler,60.00,15,25
16,0,46405,Sebastian Soderberg,59.46,22,37
17,5,48822,Sebastián Muñoz,59.38,19,32
17,0,48081,Xander Schauffele,59.38,19,32
17,0,24502,Adam Scott,59.38,19,32
20,0,35450,Patrick Cantlay,58.62,17,29
21,0,50525,Collin Morikawa,58.33,14,24
22,0,55182,Tom Kim,58.06,18,31
22,0,47347,Adam Schenk,58.06,18,31
24,0,49964,Aaron Wise,57.58,19,33
25,0,26851,Marc Leishman,57.14,16,28
26,0,39067,MJ Daffue,56.76,21,37
27,43,47988,Nick Hardy,56.00,14,25
27,0,28252,Seamus Power,56.00,14,25
29,0,39834,Guido Migliozzi,55.56,15,27
30,0,33293,Thomas Pieters,55.17,16,29
31,0,34255,Joseph Bramlett,54.17,13,24
31,-27,28237,Rory McIlroy,54.17,13,24
33,0,36871,Matthew NeSmith,53.85,14,26
33,0,46970,Jon Rahm,53.85,14,26
35,0,63123,Travis Vick,53.57,15,28
36,0,59652,Sam Bennett,53.33,16,30
36,0,35461,Beau Hossler,53.33,16,30
36,0,30925,Dustin Johnson,53.33,16,30
36,0,45486,Joaquin Niemann,53.33,16,30
40,0,51491,Brandon Matthews,52.63,20,38
41,0,47993,Denny McCarthy,52.17,12,23
42,0,47483,Will Zalatoris,52.00,13,25
43,0,39537,Chris Naegel,51.43,18,35
44,0,32791,K.H. Lee,50.00,13,26
44,-31,33448,Justin Thomas,50.00,13,26
46,0,33419,Cameron Tringale,48.15,13,27
47,0,33141,Keegan Bradley,47.83,11,23
48,0,47995,Davis Riley,46.67,14,30
49,3,36699,Patrick Rodgers,46.43,13,28
50,0,48699,Callum Tarren,46.15,12,26
51,0,45836,Richard Bland,44.83,13,29
51,0,47959,Bryson DeChambeau,44.83,13,29
51,0,55893,Sam Stevens,44.83,13,29
54,0,61143,Austin Greaser,44.12,15,34
55,0,39977,Max Homa,44.00,11,25
56,0,34213,Grayson Murray,43.33,13,30
57,0,27909,Wil Besseling,42.86,12,28
57,0,55708,Hayden Buckley,42.86,9,21
59,0,51586,Stewart Hagestad,42.42,14,33
60,-21,22405,Justin Rose,39.29,11,28
61,0,34099,Harris English,37.50,12,32
62,0,36689,Brooks Koepka,36.11,13,36
63,0,34363,Tyrrell Hatton,35.48,11,31
64,0,34046,Jordan Spieth,27.59,8,29
