PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,SG_PUTT,SG_OFF_THE_TEE,SG_APPROACH,SG_AROUND_THE_GREEN
40098,Matt Fitzpatrick,2022 U.S. Open,-0.17925,0.717,1.587,1.972
34255,Joseph Bramlett,2022 U.S. Open,-2.61375,0.661,1.696,1.103
46046,Scottie Scheffler,2022 U.S. Open,0.8205,0.302,2.664,0.061
34076,Joel Dahmen,2022 U.S. Open,-0.2435,0.044,1.735,1.061
33141,Keegan Bradley,2022 U.S. Open,0.04775,0.256,2.638,-0.094
31323,Gary Woodland,2022 U.S. Open,-0.18225,0.576,1.093,1.111
32839,Hideki Matsuyama,2022 U.S. Open,0.8125,-0.183,2.332,0.386
59095,Chris Gotterup,2022 U.S. Open,-1.573,0.636,0.874,0.66
47483,Will Zalatoris,2022 U.S. Open,1.73125,-0.182,1.632,0.665
55708,Hayden Buckley,2022 U.S. Open,0.06525,0.147,1.286,0.599
39977,Max Homa,2022 U.S. Open,-1.641,0.25,1.184,0.554
50525,Collin Morikawa,2022 U.S. Open,1.16275,-0.327,1.601,0.661
30925,Dustin Johnson,2022 U.S. Open,-0.28375,0.533,1.259,0.089
32791,K.H. Lee,2022 U.S. Open,-0.859,0.084,0.564,1.058
33399,Adam Hadwin,2022 U.S. Open,1.1485,-0.16,0.568,1.29
24502,Adam Scott,2022 U.S. Open,0.4025,-0.058,0.275,1.477
46970,Jon Rahm,2022 U.S. Open,0.70325,0.256,0.869,0.519
33448,Justin Thomas,2022 U.S. Open,-0.733,0.395,1.537,-0.352
26851,Marc Leishman,2022 U.S. Open,0.56925,-0.219,0.711,1.036
48699,Callum Tarren,2022 U.S. Open,-0.41575,0.173,1.049,0.292
47993,Denny McCarthy,2022 U.S. Open,1.48825,-0.316,1.224,0.452
49964,Aaron Wise,2022 U.S. Open,0.02475,0.178,0.202,0.943
48822,Sebastián Muñoz,2022 U.S. Open,0.78975,0.21,1.081,0.016
45486,Joaquín Niemann,2022 U.S. Open,-0.88525,0.272,0.754,0.206
47995,Davis Riley,2022 U.S. Open,-0.06025,-0.371,1.627,-0.099
48081,Xander Schauffele,2022 U.S. Open,0.975,-0.147,0.781,0.488
47347,Adam Schenk,2022 U.S. Open,0.5795,0.291,0.155,0.572
28252,Séamus Power,2022 U.S. Open,1.35825,-0.004,1.017,-0.024
34046,Jordan Spieth,2022 U.S. Open,-0.105,0.271,0.413,0.267
37378,Min Woo Lee,2022 U.S. Open,0.40475,0.702,0.069,0.171
55182,Tom Kim,2022 U.S. Open,0.9325,-0.499,0.102,1.312
35450,Patrick Cantlay,2022 U.S. Open,1.32725,0.632,-0.135,0.273
28237,Rory McIlroy,2022 U.S. Open,2.3605,0.564,0.874,-0.701
22405,Justin Rose,2022 U.S. Open,0.136,-0.325,0.343,0.693
35506,Mackenzie Hughes,2022 U.S. Open,0.94475,0.105,0.117,0.431
27909,Wil Besseling,2022 U.S. Open,-1.216,0.863,0.234,-0.533
39834,Guido Migliozzi,2022 U.S. Open,1.53975,-0.136,0.553,0.141
36871,Matthew NeSmith,2022 U.S. Open,0.343,-0.09,0.203,0.391
34360,Patrick Reed,2022 U.S. Open,-0.39875,-0.198,-0.153,0.847
36699,Patrick Rodgers,2022 U.S. Open,0.60725,0.322,0.176,-0.009
45836,Richard Bland,2022 U.S. Open,0.12025,-0.584,0.616,0.445
59652,Sam Bennett,2022 U.S. Open,-0.36475,0.166,0.616,-0.32
33419,Cameron Tringale,2022 U.S. Open,1.66875,0.013,0.402,0.013
35986,Todd Sinnott,2022 U.S. Open,0.72825,-0.767,0.968,0.168
39067,MJ Daffue,2022 U.S. Open,0.73225,0.687,-0.159,-0.164
55893,Sam Stevens,2022 U.S. Open,-0.18575,0.197,0.544,-0.458
33293,Thomas Pieters,2022 U.S. Open,1.17175,0.542,0.053,-0.419
47504,Sam Burns,2022 U.S. Open,1.17775,-0.477,-0.296,0.942
35461,Beau Hossler,2022 U.S. Open,-0.27825,0.105,-1.181,1.202
27644,Brian Harman,2022 U.S. Open,0.5125,-0.128,0.713,-0.5
34099,Harris English,2022 U.S. Open,-1.6515,-0.5,-0.207,0.706
47988,Nick Hardy,2022 U.S. Open,2.2125,-0.17,-0.044,0.098
34363,Tyrrell Hatton,2022 U.S. Open,-0.435,0.32,-0.758,0.22
34256,Andrew Putnam,2022 U.S. Open,1.317,-0.829,0.114,0.495
47959,Bryson DeChambeau,2022 U.S. Open,-0.17625,0.515,-0.161,-0.831
36689,Brooks Koepka,2022 U.S. Open,0.188,0.767,-0.06,-1.298
63123,Travis Vick,2022 U.S. Open,1.4785,0.255,-0.091,-1.045
51491,Brandon Matthews,2022 U.S. Open,-0.3965,0.568,-1.618,0.044
39537,Chris Naegel,2022 U.S. Open,0.39175,0.098,-1.37,0.227
34409,David Lingmerth,2022 U.S. Open,1.17525,-0.604,-1.078,0.604
61143,Austin Greaser,2022 U.S. Open,-0.31775,-0.009,-1.198,-0.128
34213,Grayson Murray,2022 U.S. Open,-0.56025,0.669,0.005,-2.017
51586,Stewart Hagestad,2022 U.S. Open,-0.80025,-0.087,0.03,-1.296
46405,Sebastian Söderberg,2022 U.S. Open,1.20825,-0.228,-1.283,0.15
