RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,55,49298,Kramer Hickok,2.122,8.490,4
2,24,30692,Scott Stallings,2.025,8.101,4
3,52,27644,Brian Harman,1.900,7.600,4
4,0,47995,Davis Riley,1.767,7.067,4
5,0,51890,Greyson Sigg,1.572,6.288,4
6,0,10381,Curtis Thompson,1.428,5.714,4
7,40,27349,Alex Noren,1.299,5.195,4
8,8,47504,Sam Burns,1.291,5.163,4
9,-2,29478,Kevin Kisner,1.257,5.028,4
10,0,20229,Stewart Cink,1.244,4.977,4
11,0,52374,Brandon Wu,1.018,4.071,4
12,46,30911,Tommy Fleetwood,.976,3.904,4
13,38,29535,Brice Garnett,.936,3.744,4
14,0,36871,Matthew NeSmith,.932,3.727,4
15,0,34174,John Huh,.861,3.443,4
16,0,46550,Brandon Hagy,.839,3.357,4
17,0,32150,Michael Thompson,.774,3.098,4
18,0,51950,Max McGreevy,.765,3.059,4
19,28,33448,Justin Thomas,.759,3.035,4
20,0,27064,Jhonattan Vegas,.731,2.925,4
21,0,30978,Kiradech Aphibarnrat,.692,2.768,4
22,0,36689,Brooks Koepka,.668,2.672,4
23,0,28775,Nate Lashley,.650,2.600,4
24,0,34431,Robert Streb,.568,2.271,4
25,0,33597,Harry Higgs,.563,2.251,4
26,0,40098,Matt Fitzpatrick,.559,2.238,4
27,0,23983,Luke Donald,.546,2.183,4
28,0,29926,Danny Lee,.533,2.134,4
29,0,52091,Blake Kennedy,.514,2.058,4
30,0,31560,Brian Stuard,.510,2.041,4
31,32,46717,Viktor Hovland,.491,1.965,4
32,0,45609,Tyler Duncan,.486,1.946,4
33,8,47993,Denny McCarthy,.416,1.664,4
34,-14,27214,Kevin Streelman,.403,1.611,4
35,-26,33399,Adam Hadwin,.386,1.545,4
36,0,40115,Adam Svensson,.379,1.518,4
37,-9,33204,Shane Lowry,.296,1.185,4
38,-2,53165,Doc Redman,.260,1.042,4
39,0,23108,Matt Kuchar,.192,.768,4
40,0,29289,S.Y. Noh,.152,.609,4
41,0,28420,Ryan Brehm,.134,.537,4
42,0,29908,C.T. Pan,.128,.512,4
43,0,48084,Wesley Bryan,.126,.504,4
44,0,47128,Richy Werenski,.096,.385,4
45,0,26476,Chez Reavie,.093,.373,4
46,0,50095,Austin Smotherman,.092,.370,4
47,0,24924,Bill Haas,.073,.294,4
48,-44,34363,Tyrrell Hatton,.069,.276,4
49,0,47529,Mito Pereira,.061,.243,4
50,0,48081,Xander Schauffele,-.006,-.024,4
51,0,33419,Cameron Tringale,-.124,-.495,4
52,0,29221,Webb Simpson,-.135,-.540,4
53,0,25493,Nick Taylor,-.154,-.615,4
54,0,27408,Martin Kaymer,-.158,-.631,4
55,-50,32757,Patton Kizzire,-.169,-.675,4
56,0,31323,Gary Woodland,-.196,-.783,4
57,0,51634,Sahith Theegala,-.217,-.868,4
58,-29,33122,Russell Knox,-.295,-1.179,4
59,0,34255,Joseph Bramlett,-.298,-1.190,4
60,-45,32640,Troy Merritt,-.308,-1.232,4
61,-50,30925,Dustin Johnson,-.481,-1.923,4
62,-54,24361,Pat Perez,-.504,-2.017,4
63,0,37212,Paul Barjon,-.575,-2.300,4
64,0,36326,David Lipsky,-.699,-2.797,4
65,0,50525,Collin Morikawa,-.700,-2.800,4
66,-52,34076,Joel Dahmen,-.719,-2.877,4
67,-21,26329,Louis Oosthuizen,-.746,-2.985,4
68,0,39324,J.J. Spaun,-.790,-3.160,4
69,0,45522,Christiaan Bezuidenhout,-.881,-3.525,4
70,-30,37189,Harold Varner III,-.950,-3.799,4
71,0,29454,Bernd Wiesberger,-1.230,-4.920,4
72,0,21528,Henrik Stenson,-1.669,-6.675,4
