RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,41,55182,Tom Kim,3.136,12.546,4
2,0,35617,Martin Trainer,2.322,9.289,4
3,0,29479,Scott Brown,1.880,7.522,4
4,42,48699,Callum Tarren,1.766,7.066,4
5,3,47128,Richy Werenski,1.719,6.878,4
6,20,23983,Luke Donald,1.677,6.710,4
7,0,36884,Ben Kohles,1.495,5.980,4
8,43,34466,Peter Malnati,1.476,5.904,4
9,0,45522,Christiaan Bezuidenhout,1.340,5.362,4
10,38,34174,John Huh,1.218,4.871,4
11,10,33122,Russell Knox,1.193,4.774,4
12,11,37275,Sam Ryder,1.180,4.720,4
13,0,27139,David Skinns,1.160,4.642,4
14,0,39971,Sungjae Im,1.025,4.100,4
15,0,29420,Billy Horschel,.958,3.832,4
16,0,54591,Ben Griffin,.889,3.556,4
17,0,35110,Brett Drewitt,.883,3.532,4
18,0,36871,Matthew NeSmith,.838,3.352,4
19,0,26596,Ryan Moore,.758,3.034,4
20,-6,53165,Doc Redman,.754,3.016,4
21,0,32791,K.H. Lee,.753,3.014,4
22,0,32448,James Hahn,.730,2.921,4
23,0,34563,Chesson Hadley,.728,2.914,4
24,-19,40162,Justin Lower,.677,2.709,4
25,2,54628,Lee Hodges,.663,2.653,4
26,-17,23621,Rory Sabbatini,.657,2.630,4
27,0,30927,Brendon Todd,.656,2.623,4
28,1,30978,Kiradech Aphibarnrat,.630,2.520,4
28,0,32333,Kevin Tway,.630,2.519,4
30,0,27963,Chris Stroud,.598,2.393,4
31,0,32816,Satoshi Kodaira,.593,2.372,4
32,26,40115,Adam Svensson,.538,2.152,4
33,0,49964,Aaron Wise,.530,2.120,4
34,0,51950,Max McGreevy,.441,1.766,4
35,0,46340,Alex Smalley,.422,1.687,4
36,11,20229,Stewart Cink,.393,1.574,4
37,0,47995,Davis Riley,.391,1.563,4
38,14,24024,Zach Johnson,.376,1.503,4
39,-32,36799,Stephan Jaeger,.351,1.406,4
40,0,34431,Robert Streb,.240,.959,4
41,26,52374,Brandon Wu,.214,.856,4
42,12,47483,Will Zalatoris,.206,.824,4
43,0,32662,Michael Gligic,.200,.800,4
44,0,34256,Andrew Putnam,.191,.764,4
45,-15,49947,Taylor Moore,.182,.727,4
46,-10,30163,Henrik Norlander,.178,.711,4
47,0,31560,Brian Stuard,.133,.533,4
48,0,25818,Scott Piercy,.116,.465,4
49,0,27644,Brian Harman,.107,.427,4
50,0,34363,Tyrrell Hatton,.080,.319,4
51,0,58944,Blake McShea,.068,.274,4
52,10,36699,Patrick Rodgers,.064,.256,4
53,0,49771,J.T. Poston,.020,.082,4
54,0,35879,Kelly Kraft,.017,.069,4
55,0,33597,Harry Higgs,.015,.061,4
56,-19,30692,Scott Stallings,-.010,-.041,4
57,0,45540,Jared Wolfe,-.055,-.218,4
58,7,34098,Russell Henley,-.087,-.347,4
59,-49,40250,Taylor Pendrith,-.162,-.649,4
60,0,26499,Rafa Cabrera Bello,-.234,-.935,4
61,0,22405,Justin Rose,-.268,-1.072,4
62,-18,59095,Chris Gotterup,-.345,-1.380,4
63,0,48051,Yannik Paul,-.381,-1.524,4
64,-5,36326,David Lipsky,-.383,-1.530,4
65,-31,33490,Bo Hoag,-.395,-1.578,4
66,0,36801,Mark Hubbard,-.513,-2.052,4
67,0,27936,Martin Laird,-.548,-2.191,4
68,0,34255,Joseph Bramlett,-.579,-2.317,4
69,0,22056,Cameron Percy,-.642,-2.568,4
70,0,25900,Lucas Glover,-.695,-2.781,4
71,1,24502,Adam Scott,-.734,-2.936,4
72,0,39997,Corey Conners,-.745,-2.978,4
72,0,23325,Vaughn Taylor,-.745,-2.978,4
74,0,34076,Joel Dahmen,-.746,-2.985,4
75,-6,12716,Charley Hoffman,-.767,-3.068,4
76,0,26476,Chez Reavie,-.801,-3.202,4
77,0,39546,Keith Mitchell,-.991,-3.962,4
78,0,25493,Nick Taylor,-1.091,-4.365,4
79,0,31420,Anirban Lahiri,-1.116,-4.464,4
80,0,49298,Kramer Hickok,-1.167,-4.668,4
81,0,46414,Aaron Rai,-1.184,-4.735,4
82,0,24925,Jonathan Byrd,-1.374,-5.494,4
83,0,25686,Jason Dufner,-1.540,-6.158,4
84,0,33204,Shane Lowry,-1.858,-7.433,4
