RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,46970,Jon Rahm,80.00,16,20
2,0,34098,Russell Henley,75.00,18,24
3,0,40098,Matt Fitzpatrick,73.08,19,26
4,0,46717,Viktor Hovland,71.43,20,28
4,18,32839,Hideki Matsuyama,71.43,20,28
6,0,59652,Sam Bennett,69.23,18,26
7,0,33141,Keegan Bradley,66.67,22,33
7,0,55182,Tom Kim,66.67,14,21
7,0,36689,Brooks Koepka,66.67,16,24
7,0,37189,Harold Varner III,66.67,22,33
11,0,28089,Jason Day,65.52,19,29
11,0,39971,Sungjae Im,65.52,19,29
13,0,50525,Collin Morikawa,65.38,17,26
14,0,48081,Xander Schauffele,65.00,13,20
15,0,30692,Scott Stallings,64.29,18,28
16,0,29936,Ryan Fox,64.00,16,25
17,0,34363,Tyrrell Hatton,62.96,17,27
17,0,49771,J.T. Poston,62.96,17,27
17,0,34360,Patrick Reed,62.96,17,27
20,0,34099,Harris English,62.07,18,29
21,0,33204,Shane Lowry,61.90,13,21
21,0,31323,Gary Woodland,61.90,13,21
23,0,34046,Jordan Spieth,60.71,17,28
24,0,30911,Tommy Fleetwood,60.00,18,30
24,0,01810,Phil Mickelson,60.00,15,25
26,0,46046,Scottie Scheffler,58.82,10,17
27,-23,30926,Chris Kirk,58.62,17,29
27,0,22405,Justin Rose,58.62,17,29
29,0,35891,Cameron Smith,58.33,21,36
30,0,51634,Sahith Theegala,56.00,14,25
31,0,35450,Patrick Cantlay,55.56,10,18
32,30,37455,Si Woo Kim,55.17,16,29
33,0,24024,Zach Johnson,54.55,12,22
34,0,57366,Cameron Young,54.17,13,24
35,0,24502,Adam Scott,53.85,14,26
36,0,45486,Joaquin Niemann,53.57,15,28
37,0,35506,Mackenzie Hughes,53.33,16,30
38,8,49960,Sepp Straka,52.94,18,34
39,0,45526,Abraham Ancer,51.85,14,27
39,0,46402,Talor Gooch,51.85,14,27
41,0,32791,K.H. Lee,51.72,15,29
41,0,26331,Charl Schwartzel,51.72,15,29
43,0,29725,Tony Finau,50.00,12,24
43,0,47529,Mito Pereira,50.00,11,22
43,0,33293,Thomas Pieters,50.00,16,32
46,0,39977,Max Homa,48.39,15,31
47,0,49947,Taylor Moore,48.28,14,29
48,0,01226,Fred Couples,45.45,15,33
49,0,28252,Seamus Power,41.18,14,34
50,0,47504,Sam Burns,36.36,8,22
51,0,29420,Billy Horschel,33.33,10,30
51,0,30925,Dustin Johnson,33.33,8,24
53,0,39546,Keith Mitchell,25.93,7,27
