RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,57366,Cameron Young,320.0,2560,8
2,0,45486,Joaquin Niemann,317.8,2542,8
3,0,24502,Adam Scott,315.4,2523,8
4,0,47504,Sam Burns,313.3,2506,8
5,0,31323,Gary Woodland,310.4,2483,8
6,0,46046,Scottie Scheffler,308.6,2469,8
7,0,35450,Patrick Cantlay,308.4,2467,8
8,0,49947,Taylor Moore,306.9,2455,8
9,0,36689,Brooks Koepka,306.3,2450,8
10,0,29936,Ryan Fox,305.9,2447,8
11,0,30925,Dustin Johnson,305.5,2444,8
12,0,34363,Tyrrell Hatton,303.9,2431,8
13,0,40098,Matt Fitzpatrick,303.5,2428,8
14,0,51634,Sahith Theegala,302.6,2421,8
15,0,30692,Scott Stallings,302.0,2416,8
16,0,28089,Jason Day,301.8,2414,8
16,0,47529,Mito Pereira,301.8,2414,8
18,0,39546,Keith Mitchell,301.6,2413,8
19,0,37189,Harold Varner III,300.3,2402,8
20,0,22405,Justin Rose,299.9,2399,8
21,0,29725,Tony Finau,299.8,2398,8
21,0,55182,Tom Kim,299.8,2398,8
23,0,46717,Viktor Hovland,299.3,2394,8
24,0,46970,Jon Rahm,298.8,2390,8
25,0,48081,Xander Schauffele,298.1,2385,8
26,0,34046,Jordan Spieth,296.8,2374,8
27,-15,49960,Sepp Straka,296.4,2371,8
28,0,32791,K.H. Lee,296.0,2368,8
29,0,30911,Tommy Fleetwood,295.5,2364,8
30,0,39977,Max Homa,295.1,2361,8
30,0,35891,Cameron Smith,295.1,2361,8
32,0,50525,Collin Morikawa,294.6,2357,8
33,0,35506,Mackenzie Hughes,293.8,2350,8
34,0,33204,Shane Lowry,293.6,2349,8
35,0,46402,Talor Gooch,292.9,2343,8
36,0,33141,Keegan Bradley,292.3,2338,8
37,0,34099,Harris English,290.3,2322,8
38,0,33293,Thomas Pieters,289.6,2317,8
39,0,29420,Billy Horschel,289.5,2316,8
40,7,30926,Chris Kirk,289.1,2313,8
41,0,01810,Phil Mickelson,288.8,2310,8
42,0,34360,Patrick Reed,288.4,2307,8
43,0,24024,Zach Johnson,287.4,2299,8
44,11,37455,Si Woo Kim,287.0,2296,8
45,0,01226,Fred Couples,285.4,2283,8
45,0,26331,Charl Schwartzel,285.4,2283,8
47,0,28252,Seamus Power,285.3,2282,8
48,0,34098,Russell Henley,284.8,2278,8
49,0,49771,J.T. Poston,284.0,2272,8
50,-6,32839,Hideki Matsuyama,283.5,2268,8
51,0,39971,Sungjae Im,282.3,2258,8
52,0,59652,Sam Bennett,281.1,2249,8
53,0,45526,Abraham Ancer,272.9,2183,8
