RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,0,01810,Phil Mickelson,24.00,24,1
2,0,30911,Tommy Fleetwood,25.00,25,1
2,0,46402,Talor Gooch,25.00,25,1
2,0,45486,Joaquin Niemann,25.00,25,1
2,0,46970,Jon Rahm,25.00,25,1
6,0,33141,Keegan Bradley,26.00,26,1
6,0,34098,Russell Henley,26.00,26,1
6,0,35506,Mackenzie Hughes,26.00,26,1
9,0,59652,Sam Bennett,27.00,27,1
9,0,39971,Sungjae Im,27.00,27,1
9,0,32791,K.H. Lee,27.00,27,1
9,50,32839,Hideki Matsuyama,27.00,27,1
9,0,50525,Collin Morikawa,27.00,27,1
9,0,35891,Cameron Smith,27.00,27,1
15,0,45526,Abraham Ancer,28.00,28,1
15,0,28089,Jason Day,28.00,28,1
15,0,29936,Ryan Fox,28.00,28,1
15,0,39977,Max Homa,28.00,28,1
15,11,37455,Si Woo Kim,28.00,28,1
15,0,34046,Jordan Spieth,28.00,28,1
15,0,51634,Sahith Theegala,28.00,28,1
22,0,34363,Tyrrell Hatton,29.00,29,1
22,0,30925,Dustin Johnson,29.00,29,1
22,0,24024,Zach Johnson,29.00,29,1
22,0,36689,Brooks Koepka,29.00,29,1
22,0,33204,Shane Lowry,29.00,29,1
22,0,39546,Keith Mitchell,29.00,29,1
22,0,49947,Taylor Moore,29.00,29,1
22,0,34360,Patrick Reed,29.00,29,1
22,0,26331,Charl Schwartzel,29.00,29,1
22,0,24502,Adam Scott,29.00,29,1
32,0,47504,Sam Burns,30.00,30,1
32,0,35450,Patrick Cantlay,30.00,30,1
32,0,01226,Fred Couples,30.00,30,1
32,0,34099,Harris English,30.00,30,1
32,0,46717,Viktor Hovland,30.00,30,1
32,-19,30926,Chris Kirk,30.00,30,1
32,0,49771,J.T. Poston,30.00,30,1
32,0,28252,Seamus Power,30.00,30,1
32,0,22405,Justin Rose,30.00,30,1
32,0,48081,Xander Schauffele,30.00,30,1
32,0,30692,Scott Stallings,30.00,30,1
32,0,37189,Harold Varner III,30.00,30,1
32,0,57366,Cameron Young,30.00,30,1
45,0,47529,Mito Pereira,31.00,31,1
45,-35,49960,Sepp Straka,31.00,31,1
45,0,31323,Gary Woodland,31.00,31,1
48,0,40098,Matt Fitzpatrick,32.00,32,1
48,0,29420,Billy Horschel,32.00,32,1
48,0,55182,Tom Kim,32.00,32,1
51,0,33293,Thomas Pieters,33.00,33,1
52,0,29725,Tony Finau,35.00,35,1
53,0,46046,Scottie Scheffler,36.00,36,1
